step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
500,16384000,2.179159e+16,37.691833,35.912850,35.992347
1000,32768000,4.358318e+16,23.403309,21.840437,21.872734
1500,49152000,6.537477e+16,13.269693,12.666556,12.646341
2000,65536000,8.716636e+16,9.227818,9.078854,9.077151
2500,81920000,1.089580e+17,7.725772,7.641642,7.632362
3000,98304000,1.307495e+17,7.034757,7.065087,7.054964
3500,114688000,1.525411e+17,6.783371,6.647800,6.643242
4000,131072000,1.743327e+17,6.526468,6.503536,6.498799
4500,147456000,1.961243e+17,6.329724,6.280892,6.278412
5000,163840000,2.179159e+17,6.144747,6.174390,6.170089
5500,180224000,2.397075e+17,6.031276,5.987359,5.981401
6000,196608000,2.614991e+17,5.906094,5.881840,5.878206
6500,212992000,2.832907e+17,5.818663,5.795789,5.792136
7000,229376000,3.050823e+17,5.714691,5.671323,5.666462
7500,245760000,3.268739e+17,5.603478,5.549486,5.542085
8000,262144000,3.486654e+17,5.525187,5.510230,5.505208
8500,278528000,3.704570e+17,5.463743,5.392737,5.390382
9000,294912000,3.922486e+17,5.381658,5.346644,5.343638
9500,311296000,4.140402e+17,5.318741,5.269299,5.264700
10000,327680000,4.358318e+17,5.281301,5.235556,5.229665
10500,344064000,4.576234e+17,5.230254,5.169172,5.165957
11000,360448000,4.794150e+17,5.151065,5.124274,5.120774
11500,376832000,5.012066e+17,5.118457,5.079892,5.077027
12000,393216000,5.229982e+17,5.070943,5.033497,5.029217
12500,409600000,5.447898e+17,5.031354,4.984664,4.980240
13000,425984000,5.665813e+17,5.013200,4.966886,4.964167
13500,442368000,5.883729e+17,4.957352,4.924667,4.919538
14000,458752000,6.101645e+17,4.941528,4.888893,4.885122
14500,475136000,6.319561e+17,4.899012,4.863420,4.855797
15000,491520000,6.537477e+17,4.873002,4.846558,4.840085
15500,507904000,6.755393e+17,4.825270,4.804241,4.797671
16000,524288000,6.973309e+17,4.810018,4.787348,4.779096
16500,540672000,7.191225e+17,4.802299,4.759930,4.755746
17000,557056000,7.409141e+17,4.759577,4.712606,4.706150
17500,573440000,7.627057e+17,4.748734,4.718565,4.710923
18000,589824000,7.844973e+17,4.723578,4.684235,4.676483
18500,606208000,8.062888e+17,4.707273,4.667537,4.658116
19000,622592000,8.280804e+17,4.679179,4.639188,4.632676
19500,638976000,8.498720e+17,4.682836,4.642923,4.637880
20000,655360000,8.716636e+17,4.651736,4.610587,4.604482
20500,671744000,8.934552e+17,4.651093,4.616348,4.608961
21000,688128000,9.152468e+17,4.625371,4.584319,4.576936
21500,704512000,9.370384e+17,4.589341,4.564571,4.557967
22000,720896000,9.588300e+17,4.610133,4.561402,4.556386
22500,737280000,9.806216e+17,4.600621,4.540931,4.535813
23000,753664000,1.002413e+18,4.567730,4.514000,4.509230
23500,770048000,1.024205e+18,4.562162,4.503383,4.499854
24000,786432000,1.045996e+18,4.549800,4.485658,4.480101
24500,802816000,1.067788e+18,4.539057,4.483198,4.477673
25000,819200000,1.089580e+18,4.503514,4.482235,4.475170
25500,835584000,1.111371e+18,4.500451,4.455877,4.446121
26000,851968000,1.133163e+18,4.487235,4.444102,4.436891
26500,868352000,1.154954e+18,4.476630,4.433455,4.425232
27000,884736000,1.176746e+18,4.448198,4.419860,4.409688
27500,901120000,1.198537e+18,4.459235,4.423052,4.412576
28000,917504000,1.220329e+18,4.454694,4.402723,4.393695
28500,933888000,1.242121e+18,4.436535,4.391575,4.382287
29000,950272000,1.263912e+18,4.424570,4.381285,4.373460
29500,966656000,1.285704e+18,4.406589,4.366198,4.361647
30000,983040000,1.307495e+18,4.396520,4.353312,4.345746
30500,999424000,1.329287e+18,4.372195,4.344682,4.338583
31000,1015808000,1.351079e+18,4.377066,4.343959,4.331719
31500,1032192000,1.372870e+18,4.380826,4.335644,4.324913
32000,1048576000,1.394662e+18,4.374630,4.321980,4.315598
32500,1064960000,1.416453e+18,4.372772,4.309478,4.302553
33000,1081344000,1.438245e+18,4.363035,4.300827,4.295167
33500,1097728000,1.460037e+18,4.332710,4.301894,4.291484
34000,1114112000,1.481828e+18,4.330175,4.282020,4.276045
34500,1130496000,1.503620e+18,4.319360,4.272949,4.266614
35000,1146880000,1.525411e+18,4.313561,4.262638,4.257318
35500,1163264000,1.547203e+18,4.310955,4.259436,4.251380
36000,1179648000,1.568995e+18,4.296793,4.258977,4.250443
36500,1196032000,1.590786e+18,4.299627,4.255118,4.247038
37000,1212416000,1.612578e+18,4.280418,4.255581,4.245069
37500,1228800000,1.634369e+18,4.273735,4.229706,4.221306
38000,1245184000,1.656161e+18,4.251281,4.229066,4.218989
38500,1261568000,1.677952e+18,4.264728,4.224087,4.215419
39000,1277952000,1.699744e+18,4.256028,4.218437,4.208903
39500,1294336000,1.721536e+18,4.250533,4.208081,4.198610
40000,1310720000,1.743327e+18,4.247224,4.206076,4.195141
40500,1327104000,1.765119e+18,4.233747,4.188810,4.182231
41000,1343488000,1.786910e+18,4.242553,4.190253,4.181727
41500,1359872000,1.808702e+18,4.231068,4.189243,4.179595
42000,1376256000,1.830494e+18,4.226199,4.172657,4.164119
42500,1392640000,1.852285e+18,4.213357,4.174666,4.166544
43000,1409024000,1.874077e+18,4.203046,4.165775,4.156478
43500,1425408000,1.895868e+18,4.197948,4.151631,4.141702
44000,1441792000,1.917660e+18,4.198457,4.139092,4.130105
44500,1458176000,1.939452e+18,4.182814,4.148224,4.137051
45000,1474560000,1.961243e+18,4.187337,4.134157,4.124214
45500,1490944000,1.983035e+18,4.175826,4.139818,4.130016
46000,1507328000,2.004826e+18,4.170802,4.127136,4.117162
46500,1523712000,2.026618e+18,4.168666,4.124376,4.115944
47000,1540096000,2.048409e+18,4.148407,4.115563,4.108498
47500,1556480000,2.070201e+18,4.146163,4.110887,4.102288
48000,1572864000,2.091993e+18,4.145641,4.111818,4.102870
48500,1589248000,2.113784e+18,4.135274,4.092668,4.083693
49000,1605632000,2.135576e+18,4.132993,4.089905,4.082200
49500,1622016000,2.157367e+18,4.143901,4.079548,4.073370
50000,1638400000,2.179159e+18,4.140316,4.080800,4.072580
50500,1654784000,2.200951e+18,4.129647,4.076691,4.069892
51000,1671168000,2.222742e+18,4.120723,4.062152,4.054126
51500,1687552000,2.244534e+18,4.114689,4.066816,4.057604
52000,1703936000,2.266325e+18,4.110618,4.064085,4.055549
52500,1720320000,2.288117e+18,4.085417,4.055046,4.047484
53000,1736704000,2.309909e+18,4.098795,4.045991,4.037581
53500,1753088000,2.331700e+18,4.091030,4.053955,4.043507
54000,1769472000,2.353492e+18,4.105906,4.048604,4.039132
54500,1785856000,2.375283e+18,4.077940,4.033870,4.024574
55000,1802240000,2.397075e+18,4.065295,4.025521,4.020052
55500,1818624000,2.418867e+18,4.055001,4.032009,4.023923
56000,1835008000,2.440658e+18,4.060122,4.028117,4.018547
56500,1851392000,2.462450e+18,4.083282,4.020096,4.011935
57000,1867776000,2.484241e+18,4.063305,4.013730,4.005784
57500,1884160000,2.506033e+18,4.064097,4.023830,4.014670
58000,1900544000,2.527824e+18,4.050114,4.007266,3.998105
58500,1916928000,2.549616e+18,4.049367,4.005822,3.997604
59000,1933312000,2.571408e+18,4.036943,3.995777,3.987435
59500,1949696000,2.593199e+18,4.037416,3.995676,3.989035
60000,1966080000,2.614991e+18,4.034511,4.000435,3.990900
60500,1982464000,2.636782e+18,4.055424,3.995984,3.989368
61000,1998848000,2.658574e+18,4.029357,3.981838,3.974072
61500,2015232000,2.680366e+18,4.030169,3.980645,3.972450
62000,2031616000,2.702157e+18,4.008384,3.967253,3.960191
62500,2048000000,2.723949e+18,4.023030,3.971137,3.964393
63000,2064384000,2.745740e+18,4.013434,3.975411,3.968125
63500,2080768000,2.767532e+18,4.021744,3.965113,3.957072
64000,2097152000,2.789324e+18,4.004704,3.962254,3.953884
64500,2113536000,2.811115e+18,4.000063,3.952645,3.944372
65000,2129920000,2.832907e+18,3.997113,3.955820,3.948766
65500,2146304000,2.854698e+18,3.995206,3.958426,3.949156
66000,2162688000,2.876490e+18,3.983827,3.947334,3.937465
66500,2179072000,2.898282e+18,3.984549,3.941735,3.932130
67000,2195456000,2.920073e+18,3.986308,3.937499,3.929380
67500,2211840000,2.941865e+18,3.961920,3.929131,3.922146
68000,2228224000,2.963656e+18,3.970398,3.936380,3.928979
68500,2244608000,2.985448e+18,3.944626,3.923569,3.915115
69000,2260992000,3.007239e+18,3.954580,3.924967,3.916978
69500,2277376000,3.029031e+18,3.949986,3.919003,3.911395
70000,2293760000,3.050823e+18,3.959153,3.918634,3.912847
70500,2310144000,3.072614e+18,3.955603,3.914891,3.905962
71000,2326528000,3.094406e+18,3.940395,3.914053,3.907478
71500,2342912000,3.116197e+18,3.944890,3.904356,3.896792
72000,2359296000,3.137989e+18,3.941340,3.900157,3.892275
72500,2375680000,3.159781e+18,3.938469,3.899275,3.890772
73000,2392064000,3.181572e+18,3.952361,3.897115,3.889469
73500,2408448000,3.203364e+18,3.950101,3.896616,3.887192
74000,2424832000,3.225155e+18,3.937720,3.889177,3.881568
74500,2441216000,3.246947e+18,3.929392,3.888163,3.879277
75000,2457600000,3.268739e+18,3.916781,3.882618,3.874851
75500,2473984000,3.290530e+18,3.929044,3.885817,3.874938
76000,2490368000,3.312322e+18,3.910954,3.879434,3.871319
76500,2506752000,3.334113e+18,3.916437,3.875646,3.868458
77000,2523136000,3.355905e+18,3.917898,3.874869,3.868448
77500,2539520000,3.377696e+18,3.901453,3.869059,3.861465
78000,2555904000,3.399488e+18,3.909880,3.862068,3.854613
78500,2572288000,3.421280e+18,3.889700,3.860728,3.852466
79000,2588672000,3.443071e+18,3.900718,3.865105,3.858825
79500,2605056000,3.464863e+18,3.895811,3.854397,3.848122
80000,2621440000,3.486654e+18,3.896527,3.854772,3.845269
80500,2637824000,3.508446e+18,3.885207,3.849357,3.838588
81000,2654208000,3.530238e+18,3.895396,3.843686,3.834013
81500,2670592000,3.552029e+18,3.879946,3.844869,3.833844
82000,2686976000,3.573821e+18,3.878465,3.836596,3.825878
82500,2703360000,3.595612e+18,3.888250,3.841848,3.832836
83000,2719744000,3.617404e+18,3.879725,3.836831,3.828109
83500,2736128000,3.639196e+18,3.880021,3.835487,3.828145
84000,2752512000,3.660987e+18,3.860842,3.831694,3.822377
84500,2768896000,3.682779e+18,3.863998,3.828876,3.821101
85000,2785280000,3.704570e+18,3.863083,3.826231,3.818303
85500,2801664000,3.726362e+18,3.861886,3.822193,3.813225
86000,2818048000,3.748154e+18,3.854465,3.821093,3.812250
86500,2834432000,3.769945e+18,3.851250,3.811090,3.801669
87000,2850816000,3.791737e+18,3.861812,3.813998,3.807196
87500,2867200000,3.813528e+18,3.845006,3.810453,3.801334
88000,2883584000,3.835320e+18,3.841663,3.807602,3.798857
88500,2899968000,3.857111e+18,3.853135,3.806746,3.797402
89000,2916352000,3.878903e+18,3.853921,3.803631,3.795366
89500,2932736000,3.900695e+18,3.852733,3.802951,3.794246
90000,2949120000,3.922486e+18,3.822555,3.796581,3.788716
90500,2965504000,3.944278e+18,3.834992,3.797986,3.790904
91000,2981888000,3.966069e+18,3.827508,3.785829,3.777149
91500,2998272000,3.987861e+18,3.826717,3.794569,3.785026
92000,3014656000,4.009653e+18,3.828272,3.787678,3.780529
92500,3031040000,4.031444e+18,3.814098,3.789681,3.782005
93000,3047424000,4.053236e+18,3.813131,3.787915,3.780489
93500,3063808000,4.075027e+18,3.829484,3.781635,3.772918
94000,3080192000,4.096819e+18,3.816644,3.784366,3.776656
94500,3096576000,4.118611e+18,3.813028,3.777412,3.768403
95000,3112960000,4.140402e+18,3.822288,3.772295,3.766154
95500,3129344000,4.162194e+18,3.809115,3.766018,3.758590
