step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.924145e+14,319.611799,294.713776
100,13107200,3.848291e+14,238.872344,110.591712
150,19660800,5.772436e+14,131.683598,55.157638
200,26214400,7.696581e+14,76.973916,40.911763
250,32768000,9.620727e+14,51.966811,36.005667
300,39321600,1.154487e+15,40.711340,33.484371
350,45875200,1.346902e+15,35.292503,31.587812
400,52428800,1.539316e+15,32.244404,29.928092
450,58982400,1.731731e+15,30.087917,28.325187
500,65536000,1.924145e+15,28.333923,26.847303
550,72089600,2.116560e+15,26.750317,25.359138
600,78643200,2.308974e+15,25.213632,23.744555
650,85196800,2.501389e+15,23.654231,22.198750
700,91750400,2.693803e+15,22.054939,20.630850
750,98304000,2.886218e+15,20.526597,19.215287
800,104857600,3.078633e+15,19.126291,17.851808
850,111411200,3.271047e+15,17.764456,16.635904
900,117964800,3.463462e+15,16.519028,15.434999
950,124518400,3.655876e+15,15.369872,14.452620
1000,131072000,3.848291e+15,14.365319,13.563683
1050,137625600,4.040705e+15,13.474609,12.715662
1100,144179200,4.233120e+15,12.629631,11.988575
1150,150732800,4.425534e+15,11.892531,11.308354
1200,157286400,4.617949e+15,11.275223,10.834109
1250,163840000,4.810363e+15,10.770204,10.396687
1300,170393600,5.002778e+15,10.309138,9.951645
1350,176947200,5.195192e+15,9.901743,9.669154
1400,183500800,5.387607e+15,9.565825,9.288488
1450,190054400,5.580022e+15,9.232062,8.994562
1500,196608000,5.772436e+15,8.926526,8.724621
1550,203161600,5.964851e+15,8.674813,8.481680
1600,209715200,6.157265e+15,8.434881,8.306064
1650,216268800,6.349680e+15,8.252241,8.192144
1700,222822400,6.542094e+15,8.107945,8.018825
1750,229376000,6.734509e+15,7.958982,7.897734
1800,235929600,6.926923e+15,7.834912,7.834118
1850,242483200,7.119338e+15,7.749876,7.729618
1900,249036800,7.311752e+15,7.693795,7.703029
1950,255590400,7.504167e+15,7.606319,7.652982
2000,262144000,7.696581e+15,7.529449,7.495853
2050,268697600,7.888996e+15,7.468220,7.474366
2100,275251200,8.081410e+15,7.419717,7.443996
2150,281804800,8.273825e+15,7.363844,7.353823
2200,288358400,8.466240e+15,7.320448,7.306771
2250,294912000,8.658654e+15,7.274948,7.370130
2300,301465600,8.851069e+15,7.252176,7.238558
2350,308019200,9.043483e+15,7.206229,7.214720
2400,314572800,9.235898e+15,7.169689,7.199311
2450,321126400,9.428312e+15,7.140351,7.153220
2500,327680000,9.620727e+15,7.125211,7.154438
2550,334233600,9.813141e+15,7.112507,7.126157
2600,340787200,1.000556e+16,7.084355,7.086073
2650,347340800,1.019797e+16,7.061558,7.083872
2700,353894400,1.039038e+16,7.043896,7.109806
2750,360448000,1.058280e+16,7.024896,7.036752
2800,367001600,1.077521e+16,6.988066,7.026295
2850,373555200,1.096763e+16,6.981624,7.016531
2900,380108800,1.116004e+16,6.965190,6.991754
2950,386662400,1.135246e+16,6.954629,6.975964
3000,393216000,1.154487e+16,6.932747,6.956393
3050,399769600,1.173729e+16,6.915781,6.942745
3100,406323200,1.192970e+16,6.917030,6.934401
3150,412876800,1.212212e+16,6.889806,6.916955
3200,419430400,1.231453e+16,6.872251,6.904013
3250,425984000,1.250694e+16,6.855761,6.899856
3300,432537600,1.269936e+16,6.856867,6.873798
3350,439091200,1.289177e+16,6.836962,6.868414
3400,445644800,1.308419e+16,6.831030,6.865452
3450,452198400,1.327660e+16,6.807101,6.847121
3500,458752000,1.346902e+16,6.803328,6.844054
3550,465305600,1.366143e+16,6.782367,6.813326
3600,471859200,1.385385e+16,6.772626,6.800577
3650,478412800,1.404626e+16,6.756972,6.794997
3700,484966400,1.423868e+16,6.745259,6.782900
3750,491520000,1.443109e+16,6.732182,6.769488
3800,498073600,1.462350e+16,6.722656,6.765909
3850,504627200,1.481592e+16,6.720413,6.750658
3900,511180800,1.500833e+16,6.702444,6.736512
3950,517734400,1.520075e+16,6.697950,6.722692
4000,524288000,1.539316e+16,6.681420,6.708266
4050,530841600,1.558558e+16,6.671750,6.699690
4100,537395200,1.577799e+16,6.657881,6.683517
4150,543948800,1.597041e+16,6.634155,6.674118
4200,550502400,1.616282e+16,6.625234,6.660810
4250,557056000,1.635524e+16,6.611988,6.653974
