step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.487522e+15,10.939463,10.784854
100,13107200,2.975043e+15,10.570390,10.007804
150,19660800,4.462565e+15,9.966650,9.389551
200,26214400,5.950087e+15,9.389945,8.831085
250,32768000,7.437608e+15,8.821761,8.280958
300,39321600,8.925130e+15,8.286356,7.832466
350,45875200,1.041265e+16,7.890262,7.617116
400,52428800,1.190017e+16,7.641479,7.483472
450,58982400,1.338769e+16,7.468022,7.342165
500,65536000,1.487522e+16,7.313810,7.203219
550,72089600,1.636274e+16,7.169969,7.077562
600,78643200,1.785026e+16,7.042743,6.969774
650,85196800,1.933778e+16,6.934396,6.876233
700,91750400,2.082530e+16,6.842476,6.796904
750,98304000,2.231282e+16,6.758498,6.720703
800,104857600,2.380035e+16,6.680037,6.654016
850,111411200,2.528787e+16,6.612709,6.590818
900,117964800,2.677539e+16,6.547482,6.535053
950,124518400,2.826291e+16,6.489294,6.478158
1000,131072000,2.975043e+16,6.441616,6.429523
1050,137625600,3.123795e+16,6.380194,6.381699
1100,144179200,3.272548e+16,6.338555,6.334598
1150,150732800,3.421300e+16,6.289162,6.288237
1200,157286400,3.570052e+16,6.242323,6.249705
1250,163840000,3.718804e+16,6.208176,6.202839
1300,170393600,3.867556e+16,6.164341,6.164488
1350,176947200,4.016308e+16,6.123341,6.124658
1400,183500800,4.165061e+16,6.088183,6.088107
1450,190054400,4.313813e+16,6.052145,6.052109
1500,196608000,4.462565e+16,6.019992,6.014321
1550,203161600,4.611317e+16,5.987334,5.980070
1600,209715200,4.760069e+16,5.945650,5.945852
1650,216268800,4.908821e+16,5.908422,5.908698
1700,222822400,5.057574e+16,5.876619,5.877253
1750,229376000,5.206326e+16,5.836169,5.845907
1800,235929600,5.355078e+16,5.813113,5.814063
1850,242483200,5.503830e+16,5.782105,5.782448
1900,249036800,5.652582e+16,5.752466,5.753045
1950,255590400,5.801334e+16,5.719682,5.722260
2000,262144000,5.950087e+16,5.694388,5.693291
2050,268697600,6.098839e+16,5.669768,5.665920
2100,275251200,6.247591e+16,5.639203,5.639700
2150,281804800,6.396343e+16,5.610166,5.614155
2200,288358400,6.545095e+16,5.582803,5.585807
2250,294912000,6.693847e+16,5.548399,5.562289
2300,301465600,6.842600e+16,5.535633,5.538833
2350,308019200,6.991352e+16,5.508382,5.516161
2400,314572800,7.140104e+16,5.494170,5.494265
2450,321126400,7.288856e+16,5.468304,5.470382
2500,327680000,7.437608e+16,5.447843,5.452598
2550,334233600,7.586360e+16,5.426028,5.432621
2600,340787200,7.735113e+16,5.403369,5.411740
2650,347340800,7.883865e+16,5.384861,5.394840
2700,353894400,8.032617e+16,5.366733,5.375754
2750,360448000,8.181369e+16,5.347609,5.356126
2800,367001600,8.330121e+16,5.334580,5.338126
2850,373555200,8.478873e+16,5.309614,5.322127
2900,380108800,8.627626e+16,5.296399,5.306929
2950,386662400,8.776378e+16,5.280006,5.290731
3000,393216000,8.925130e+16,5.269107,5.272238
3050,399769600,9.073882e+16,5.248650,5.257768
3100,406323200,9.222634e+16,5.238692,5.243268
3150,412876800,9.371386e+16,5.219940,5.226497
3200,419430400,9.520139e+16,5.205295,5.212751
3250,425984000,9.668891e+16,5.191000,5.198630
3300,432537600,9.817643e+16,5.181904,5.184573
3350,439091200,9.966395e+16,5.169521,5.171721
3400,445644800,1.011515e+17,5.155100,5.157260
3450,452198400,1.026390e+17,5.132719,5.143698
3500,458752000,1.041265e+17,5.124071,5.130833
3550,465305600,1.056140e+17,5.108999,5.119708
3600,471859200,1.071016e+17,5.098922,5.107531
3650,478412800,1.085891e+17,5.084325,5.093144
3700,484966400,1.100766e+17,5.070520,5.081990
3750,491520000,1.115641e+17,5.057538,5.070850
3800,498073600,1.130516e+17,5.043241,5.059357
3850,504627200,1.145392e+17,5.031415,5.047535
3900,511180800,1.160267e+17,5.028569,5.036688
3950,517734400,1.175142e+17,5.019777,5.025298
4000,524288000,1.190017e+17,5.005371,5.012996
4050,530841600,1.204893e+17,4.990498,5.003995
4100,537395200,1.219768e+17,4.978939,4.994059
4150,543948800,1.234643e+17,4.967536,4.983618
4200,550502400,1.249518e+17,4.960939,4.972766
4250,557056000,1.264393e+17,4.951399,4.963118
4300,563609600,1.279269e+17,4.947512,4.953680
4350,570163200,1.294144e+17,4.931449,4.943694
4400,576716800,1.309019e+17,4.920718,4.934246
4450,583270400,1.323894e+17,4.911676,4.926473
4500,589824000,1.338769e+17,4.895325,4.915053
4550,596377600,1.353645e+17,4.891853,4.908489
4600,602931200,1.368520e+17,4.884570,4.899674
4650,609484800,1.383395e+17,4.876294,4.891394
4700,616038400,1.398270e+17,4.868002,4.881545
4750,622592000,1.413146e+17,4.864283,4.872763
4800,629145600,1.428021e+17,4.849803,4.865441
4850,635699200,1.442896e+17,4.843273,4.858153
4900,642252800,1.457771e+17,4.836029,4.849413
4950,648806400,1.472646e+17,4.832082,4.844141
5000,655360000,1.487522e+17,4.824003,4.834876
5050,661913600,1.502397e+17,4.813410,4.826028
5100,668467200,1.517272e+17,4.804585,4.819036
5150,675020800,1.532147e+17,4.793044,4.811554
