step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,19660800,1.917273e+15,237.779587,107.017947
200,39321600,3.834547e+15,76.602386,41.406585
300,58982400,5.751820e+15,41.221504,34.008306
400,78643200,7.669094e+15,32.612221,30.178492
500,98304000,9.586367e+15,28.406548,26.796205
600,117964800,1.150364e+16,25.072109,23.747773
700,137625600,1.342091e+16,21.986876,20.598120
800,157286400,1.533819e+16,19.082630,18.022591
900,176947200,1.725546e+16,16.771795,15.792588
1000,196608000,1.917273e+16,14.528864,13.513265
1100,216268800,2.109001e+16,12.626686,11.947273
1200,235929600,2.300728e+16,11.198378,10.650385
1300,255590400,2.492455e+16,10.130917,9.704719
1400,275251200,2.684183e+16,9.341711,9.063130
1500,294912000,2.875910e+16,8.752216,8.580448
1600,314572800,3.067637e+16,8.238520,8.088505
1700,334233600,3.259365e+16,7.894489,7.824835
1800,353894400,3.451092e+16,7.640335,7.721919
1900,373555200,3.642819e+16,7.505241,7.456372
2000,393216000,3.834547e+16,7.361327,7.362096
2100,412876800,4.026274e+16,7.245862,7.274941
2200,432537600,4.218001e+16,7.162086,7.124440
2300,452198400,4.409729e+16,7.108724,7.088930
2400,471859200,4.601456e+16,7.022968,7.020838
2500,491520000,4.793184e+16,6.976421,6.958704
2600,511180800,4.984911e+16,6.944796,6.986061
2700,530841600,5.176638e+16,6.900084,6.886214
2800,550502400,5.368366e+16,6.854345,6.862198
2900,570163200,5.560093e+16,6.815295,6.824064
3000,589824000,5.751820e+16,6.783482,6.809824
3100,609484800,5.943548e+16,6.754493,6.775610
3200,629145600,6.135275e+16,6.719571,6.744673
3300,648806400,6.327002e+16,6.686496,6.696861
3400,668467200,6.518730e+16,6.660070,6.665210
3500,688128000,6.710457e+16,6.640009,6.648421
3600,707788800,6.902184e+16,6.603794,6.615334
3700,727449600,7.093912e+16,6.570768,6.585425
3800,747110400,7.285639e+16,6.551501,6.567854
3900,766771200,7.477366e+16,6.523971,6.534817
4000,786432000,7.669094e+16,6.511614,6.516795
4100,806092800,7.860821e+16,6.479684,6.482530
4200,825753600,8.052548e+16,6.442087,6.451187
4300,845414400,8.244276e+16,6.408315,6.416517
4400,865075200,8.436003e+16,6.391761,6.396853
4500,884736000,8.627730e+16,6.366095,6.370160
4600,904396800,8.819458e+16,6.333264,6.343232
4700,924057600,9.011185e+16,6.310112,6.305326
4800,943718400,9.202912e+16,6.276330,6.269983
4900,963379200,9.394640e+16,6.241509,6.255379
5000,983040000,9.586367e+16,6.211139,6.219613
5100,1002700800,9.778094e+16,6.188737,6.197972
5200,1022361600,9.969822e+16,6.154581,6.159417
5300,1042022400,1.016155e+17,6.131195,6.139735
5400,1061683200,1.035328e+17,6.102023,6.102542
5500,1081344000,1.054500e+17,6.070225,6.079284
5600,1101004800,1.073673e+17,6.053236,6.056994
5700,1120665600,1.092846e+17,6.013286,6.021625
5800,1140326400,1.112019e+17,5.999041,5.990603
5900,1159987200,1.131191e+17,5.968792,5.963915
6000,1179648000,1.150364e+17,5.953444,5.949932
6100,1199308800,1.169537e+17,5.918962,5.925942
6200,1218969600,1.188710e+17,5.891599,5.894089
6300,1238630400,1.207882e+17,5.874163,5.873237
6400,1258291200,1.227055e+17,5.859198,5.868136
6500,1277952000,1.246228e+17,5.840548,5.844950
