step,tokens_seen,cumulative_flops,train_loss,eval_loss
10,983040,8.349416e+13,320.796758,320.363884
20,1966080,1.669883e+14,320.492930,317.533669
30,2949120,2.504825e+14,319.483518,312.042757
40,3932160,3.339767e+14,317.357992,302.463816
50,4915200,4.174708e+14,313.306303,286.306570
60,5898240,5.009650e+14,306.229234,260.425242
70,6881280,5.844591e+14,294.818902,223.648358
80,7864320,6.679533e+14,278.028987,180.553865
90,8847360,7.514475e+14,256.518640,139.644750
100,9830400,8.349416e+14,232.107561,107.308488
110,10813440,9.184358e+14,207.270162,86.766012
120,11796480,1.001930e+15,184.032333,74.156238
130,12779520,1.085424e+15,163.121616,65.782576
140,13762560,1.168918e+15,144.732944,59.489247
150,14745600,1.252412e+15,128.672857,54.629555
160,15728640,1.335907e+15,114.733500,50.639652
170,16711680,1.419401e+15,102.695267,47.402215
180,17694720,1.502895e+15,92.332612,44.907264
190,18677760,1.586389e+15,83.443400,42.996742
200,19660800,1.669883e+15,75.856163,41.395553
210,20643840,1.753377e+15,69.423405,40.128014
220,21626880,1.836872e+15,63.909565,39.028353
230,22609920,1.920366e+15,59.244910,38.081379
240,23592960,2.003860e+15,55.243752,37.257430
250,24576000,2.087354e+15,51.835227,36.524103
260,25559040,2.170848e+15,48.911630,35.874687
270,26542080,2.254342e+15,46.435393,35.305206
280,27525120,2.337837e+15,44.293516,34.777553
290,28508160,2.421331e+15,42.493361,34.300241
300,29491200,2.504825e+15,40.919864,33.869495
310,30474240,2.588319e+15,39.557808,33.457998
320,31457280,2.671813e+15,38.361798,33.040796
330,32440320,2.755307e+15,37.290621,32.617162
340,33423360,2.838802e+15,36.360092,32.220264
350,34406400,2.922296e+15,35.502701,31.842412
360,35389440,3.005790e+15,34.741958,31.491406
370,36372480,3.089284e+15,34.075508,31.153033
380,37355520,3.172778e+15,33.455947,30.808192
390,38338560,3.256272e+15,32.873166,30.481741
400,39321600,3.339767e+15,32.367021,30.144108
410,40304640,3.423261e+15,31.897299,29.776864
420,41287680,3.506755e+15,31.442855,29.421254
430,42270720,3.590249e+15,30.983755,29.080518
440,43253760,3.673743e+15,30.576146,28.749455
450,44236800,3.757237e+15,30.171833,28.435708
460,45219840,3.840732e+15,29.775320,28.148505
470,46202880,3.924226e+15,29.407871,27.859877
480,47185920,4.007720e+15,29.057698,27.555102
490,48168960,4.091214e+15,28.708397,27.244493
500,49152000,4.174708e+15,28.333080,26.913260
510,50135040,4.258202e+15,28.010660,26.575321
520,51118080,4.341697e+15,27.655302,26.248002
530,52101120,4.425191e+15,27.330137,25.949360
540,53084160,4.508685e+15,26.997899,25.646672
550,54067200,4.592179e+15,26.656598,25.324367
560,55050240,4.675673e+15,26.345489,25.003983
570,56033280,4.759167e+15,26.019193,24.706035
580,57016320,4.842662e+15,25.720742,24.403989
590,57999360,4.926156e+15,25.422702,24.108893
600,58982400,5.009650e+15,25.119321,23.794988
610,59965440,5.093144e+15,24.810195,23.443811
620,60948480,5.176638e+15,24.509593,23.127537
630,61931520,5.260132e+15,24.197566,22.820728
640,62914560,5.343627e+15,23.872903,22.508112
650,63897600,5.427121e+15,23.542212,22.223987
660,64880640,5.510615e+15,23.246721,21.931224
670,65863680,5.594109e+15,22.957260,21.661649
680,66846720,5.677603e+15,22.651776,21.410718
690,67829760,5.761097e+15,22.357215,21.158131
700,68812800,5.844591e+15,22.091524,20.932971
710,69795840,5.928086e+15,21.843195,20.726223
720,70778880,6.011580e+15,21.562809,20.448586
730,71761920,6.095074e+15,21.283533,20.122857
740,72744960,6.178568e+15,21.005019,19.797066
750,73728000,6.262062e+15,20.714336,19.499025
760,74711040,6.345556e+15,20.431724,19.217999
770,75694080,6.429051e+15,20.131368,18.963228
780,76677120,6.512545e+15,19.868821,18.756617
790,77660160,6.596039e+15,19.629638,18.515953
800,78643200,6.679533e+15,19.371229,18.295281
810,79626240,6.763027e+15,19.137655,18.131413
820,80609280,6.846521e+15,18.871500,17.861761
830,81592320,6.930016e+15,18.644450,17.649924
840,82575360,7.013510e+15,18.395442,17.436733
850,83558400,7.097004e+15,18.173916,17.205680
860,84541440,7.180498e+15,17.940575,16.961433
870,85524480,7.263992e+15,17.718561,16.727656
880,86507520,7.347486e+15,17.486115,16.517984
890,87490560,7.430981e+15,17.252588,16.319735
900,88473600,7.514475e+15,17.035334,16.091420
910,89456640,7.597969e+15,16.806506,15.860281
920,90439680,7.681463e+15,16.583276,15.679260
930,91422720,7.764957e+15,16.360882,15.460773
940,92405760,7.848451e+15,16.132972,15.288336
950,93388800,7.931946e+15,15.925731,15.059231
960,94371840,8.015440e+15,15.713375,14.861066
970,95354880,8.098934e+15,15.510895,14.690332
980,96337920,8.182428e+15,15.301172,14.523500
990,97320960,8.265922e+15,15.116914,14.366558
1000,98304000,8.349416e+15,14.937518,14.174699
1010,99287040,8.432911e+15,14.746889,14.009002
1020,100270080,8.516405e+15,14.561958,13.799165
1030,101253120,8.599899e+15,14.376094,13.740801
1040,102236160,8.683393e+15,14.203519,13.526104
1050,103219200,8.766887e+15,14.037756,13.361720
1060,104202240,8.850381e+15,13.865265,13.223574
1070,105185280,8.933876e+15,13.705922,13.051863
1080,106168320,9.017370e+15,13.542221,12.889472
1090,107151360,9.100864e+15,13.375023,12.730958
1100,108134400,9.184358e+15,13.212189,12.563066
1110,109117440,9.267852e+15,13.058769,12.425021
1120,110100480,9.351346e+15,12.892339,12.251702
1130,111083520,9.434841e+15,12.725362,12.111782
1140,112066560,9.518335e+15,12.560523,11.950864
1150,113049600,9.601829e+15,12.408350,11.822820
1160,114032640,9.685323e+15,12.259865,11.710862
1170,115015680,9.768817e+15,12.120375,11.597685
1180,115998720,9.852311e+15,11.988715,11.471682
1190,116981760,9.935806e+15,11.860927,11.327040
1200,117964800,1.001930e+16,11.716752,11.221353
1210,118947840,1.010279e+16,11.582129,11.081401
1220,119930880,1.018629e+16,11.444174,10.988955
1230,120913920,1.026978e+16,11.313864,10.884752
1240,121896960,1.035328e+16,11.205492,10.795138
1250,122880000,1.043677e+16,11.090668,10.670693
1260,123863040,1.052026e+16,10.988204,10.679524
1270,124846080,1.060376e+16,10.886442,10.517817
1280,125829120,1.068725e+16,10.791044,10.418133
1290,126812160,1.077075e+16,10.685830,10.369890
1300,127795200,1.085424e+16,10.588265,10.267800
1310,128778240,1.093774e+16,10.495096,10.184619
1320,129761280,1.102123e+16,10.396537,10.077419
1330,130744320,1.110472e+16,10.306312,9.986344
1340,131727360,1.118822e+16,10.217573,9.922564
1350,132710400,1.127171e+16,10.136938,9.811485
1360,133693440,1.135521e+16,10.056110,9.773144
1370,134676480,1.143870e+16,9.971522,9.662761
1380,135659520,1.152219e+16,9.897968,9.590257
1390,136642560,1.160569e+16,9.805924,9.521604
1400,137625600,1.168918e+16,9.720901,9.437602
1410,138608640,1.177268e+16,9.636519,9.365934
1420,139591680,1.185617e+16,9.567231,9.301853
1430,140574720,1.193967e+16,9.495303,9.241651
1440,141557760,1.202316e+16,9.425949,9.153672
1450,142540800,1.210665e+16,9.343960,9.112356
1460,143523840,1.219015e+16,9.280429,9.092961
1470,144506880,1.227364e+16,9.214393,9.051535
1480,145489920,1.235714e+16,9.156346,9.036691
1490,146472960,1.244063e+16,9.095922,8.905212
1500,147456000,1.252412e+16,9.041106,8.870465
1510,148439040,1.260762e+16,8.974653,8.818134
1520,149422080,1.269111e+16,8.917614,8.819530
1530,150405120,1.277461e+16,8.878284,8.743010
1540,151388160,1.285810e+16,8.829594,8.680103
1550,152371200,1.294160e+16,8.783525,8.652306
1560,153354240,1.302509e+16,8.732455,8.633768
1570,154337280,1.310858e+16,8.682902,8.541596
1580,155320320,1.319208e+16,8.635792,8.521664
1590,156303360,1.327557e+16,8.585291,8.456231
1600,157286400,1.335907e+16,8.541205,8.420217
1610,158269440,1.344256e+16,8.491451,8.377320
1620,159252480,1.352605e+16,8.438992,8.345703
1630,160235520,1.360955e+16,8.388038,8.273861
1640,161218560,1.369304e+16,8.345402,8.264760
1650,162201600,1.377654e+16,8.305971,8.206248
1660,163184640,1.386003e+16,8.268565,8.187234
1670,164167680,1.394353e+16,8.233506,8.126370
1680,165150720,1.402702e+16,8.192967,8.116803
1690,166133760,1.411051e+16,8.164485,8.073452
1700,167116800,1.419401e+16,8.123748,8.036973
1710,168099840,1.427750e+16,8.084517,8.007458
1720,169082880,1.436100e+16,8.053863,7.996539
1730,170065920,1.444449e+16,8.029818,8.001548
1740,171048960,1.452798e+16,7.998417,7.911025
1750,172032000,1.461148e+16,7.971460,7.897659
1760,173015040,1.469497e+16,7.932642,7.882696
1770,173998080,1.477847e+16,7.911354,7.865264
1780,174981120,1.486196e+16,7.885352,7.848861
1790,175964160,1.494546e+16,7.865352,7.812286
1800,176947200,1.502895e+16,7.836309,7.844193
1810,177930240,1.511244e+16,7.835705,7.897831
1820,178913280,1.519594e+16,7.826443,7.836922
1830,179896320,1.527943e+16,7.815772,7.792886
1840,180879360,1.536293e+16,7.796117,7.791551
1850,181862400,1.544642e+16,7.793659,7.907118
1860,182845440,1.552991e+16,7.784178,7.744128
1870,183828480,1.561341e+16,7.762362,7.714827
1880,184811520,1.569690e+16,7.743983,7.711806
1890,185794560,1.578040e+16,7.719193,7.694826
1900,186777600,1.586389e+16,7.705144,7.721440
1910,187760640,1.594739e+16,7.693646,7.637650
1920,188743680,1.603088e+16,7.671361,7.601872
1930,189726720,1.611437e+16,7.647762,7.608056
1940,190709760,1.619787e+16,7.616710,7.590395
