step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,1.391569e+14,135.788315,71.716372
200,3276800,2.783139e+14,57.967770,40.038666
300,4915200,4.174708e+14,39.166954,35.167583
400,6553600,5.566278e+14,33.297180,31.763355
500,8192000,6.957847e+14,29.665474,28.693783
600,9830400,8.349416e+14,26.783453,25.889416
700,11468800,9.740986e+14,24.076324,23.149612
800,13107200,1.113256e+15,21.227913,20.518718
900,14745600,1.252412e+15,18.993404,18.318304
1000,16384000,1.391569e+15,16.887774,16.280926
1100,18022400,1.530726e+15,15.143664,14.605716
1200,19660800,1.669883e+15,13.800426,13.419000
1300,21299200,1.809040e+15,12.629429,12.279868
1400,22937600,1.948197e+15,11.667889,11.308842
1500,24576000,2.087354e+15,10.818980,10.590130
1600,26214400,2.226511e+15,10.137320,10.037926
1700,27852800,2.365668e+15,9.633737,9.560058
1800,29491200,2.504825e+15,9.306790,9.124328
1900,31129600,2.643982e+15,8.949306,8.794415
2000,32768000,2.783139e+15,8.663171,8.560693
2100,34406400,2.922296e+15,8.317451,8.337422
2200,36044800,3.061453e+15,8.100635,8.135567
2300,37683200,3.200610e+15,7.981842,7.999438
2400,39321600,3.339767e+15,7.824570,7.902953
2500,40960000,3.478924e+15,7.779894,7.760129
2600,42598400,3.618080e+15,7.647022,7.689053
2700,44236800,3.757237e+15,7.573692,7.630717
2800,45875200,3.896394e+15,7.504844,7.549355
2900,47513600,4.035551e+15,7.423031,7.526357
3000,49152000,4.174708e+15,7.375016,7.438466
3100,50790400,4.313865e+15,7.332540,7.406299
3200,52428800,4.453022e+15,7.259232,7.352836
3300,54067200,4.592179e+15,7.265534,7.300391
3400,55705600,4.731336e+15,7.245162,7.261414
3500,57344000,4.870493e+15,7.177494,7.253671
3600,58982400,5.009650e+15,7.209806,7.223933
3700,60620800,5.148807e+15,7.119611,7.186548
3800,62259200,5.287964e+15,7.179794,7.177637
3900,63897600,5.427121e+15,7.097587,7.138317
4000,65536000,5.566278e+15,7.086415,7.108929
4100,67174400,5.705435e+15,7.048000,7.102969
4200,68812800,5.844591e+15,7.063899,7.099249
4300,70451200,5.983748e+15,7.045189,7.089822
4400,72089600,6.122905e+15,7.011599,7.046511
4500,73728000,6.262062e+15,6.975277,7.040706
4600,75366400,6.401219e+15,6.934350,7.018303
4700,77004800,6.540376e+15,6.909920,6.995775
4800,78643200,6.679533e+15,6.918177,6.989308
4900,80281600,6.818690e+15,6.949932,6.975462
5000,81920000,6.957847e+15,6.904850,6.967443
5100,83558400,7.097004e+15,6.914319,6.960812
5200,85196800,7.236161e+15,6.855055,6.932723
5300,86835200,7.375318e+15,6.881055,6.923115
5400,88473600,7.514475e+15,6.832350,6.922824
5500,90112000,7.653632e+15,6.855959,6.892817
5600,91750400,7.792789e+15,6.835825,6.891317
5700,93388800,7.931946e+15,6.842257,6.867759
5800,95027200,8.071103e+15,6.851734,6.847233
5900,96665600,8.210259e+15,6.862554,6.872080
6000,98304000,8.349416e+15,6.752081,6.830061
6100,99942400,8.488573e+15,6.748342,6.820109
6200,101580800,8.627730e+15,6.748481,6.805739
6300,103219200,8.766887e+15,6.759757,6.795906
6400,104857600,8.906044e+15,6.726420,6.788899
6500,106496000,9.045201e+15,6.755982,6.789494
6600,108134400,9.184358e+15,6.735499,6.771562
6700,109772800,9.323515e+15,6.718478,6.763604
6800,111411200,9.462672e+15,6.691266,6.737712
6900,113049600,9.601829e+15,6.689239,6.748858
7000,114688000,9.740986e+15,6.669663,6.735019
7100,116326400,9.880143e+15,6.654851,6.728056
7200,117964800,1.001930e+16,6.643249,6.693308
7300,119603200,1.015846e+16,6.633204,6.698125
7400,121241600,1.029761e+16,6.600764,6.699083
