step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.487522e+15,10.944034,10.783733
100,13107200,2.975043e+15,10.566288,9.981310
150,19660800,4.462565e+15,9.954594,9.359334
200,26214400,5.950087e+15,9.366980,8.801618
250,32768000,7.437608e+15,8.803446,8.263609
300,39321600,8.925130e+15,8.289862,7.856170
350,45875200,1.041265e+16,7.948243,7.692718
400,52428800,1.190017e+16,7.757624,7.599822
450,58982400,1.338769e+16,7.651050,7.510514
500,65536000,1.487522e+16,7.571125,7.409084
550,72089600,1.636274e+16,7.491587,7.309261
600,78643200,1.785026e+16,7.424580,7.218009
650,85196800,1.933778e+16,7.367398,7.138894
700,91750400,2.082530e+16,7.302180,7.069915
750,98304000,2.231282e+16,7.253774,7.006415
800,104857600,2.380035e+16,7.208506,6.945888
850,111411200,2.528787e+16,7.161616,6.890326
900,117964800,2.677539e+16,7.120829,6.838383
950,124518400,2.826291e+16,7.080668,6.785636
1000,131072000,2.975043e+16,7.043567,6.734885
1050,137625600,3.123795e+16,7.013425,6.689675
1100,144179200,3.272548e+16,6.982112,6.645136
1150,150732800,3.421300e+16,6.942484,6.596345
1200,157286400,3.570052e+16,6.909775,6.559213
1250,163840000,3.718804e+16,6.878444,6.522661
1300,170393600,3.867556e+16,6.850586,6.485869
1350,176947200,4.016308e+16,6.822747,6.445960
1400,183500800,4.165061e+16,6.797222,6.414473
1450,190054400,4.313813e+16,6.771274,6.379353
1500,196608000,4.462565e+16,6.742233,6.345194
1550,203161600,4.611317e+16,6.720032,6.319809
1600,209715200,4.760069e+16,6.691330,6.283917
1650,216268800,4.908821e+16,6.662123,6.254062
1700,222822400,5.057574e+16,6.642678,6.226671
1750,229376000,5.206326e+16,6.622211,6.194819
1800,235929600,5.355078e+16,6.595262,6.169098
1850,242483200,5.503830e+16,6.567466,6.139531
1900,249036800,5.652582e+16,6.547379,6.117990
1950,255590400,5.801334e+16,6.526785,6.089141
2000,262144000,5.950087e+16,6.500921,6.063408
2050,268697600,6.098839e+16,6.478072,6.035826
2100,275251200,6.247591e+16,6.457785,6.017649
2150,281804800,6.396343e+16,6.435147,5.992744
2200,288358400,6.545095e+16,6.418710,5.968516
2250,294912000,6.693847e+16,6.387715,5.940787
2300,301465600,6.842600e+16,6.375133,5.919865
2350,308019200,6.991352e+16,6.347591,5.896307
2400,314572800,7.140104e+16,6.328957,5.873990
2450,321126400,7.288856e+16,6.309512,5.857647
2500,327680000,7.437608e+16,6.291485,5.842928
2550,334233600,7.586360e+16,6.277795,5.821058
2600,340787200,7.735113e+16,6.262009,5.795305
2650,347340800,7.883865e+16,6.241389,5.778856
2700,353894400,8.032617e+16,6.223489,5.758886
2750,360448000,8.181369e+16,6.210208,5.741961
2800,367001600,8.330121e+16,6.185036,5.727689
2850,373555200,8.478873e+16,6.176367,5.708084
2900,380108800,8.627626e+16,6.160686,5.694472
2950,386662400,8.776378e+16,6.142107,5.675947
3000,393216000,8.925130e+16,6.127255,5.658813
