step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.487522e+15,10.936857,10.764658
100,13107200,2.975043e+15,10.526863,9.914333
150,19660800,4.462565e+15,9.883884,9.266826
200,26214400,5.950087e+15,9.275433,8.699115
250,32768000,7.437608e+15,8.704146,8.168887
300,39321600,8.925130e+15,8.215346,7.828272
350,45875200,1.041265e+16,7.911634,7.681598
400,52428800,1.190017e+16,7.739370,7.590885
450,58982400,1.338769e+16,7.639626,7.501171
500,65536000,1.487522e+16,7.562416,7.399934
550,72089600,1.636274e+16,7.483934,7.302109
600,78643200,1.785026e+16,7.417606,7.212629
650,85196800,1.933778e+16,7.361526,7.134703
700,91750400,2.082530e+16,7.296980,7.064407
750,98304000,2.231282e+16,7.248536,6.998629
800,104857600,2.380035e+16,7.204251,6.940427
850,111411200,2.528787e+16,7.156914,6.886164
900,117964800,2.677539e+16,7.116123,6.833154
950,124518400,2.826291e+16,7.075835,6.780029
1000,131072000,2.975043e+16,7.039130,6.726659
1050,137625600,3.123795e+16,7.008800,6.683103
1100,144179200,3.272548e+16,6.977931,6.642192
1150,150732800,3.421300e+16,6.938412,6.594278
1200,157286400,3.570052e+16,6.905920,6.556475
1250,163840000,3.718804e+16,6.874514,6.518604
1300,170393600,3.867556e+16,6.846999,6.482854
1350,176947200,4.016308e+16,6.818746,6.446749
1400,183500800,4.165061e+16,6.793291,6.409661
1450,190054400,4.313813e+16,6.769000,6.380815
1500,196608000,4.462565e+16,6.740350,6.344853
1550,203161600,4.611317e+16,6.717983,6.315125
1600,209715200,4.760069e+16,6.689490,6.282556
1650,216268800,4.908821e+16,6.660598,6.253379
1700,222822400,5.057574e+16,6.641671,6.224837
1750,229376000,5.206326e+16,6.621782,6.195292
1800,235929600,5.355078e+16,6.595431,6.169286
1850,242483200,5.503830e+16,6.567541,6.139938
1900,249036800,5.652582e+16,6.547333,6.125121
1950,255590400,5.801334e+16,6.527285,6.088941
2000,262144000,5.950087e+16,6.501588,6.065317
2050,268697600,6.098839e+16,6.479117,6.036234
2100,275251200,6.247591e+16,6.459113,6.017031
2150,281804800,6.396343e+16,6.438111,5.993311
2200,288358400,6.545095e+16,6.422243,5.971270
2250,294912000,6.693847e+16,6.391434,5.944917
2300,301465600,6.842600e+16,6.379195,5.922094
2350,308019200,6.991352e+16,6.351378,5.899899
2400,314572800,7.140104e+16,6.333224,5.875976
2450,321126400,7.288856e+16,6.313785,5.861695
2500,327680000,7.437608e+16,6.296194,5.836189
2550,334233600,7.586360e+16,6.281663,5.821419
2600,340787200,7.735113e+16,6.266501,5.801560
2650,347340800,7.883865e+16,6.246060,5.780055
2700,353894400,8.032617e+16,6.228184,5.760238
2750,360448000,8.181369e+16,6.215505,5.741927
2800,367001600,8.330121e+16,6.190337,5.726837
2850,373555200,8.478873e+16,6.181105,5.709295
2900,380108800,8.627626e+16,6.165542,5.693716
2950,386662400,8.776378e+16,6.147391,5.675988
3000,393216000,8.925130e+16,6.132563,5.663187
3050,399769600,9.073882e+16,6.111709,5.649400
3100,406323200,9.222634e+16,6.101907,5.633458
3150,412876800,9.371386e+16,6.083137,5.617588
3200,419430400,9.520139e+16,6.069096,5.602013
3250,425984000,9.668891e+16,6.051991,5.585652
3300,432537600,9.817643e+16,6.048311,5.576761
3350,439091200,9.966395e+16,6.030115,5.563077
3400,445644800,1.011515e+17,6.018532,5.551898
3450,452198400,1.026390e+17,5.996818,5.537155
3500,458752000,1.041265e+17,5.988450,5.520438
3550,465305600,1.056140e+17,5.979021,5.508712
3600,471859200,1.071016e+17,5.964811,5.496357
3650,478412800,1.085891e+17,5.952362,5.487711
3700,484966400,1.100766e+17,5.938516,5.473029
3750,491520000,1.115641e+17,5.925329,5.462136
3800,498073600,1.130516e+17,5.916452,5.452484
