step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,1.391569e+14,407.985962,260.557303
200,3276800,2.783139e+14,118.347313,47.345850
300,4915200,4.174708e+14,50.562546,37.555025
400,6553600,5.566278e+14,36.366123,32.977079
500,8192000,6.957847e+14,30.932337,29.204157
600,9830400,8.349416e+14,27.516743,26.201676
700,11468800,9.740986e+14,24.631083,23.462036
800,13107200,1.113256e+15,21.787367,20.971924
900,14745600,1.252412e+15,19.542562,18.793644
1000,16384000,1.391569e+15,17.472960,16.851061
1100,18022400,1.530726e+15,15.654592,14.994180
1200,19660800,1.669883e+15,14.050279,13.629849
1300,21299200,1.809040e+15,12.778071,12.443795
1400,22937600,1.948197e+15,11.734617,11.378872
1500,24576000,2.087354e+15,10.805354,10.637023
1600,26214400,2.226511e+15,10.030137,9.975982
1700,27852800,2.365668e+15,9.565835,9.572775
1800,29491200,2.504825e+15,9.262272,9.072126
1900,31129600,2.643982e+15,8.834271,8.705348
2000,32768000,2.783139e+15,8.564149,8.438546
2100,34406400,2.922296e+15,8.179639,8.223495
2200,36044800,3.061453e+15,7.971669,8.060439
2300,37683200,3.200610e+15,7.838509,7.929718
2400,39321600,3.339767e+15,7.668981,7.750860
2500,40960000,3.478924e+15,7.633316,7.653951
2600,42598400,3.618080e+15,7.506673,7.618347
2700,44236800,3.757237e+15,7.418581,7.513594
2800,45875200,3.896394e+15,7.356677,7.448794
2900,47513600,4.035551e+15,7.272366,7.377881
3000,49152000,4.174708e+15,7.225443,7.318825
3100,50790400,4.313865e+15,7.186318,7.277874
3200,52428800,4.453022e+15,7.104707,7.233520
3300,54067200,4.592179e+15,7.135444,7.174915
3400,55705600,4.731336e+15,7.111619,7.160205
3500,57344000,4.870493e+15,7.032480,7.163178
3600,58982400,5.009650e+15,7.068946,7.101619
3700,60620800,5.148807e+15,6.973656,7.071888
3800,62259200,5.287964e+15,7.029357,7.044214
3900,63897600,5.427121e+15,6.958070,7.007875
4000,65536000,5.566278e+15,6.953747,6.992771
4100,67174400,5.705435e+15,6.905042,6.977172
4200,68812800,5.844591e+15,6.929706,6.957713
4300,70451200,5.983748e+15,6.896875,6.947415
4400,72089600,6.122905e+15,6.855325,6.929654
4500,73728000,6.262062e+15,6.832457,6.899254
4600,75366400,6.401219e+15,6.782020,6.902912
4700,77004800,6.540376e+15,6.753248,6.874454
4800,78643200,6.679533e+15,6.755398,6.840948
4900,80281600,6.818690e+15,6.776977,6.826858
5000,81920000,6.957847e+15,6.731840,6.825610
5100,83558400,7.097004e+15,6.737822,6.798499
5200,85196800,7.236161e+15,6.675596,6.765692
5300,86835200,7.375318e+15,6.702668,6.750676
5400,88473600,7.514475e+15,6.653689,6.759220
5500,90112000,7.653632e+15,6.674726,6.725420
5600,91750400,7.792789e+15,6.636084,6.722970
5700,93388800,7.931946e+15,6.643104,6.680098
5800,95027200,8.071103e+15,6.653267,6.659143
5900,96665600,8.210259e+15,6.661722,6.684095
6000,98304000,8.349416e+15,6.552837,6.640256
6100,99942400,8.488573e+15,6.548405,6.640274
6200,101580800,8.627730e+15,6.547276,6.614224
6300,103219200,8.766887e+15,6.551007,6.614950
6400,104857600,8.906044e+15,6.524436,6.602509
6500,106496000,9.045201e+15,6.544549,6.592258
6600,108134400,9.184358e+15,6.524268,6.573665
6700,109772800,9.323515e+15,6.498345,6.545063
6800,111411200,9.462672e+15,6.471472,6.541200
6900,113049600,9.601829e+15,6.460336,6.529882
7000,114688000,9.740986e+15,6.444647,6.526554
7100,116326400,9.880143e+15,6.422218,6.507019
7200,117964800,1.001930e+16,6.409267,6.483469
7300,119603200,1.015846e+16,6.401005,6.485855
7400,121241600,1.029761e+16,6.371548,6.495957
7500,122880000,1.043677e+16,6.381981,6.536708
7600,124518400,1.057593e+16,6.393943,6.457359
7700,126156800,1.071508e+16,6.367009,6.421330
7800,127795200,1.085424e+16,6.343718,6.420461
7900,129433600,1.099340e+16,6.373696,6.408610
8000,131072000,1.113256e+16,6.353479,6.408648
8100,132710400,1.127171e+16,6.292769,6.397069
8200,134348800,1.141087e+16,6.328074,6.386254
8300,135987200,1.155003e+16,6.295110,6.380157
8400,137625600,1.168918e+16,6.319587,6.362034
8500,139264000,1.182834e+16,6.216325,6.357466
8600,140902400,1.196750e+16,6.322859,6.348132
8700,142540800,1.210665e+16,6.272089,6.338537
8800,144179200,1.224581e+16,6.265833,6.312420
