step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,1.391569e+14,224.966080,112.184948
200,3276800,2.783139e+14,76.442986,42.782090
300,4915200,4.174708e+14,42.698284,35.853350
400,6553600,5.566278e+14,34.401207,32.187459
500,8192000,6.957847e+14,30.157253,28.897422
600,9830400,8.349416e+14,26.893005,25.738734
700,11468800,9.740986e+14,24.035761,22.983476
800,13107200,1.113256e+15,21.199215,20.528916
900,14745600,1.252412e+15,18.786638,18.233496
1000,16384000,1.391569e+15,16.699247,16.115767
1100,18022400,1.530726e+15,14.912857,14.305673
1200,19660800,1.669883e+15,13.335469,12.920352
1300,21299200,1.809040e+15,12.131673,11.768954
1400,22937600,1.948197e+15,11.175200,10.840183
1500,24576000,2.087354e+15,10.303180,10.119711
1600,26214400,2.226511e+15,9.622824,9.626914
1700,27852800,2.365668e+15,9.183942,9.147589
1800,29491200,2.504825e+15,8.930581,8.764316
1900,31129600,2.643982e+15,8.554740,8.428126
2000,32768000,2.783139e+15,8.289093,8.232698
2100,34406400,2.922296e+15,7.962405,7.988347
2200,36044800,3.061453e+15,7.794436,7.850935
2300,37683200,3.200610e+15,7.644017,7.714830
2400,39321600,3.339767e+15,7.508435,7.590150
2500,40960000,3.478924e+15,7.443291,7.516759
2600,42598400,3.618080e+15,7.355434,7.436235
2700,44236800,3.757237e+15,7.299875,7.373867
2800,45875200,3.896394e+15,7.220475,7.235069
2900,47513600,4.035551e+15,7.124285,7.208245
3000,49152000,4.174708e+15,7.084271,7.131734
3100,50790400,4.313865e+15,7.018851,7.125397
3200,52428800,4.453022e+15,6.975517,7.069360
3300,54067200,4.592179e+15,6.983110,7.025781
3400,55705600,4.731336e+15,6.956620,6.992325
3500,57344000,4.870493e+15,6.905308,6.971539
3600,58982400,5.009650e+15,6.937801,6.943764
3700,60620800,5.148807e+15,6.843817,6.909509
3800,62259200,5.287964e+15,6.907448,6.896411
3900,63897600,5.427121e+15,6.819759,6.867279
4000,65536000,5.566278e+15,6.811638,6.833461
4100,67174400,5.705435e+15,6.769939,6.832762
4200,68812800,5.844591e+15,6.802412,6.795607
4300,70451200,5.983748e+15,6.767117,6.804936
4400,72089600,6.122905e+15,6.751836,6.769144
4500,73728000,6.262062e+15,6.744890,6.760469
4600,75366400,6.401219e+15,6.658825,6.744115
4700,77004800,6.540376e+15,6.637451,6.722599
4800,78643200,6.679533e+15,6.639366,6.718466
4900,80281600,6.818690e+15,6.696525,6.701326
5000,81920000,6.957847e+15,6.633288,6.690494
5100,83558400,7.097004e+15,6.657157,6.673158
5200,85196800,7.236161e+15,6.591357,6.658122
5300,86835200,7.375318e+15,6.637560,6.647651
5400,88473600,7.514475e+15,6.587361,6.660232
5500,90112000,7.653632e+15,6.593657,6.609754
5600,91750400,7.792789e+15,6.560610,6.622108
5700,93388800,7.931946e+15,6.571571,6.612733
5800,95027200,8.071103e+15,6.620052,6.575275
5900,96665600,8.210259e+15,6.605655,6.596410
6000,98304000,8.349416e+15,6.494024,6.574049
6100,99942400,8.488573e+15,6.482796,6.553501
6200,101580800,8.627730e+15,6.486873,6.543546
6300,103219200,8.766887e+15,6.502162,6.547378
6400,104857600,8.906044e+15,6.475364,6.528795
6500,106496000,9.045201e+15,6.503074,6.518547
6600,108134400,9.184358e+15,6.480659,6.524042
6700,109772800,9.323515e+15,6.450632,6.497310
6800,111411200,9.462672e+15,6.430352,6.482421
6900,113049600,9.601829e+15,6.431424,6.482401
7000,114688000,9.740986e+15,6.423620,6.473095
7100,116326400,9.880143e+15,6.398030,6.461814
7200,117964800,1.001930e+16,6.388626,6.445635
7300,119603200,1.015846e+16,6.393361,6.452301
7400,121241600,1.029761e+16,6.352737,6.459600
7500,122880000,1.043677e+16,6.374779,6.440950
7600,124518400,1.057593e+16,6.384692,6.427778
7700,126156800,1.071508e+16,6.360797,6.415490
7800,127795200,1.085424e+16,6.333548,6.402207
7900,129433600,1.099340e+16,6.342998,6.389168
8000,131072000,1.113256e+16,6.368413,6.386322
8100,132710400,1.127171e+16,6.302863,6.379782
8200,134348800,1.141087e+16,6.348231,6.374189
8300,135987200,1.155003e+16,6.299315,6.365223
8400,137625600,1.168918e+16,6.341504,6.352468
8500,139264000,1.182834e+16,6.248609,6.356102
8600,140902400,1.196750e+16,6.361745,6.334468
8700,142540800,1.210665e+16,6.295308,6.326766
8800,144179200,1.224581e+16,6.281278,6.330169
8900,145817600,1.238497e+16,6.243599,6.307973
9000,147456000,1.252412e+16,6.259363,6.308302
9100,149094400,1.266328e+16,6.242522,6.292813
9200,150732800,1.280244e+16,6.270934,6.314468
9300,152371200,1.294160e+16,6.208526,6.292446
9400,154009600,1.308075e+16,6.224030,6.288492
9500,155648000,1.321991e+16,6.271215,6.270619
9600,157286400,1.335907e+16,6.231408,6.261528
9700,158924800,1.349822e+16,6.236176,6.250376
9800,160563200,1.363738e+16,6.187288,6.232346
9900,162201600,1.377654e+16,6.175087,6.236843
10000,163840000,1.391569e+16,6.194839,6.243417
10100,165478400,1.405485e+16,6.206034,6.219397
10200,167116800,1.419401e+16,6.156268,6.223317
10300,168755200,1.433316e+16,6.156994,6.214566
10400,170393600,1.447232e+16,6.164569,6.210929
10500,172032000,1.461148e+16,6.162941,6.194845
10600,173670400,1.475064e+16,6.200474,6.186676
10700,175308800,1.488979e+16,6.147461,6.197072
10800,176947200,1.502895e+16,6.098915,6.192097
10900,178585600,1.516811e+16,6.161283,6.169422
11000,180224000,1.530726e+16,6.124830,6.168570
11100,181862400,1.544642e+16,6.091613,6.155055
11200,183500800,1.558558e+16,6.123567,6.159893
11300,185139200,1.572473e+16,6.087175,6.159002
11400,186777600,1.586389e+16,6.021047,6.141106
11500,188416000,1.600305e+16,6.039610,6.132762
11600,190054400,1.614221e+16,6.086945,6.130028
11700,191692800,1.628136e+16,6.071852,6.111675
11800,193331200,1.642052e+16,6.023603,6.106047
11900,194969600,1.655968e+16,6.076218,6.116737
12000,196608000,1.669883e+16,6.073689,6.104104
12100,198246400,1.683799e+16,5.975080,6.101092
12200,199884800,1.697715e+16,6.077223,6.088628
12300,201523200,1.711630e+16,6.020070,6.087020
12400,203161600,1.725546e+16,6.073802,6.080854
12500,204800000,1.739462e+16,6.026696,6.075920
12600,206438400,1.753377e+16,6.006826,6.067136
12700,208076800,1.767293e+16,6.027796,6.064009
12800,209715200,1.781209e+16,6.001417,6.060947
12900,211353600,1.795125e+16,5.984345,6.046482
13000,212992000,1.809040e+16,5.998800,6.045784
13100,214630400,1.822956e+16,5.983418,6.047537
13200,216268800,1.836872e+16,6.015594,6.048823
13300,217907200,1.850787e+16,5.978021,6.042148
13400,219545600,1.864703e+16,6.007497,6.033289
13500,221184000,1.878619e+16,6.015138,6.020608
13600,222822400,1.892534e+16,6.057997,6.048168
13700,224460800,1.906450e+16,5.987920,5.999150
13800,226099200,1.920366e+16,5.958916,6.006189
13900,227737600,1.934281e+16,5.982656,6.010944
14000,229376000,1.948197e+16,5.959752,6.000153
14100,231014400,1.962113e+16,5.922117,6.002793
14200,232652800,1.976029e+16,5.971076,5.990850
14300,234291200,1.989944e+16,5.944639,5.991516
14400,235929600,2.003860e+16,5.967604,5.989553
14500,237568000,2.017776e+16,5.908703,5.976354
14600,239206400,2.031691e+16,5.894061,5.974186
14700,240844800,2.045607e+16,5.926385,5.964095
14800,242483200,2.059523e+16,5.908469,5.963253
14900,244121600,2.073438e+16,5.928817,5.963352
15000,245760000,2.087354e+16,5.913823,5.946987
15100,247398400,2.101270e+16,5.889122,5.952163
15200,249036800,2.115185e+16,5.909095,5.933409
15300,250675200,2.129101e+16,5.910903,5.922506
15400,252313600,2.143017e+16,5.996181,5.934741
15500,253952000,2.156933e+16,5.884369,5.930611
15600,255590400,2.170848e+16,5.893251,5.918989
15700,257228800,2.184764e+16,5.872840,5.915360
15800,258867200,2.198680e+16,5.878348,5.917452
15900,260505600,2.212595e+16,5.871339,5.915135
16000,262144000,2.226511e+16,5.864209,5.905941
16100,263782400,2.240427e+16,5.846995,5.896640
16200,265420800,2.254342e+16,5.829854,5.900319
16300,267059200,2.268258e+16,5.912439,5.892763
16400,268697600,2.282174e+16,5.906704,5.926945
16500,270336000,2.296090e+16,5.899648,5.885484
16600,271974400,2.310005e+16,5.813270,5.888323
16700,273612800,2.323921e+16,5.959792,5.876060
16800,275251200,2.337837e+16,5.830466,5.867046
16900,276889600,2.351752e+16,5.839284,5.860310
17000,278528000,2.365668e+16,5.782590,5.864164
17100,280166400,2.379584e+16,5.713147,5.853581
17200,281804800,2.393499e+16,5.787384,5.851150
17300,283443200,2.407415e+16,5.803471,5.853126
17400,285081600,2.421331e+16,5.827965,5.851604
17500,286720000,2.435246e+16,5.830482,5.846607
17600,288358400,2.449162e+16,5.814005,5.834137
17700,289996800,2.463078e+16,5.795533,5.833212
17800,291635200,2.476994e+16,5.812513,5.821080
17900,293273600,2.490909e+16,5.791201,5.826539
18000,294912000,2.504825e+16,5.769907,5.817566
18100,296550400,2.518741e+16,5.808449,5.814767
18200,298188800,2.532656e+16,5.786985,5.823941
18300,299827200,2.546572e+16,5.774638,5.816875
18400,301465600,2.560488e+16,5.806847,5.809438
18500,303104000,2.574403e+16,5.785044,5.796754
18600,304742400,2.588319e+16,5.742056,5.806183
18700,306380800,2.602235e+16,5.806844,5.803947
18800,308019200,2.616150e+16,5.761600,5.789504
18900,309657600,2.630066e+16,5.777910,5.782596
19000,311296000,2.643982e+16,5.756614,5.774765
19100,312934400,2.657898e+16,5.717708,5.780916
19200,314572800,2.671813e+16,5.788656,5.769979
19300,316211200,2.685729e+16,5.748293,5.765747
19400,317849600,2.699645e+16,5.692414,5.765198
19500,319488000,2.713560e+16,5.653300,5.776728
19600,321126400,2.727476e+16,5.703191,5.764277
19700,322764800,2.741392e+16,5.723853,5.757100
19800,324403200,2.755307e+16,5.725344,5.752014
19900,326041600,2.769223e+16,5.728184,5.742124
20000,327680000,2.783139e+16,5.740289,5.737574
20100,329318400,2.797055e+16,5.707549,5.738242
20200,330956800,2.810970e+16,5.737765,5.731528
20300,332595200,2.824886e+16,5.710379,5.732284
20400,334233600,2.838802e+16,5.746400,5.720381
20500,335872000,2.852717e+16,5.693016,5.717904
20600,337510400,2.866633e+16,5.657035,5.732114
20700,339148800,2.880549e+16,5.649042,5.725164
20800,340787200,2.894464e+16,5.702896,5.706975
20900,342425600,2.908380e+16,5.689106,5.710287
21000,344064000,2.922296e+16,5.654784,5.700380
21100,345702400,2.936211e+16,5.744780,5.705879
21200,347340800,2.950127e+16,5.662614,5.696824
21300,348979200,2.964043e+16,5.678825,5.697807
21400,350617600,2.977959e+16,5.664100,5.698020
21500,352256000,2.991874e+16,5.647219,5.692459
21600,353894400,3.005790e+16,5.642677,5.682380
21700,355532800,3.019706e+16,5.637295,5.682378
21800,357171200,3.033621e+16,5.643066,5.680296
21900,358809600,3.047537e+16,5.679997,5.664994
22000,360448000,3.061453e+16,5.685003,5.672070
22100,362086400,3.075368e+16,5.655879,5.666033
22200,363724800,3.089284e+16,5.659394,5.660491
22300,365363200,3.103200e+16,5.634058,5.660080
22400,367001600,3.117115e+16,5.659512,5.660443
22500,368640000,3.131031e+16,5.647193,5.655721
22600,370278400,3.144947e+16,5.664587,5.653439
22700,371916800,3.158863e+16,5.612693,5.643274
22800,373555200,3.172778e+16,5.600526,5.644918
22900,375193600,3.186694e+16,5.624792,5.632019
23000,376832000,3.200610e+16,5.577835,5.644013
23100,378470400,3.214525e+16,5.584624,5.632789
23200,380108800,3.228441e+16,5.563736,5.624218
23300,381747200,3.242357e+16,5.612257,5.627770
23400,383385600,3.256272e+16,5.631602,5.625065
23500,385024000,3.270188e+16,5.585237,5.624636
23600,386662400,3.284104e+16,5.571450,5.617936
23700,388300800,3.298019e+16,5.607716,5.611851
23800,389939200,3.311935e+16,5.632146,5.611594
23900,391577600,3.325851e+16,5.562195,5.602924
24000,393216000,3.339767e+16,5.591987,5.602401
24100,394854400,3.353682e+16,5.577515,5.593200
24200,396492800,3.367598e+16,5.596825,5.589162
24300,398131200,3.381514e+16,5.579532,5.594744
24400,399769600,3.395429e+16,5.548038,5.584367
24500,401408000,3.409345e+16,5.572510,5.580383
24600,403046400,3.423261e+16,5.599516,5.580710
24700,404684800,3.437176e+16,5.579234,5.576791
24800,406323200,3.451092e+16,5.593774,5.580702
24900,407961600,3.465008e+16,5.578457,5.577420
25000,409600000,3.478924e+16,5.537193,5.561128
25100,411238400,3.492839e+16,5.547737,5.564864
25200,412876800,3.506755e+16,5.544082,5.556648
25300,414515200,3.520671e+16,5.568859,5.558728
25400,416153600,3.534586e+16,5.481049,5.569557
25500,417792000,3.548502e+16,5.515643,5.543149
25600,419430400,3.562418e+16,5.523479,5.546709
25700,421068800,3.576333e+16,5.523719,5.550517
25800,422707200,3.590249e+16,5.576795,5.548253
25900,424345600,3.604165e+16,5.577258,5.552526
26000,425984000,3.618080e+16,5.527932,5.536979
26100,427622400,3.631996e+16,5.505856,5.539169
26200,429260800,3.645912e+16,5.484367,5.530930
26300,430899200,3.659828e+16,5.504513,5.526759
26400,432537600,3.673743e+16,5.510503,5.522078
26500,434176000,3.687659e+16,5.517752,5.525805
26600,435814400,3.701575e+16,5.539551,5.515826
26700,437452800,3.715490e+16,5.512142,5.522337
26800,439091200,3.729406e+16,5.545397,5.512817
26900,440729600,3.743322e+16,5.485611,5.511510
27000,442368000,3.757237e+16,5.511153,5.507122
27100,444006400,3.771153e+16,5.535868,5.493612
27200,445644800,3.785069e+16,5.544861,5.496461
27300,447283200,3.798984e+16,5.498343,5.497947
27400,448921600,3.812900e+16,5.469467,5.488640
27500,450560000,3.826816e+16,5.501584,5.484375
27600,452198400,3.840732e+16,5.479897,5.484757
27700,453836800,3.854647e+16,5.521551,5.482657
27800,455475200,3.868563e+16,5.488807,5.471146
27900,457113600,3.882479e+16,5.486380,5.472279
28000,458752000,3.896394e+16,5.507898,5.472331
28100,460390400,3.910310e+16,5.463032,5.465350
28200,462028800,3.924226e+16,5.434325,5.464446
28300,463667200,3.938141e+16,5.471804,5.461918
28400,465305600,3.952057e+16,5.454482,5.471880
28500,466944000,3.965973e+16,5.434551,5.458931
28600,468582400,3.979888e+16,5.420183,5.465444
28700,470220800,3.993804e+16,5.449269,5.455490
28800,471859200,4.007720e+16,5.418691,5.458945
28900,473497600,4.021636e+16,5.419738,5.451749
29000,475136000,4.035551e+16,5.464876,5.446076
29100,476774400,4.049467e+16,5.450621,5.439549
