step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,8.933532e+13,10.895056,10.668612
100,13107200,1.786706e+14,10.449444,9.890159
150,19660800,2.680060e+14,9.883425,9.355985
200,26214400,3.573413e+14,9.337699,8.821903
250,32768000,4.466766e+14,8.797596,8.289351
300,39321600,5.360119e+14,8.288726,7.883549
350,45875200,6.253472e+14,7.936560,7.699580
400,52428800,7.146826e+14,7.723542,7.608049
450,58982400,8.040179e+14,7.591499,7.526866
500,65536000,8.933532e+14,7.494253,7.444017
550,72089600,9.826885e+14,7.401095,7.362128
600,78643200,1.072024e+15,7.320160,7.286803
650,85196800,1.161359e+15,7.251549,7.220786
700,91750400,1.250694e+15,7.175473,7.160844
750,98304000,1.340030e+15,7.114973,7.106321
800,104857600,1.429365e+15,7.058306,7.059163
850,111411200,1.518700e+15,7.006618,7.011926
900,117964800,1.608036e+15,6.958095,6.966116
950,124518400,1.697371e+15,6.911301,6.925148
1000,131072000,1.786706e+15,6.868546,6.884850
1050,137625600,1.876042e+15,6.834581,6.846381
1100,144179200,1.965377e+15,6.798220,6.808259
1150,150732800,2.054712e+15,6.754867,6.775525
1200,157286400,2.144048e+15,6.720291,6.738082
1250,163840000,2.233383e+15,6.683405,6.704604
1300,170393600,2.322718e+15,6.652083,6.668874
1350,176947200,2.412054e+15,6.616975,6.635341
1400,183500800,2.501389e+15,6.590938,6.603386
1450,190054400,2.590724e+15,6.556347,6.573523
1500,196608000,2.680060e+15,6.524406,6.536658
1550,203161600,2.769395e+15,6.495489,6.510476
1600,209715200,2.858730e+15,6.461263,6.475436
1650,216268800,2.948066e+15,6.428129,6.447307
1700,222822400,3.037401e+15,6.402338,6.419201
1750,229376000,3.126736e+15,6.385573,6.394523
1800,235929600,3.216072e+15,6.354973,6.367346
1850,242483200,3.305407e+15,6.323901,6.342130
1900,249036800,3.394742e+15,6.298833,6.320695
1950,255590400,3.484077e+15,6.278228,6.296847
2000,262144000,3.573413e+15,6.251583,6.276920
2050,268697600,3.662748e+15,6.225428,6.250070
2100,275251200,3.752083e+15,6.206686,6.230447
2150,281804800,3.841419e+15,6.182734,6.207600
2200,288358400,3.930754e+15,6.166373,6.187759
2250,294912000,4.020089e+15,6.133614,6.168202
2300,301465600,4.109425e+15,6.123725,6.146774
2350,308019200,4.198760e+15,6.096610,6.126014
2400,314572800,4.288095e+15,6.076198,6.109929
2450,321126400,4.377431e+15,6.059931,6.093067
2500,327680000,4.466766e+15,6.042705,6.072530
2550,334233600,4.556101e+15,6.036331,6.061711
2600,340787200,4.645437e+15,6.017776,6.040235
2650,347340800,4.734772e+15,5.999652,6.024745
2700,353894400,4.824107e+15,5.984501,6.012918
2750,360448000,4.913443e+15,5.975491,5.998365
2800,367001600,5.002778e+15,5.949848,5.983183
2850,373555200,5.092113e+15,5.942764,5.971829
2900,380108800,5.181449e+15,5.929774,5.958091
2950,386662400,5.270784e+15,5.914461,5.939009
3000,393216000,5.360119e+15,5.900644,5.927201
3050,399769600,5.449455e+15,5.881472,5.916276
3100,406323200,5.538790e+15,5.875365,5.902413
3150,412876800,5.628125e+15,5.858001,5.894392
3200,419430400,5.717460e+15,5.848073,5.880275
3250,425984000,5.806796e+15,5.830380,5.866139
3300,432537600,5.896131e+15,5.830525,5.856494
3350,439091200,5.985466e+15,5.814696,5.844569
3400,445644800,6.074802e+15,5.806334,5.834808
3450,452198400,6.164137e+15,5.784429,5.824167
3500,458752000,6.253472e+15,5.780164,5.816649
3550,465305600,6.342808e+15,5.769523,5.802194
3600,471859200,6.432143e+15,5.760264,5.796900
3650,478412800,6.521478e+15,5.747780,5.780776
3700,484966400,6.610814e+15,5.739048,5.770214
3750,491520000,6.700149e+15,5.727612,5.760750
3800,498073600,6.789484e+15,5.719771,5.753813
3850,504627200,6.878820e+15,5.715640,5.743260
3900,511180800,6.968155e+15,5.699275,5.732997
3950,517734400,7.057490e+15,5.697729,5.724459
4000,524288000,7.146826e+15,5.681164,5.716852
4050,530841600,7.236161e+15,5.680181,5.705984
4100,537395200,7.325496e+15,5.669065,5.696752
4150,543948800,7.414832e+15,5.653484,5.689971
4200,550502400,7.504167e+15,5.641969,5.680217
4250,557056000,7.593502e+15,5.635125,5.670727
4300,563609600,7.682837e+15,5.629403,5.662926
4350,570163200,7.772173e+15,5.623476,5.656056
4400,576716800,7.861508e+15,5.616123,5.649390
4450,583270400,7.950843e+15,5.606254,5.640118
4500,589824000,8.040179e+15,5.594997,5.633989
4550,596377600,8.129514e+15,5.584386,5.627895
4600,602931200,8.218849e+15,5.582195,5.617643
4650,609484800,8.308185e+15,5.580278,5.609498
4700,616038400,8.397520e+15,5.567243,5.602897
4750,622592000,8.486855e+15,5.560785,5.594763
4800,629145600,8.576191e+15,5.555858,5.585858
4850,635699200,8.665526e+15,5.555200,5.583335
4900,642252800,8.754861e+15,5.544539,5.572994
4950,648806400,8.844197e+15,5.545579,5.565759
5000,655360000,8.933532e+15,5.529801,5.561350
5050,661913600,9.022867e+15,5.529452,5.552946
5100,668467200,9.112203e+15,5.519165,5.549759
5150,675020800,9.201538e+15,5.507540,5.540373
5200,681574400,9.290873e+15,5.505344,5.533891
5250,688128000,9.380209e+15,5.499195,5.529100
5300,694681600,9.469544e+15,5.493552,5.522043
5350,701235200,9.558879e+15,5.487179,5.515256
5400,707788800,9.648215e+15,5.480491,5.509822
5450,714342400,9.737550e+15,5.472115,5.503826
5500,720896000,9.826885e+15,5.464915,5.496732
5550,727449600,9.916220e+15,5.458074,5.492377
5600,734003200,1.000556e+16,5.457090,5.487231
5650,740556800,1.009489e+16,5.446003,5.479792
5700,747110400,1.018423e+16,5.445278,5.475794
5750,753664000,1.027356e+16,5.433257,5.470444
5800,760217600,1.036290e+16,5.433805,5.462586
5850,766771200,1.045223e+16,5.426620,5.460003
5900,773324800,1.054157e+16,5.422501,5.453420
5950,779878400,1.063090e+16,5.420261,5.449321
6000,786432000,1.072024e+16,5.411372,5.443568
6050,792985600,1.080957e+16,5.409806,5.437997
6100,799539200,1.089891e+16,5.401498,5.432549
6150,806092800,1.098824e+16,5.392906,5.428106
6200,812646400,1.107758e+16,5.392106,5.422583
6250,819200000,1.116691e+16,5.379607,5.415843
6300,825753600,1.125625e+16,5.378677,5.410925
6350,832307200,1.134559e+16,5.370184,5.406351
6400,838860800,1.143492e+16,5.370177,5.404333
6450,845414400,1.152426e+16,5.362952,5.398799
6500,851968000,1.161359e+16,5.355510,5.393165
6550,858521600,1.170293e+16,5.347581,5.388211
6600,865075200,1.179226e+16,5.351245,5.381918
6650,871628800,1.188160e+16,5.348848,5.380533
6700,878182400,1.197093e+16,5.346743,5.376937
6750,884736000,1.206027e+16,5.333960,5.371171
6800,891289600,1.214960e+16,5.332945,5.367457
6850,897843200,1.223894e+16,5.322624,5.362426
6900,904396800,1.232827e+16,5.328046,5.357242
6950,910950400,1.241761e+16,5.322108,5.353989
7000,917504000,1.250694e+16,5.315381,5.350297
7050,924057600,1.259628e+16,5.313018,5.346882
7100,930611200,1.268562e+16,5.307517,5.340949
7150,937164800,1.277495e+16,5.305682,5.336320
7200,943718400,1.286429e+16,5.300841,5.332879
7250,950272000,1.295362e+16,5.300977,5.328806
7300,956825600,1.304296e+16,5.289223,5.324750
7350,963379200,1.313229e+16,5.291526,5.322990
7400,969932800,1.322163e+16,5.286817,5.318538
7450,976486400,1.331096e+16,5.281005,5.314480
7500,983040000,1.340030e+16,5.279764,5.309308
7550,989593600,1.348963e+16,5.276860,5.305489
7600,996147200,1.357897e+16,5.270148,5.301926
7650,1002700800,1.366830e+16,5.267145,5.297653
7700,1009254400,1.375764e+16,5.266927,5.293846
7750,1015808000,1.384697e+16,5.257122,5.290047
7800,1022361600,1.393631e+16,5.253605,5.287791
7850,1028915200,1.402565e+16,5.259600,5.283579
7900,1035468800,1.411498e+16,5.248746,5.279967
7950,1042022400,1.420432e+16,5.242255,5.277270
8000,1048576000,1.429365e+16,5.235478,5.274792
8050,1055129600,1.438299e+16,5.235221,5.271955
8100,1061683200,1.447232e+16,5.232052,5.267429
8150,1068236800,1.456166e+16,5.229412,5.265023
8200,1074790400,1.465099e+16,5.222089,5.261571
8250,1081344000,1.474033e+16,5.217504,5.258224
8300,1087897600,1.482966e+16,5.216725,5.255132
8350,1094451200,1.491900e+16,5.215584,5.249932
8400,1101004800,1.500833e+16,5.215088,5.248978
8450,1107558400,1.509767e+16,5.207389,5.242440
8500,1114112000,1.518700e+16,5.203221,5.239272
8550,1120665600,1.527634e+16,5.204829,5.234472
8600,1127219200,1.536567e+16,5.206333,5.233067
8650,1133772800,1.545501e+16,5.198991,5.229967
8700,1140326400,1.554435e+16,5.193139,5.226049
8750,1146880000,1.563368e+16,5.186167,5.223794
8800,1153433600,1.572302e+16,5.189669,5.220086
8850,1159987200,1.581235e+16,5.189901,5.216798
8900,1166540800,1.590169e+16,5.181966,5.212918
8950,1173094400,1.599102e+16,5.183155,5.209574
9000,1179648000,1.608036e+16,5.183883,5.206470
9050,1186201600,1.616969e+16,5.181117,5.204500
9100,1192755200,1.625903e+16,5.166041,5.201627
9150,1199308800,1.634836e+16,5.164384,5.197578
9200,1205862400,1.643770e+16,5.157273,5.195177
9250,1212416000,1.652703e+16,5.167510,5.189811
9300,1218969600,1.661637e+16,5.157707,5.188308
9350,1225523200,1.670570e+16,5.154683,5.186973
9400,1232076800,1.679504e+16,5.148456,5.182833
9450,1238630400,1.688438e+16,5.150023,5.181534
9500,1245184000,1.697371e+16,5.145234,5.178810
9550,1251737600,1.706305e+16,5.141592,5.174520
9600,1258291200,1.715238e+16,5.139603,5.173123
9650,1264844800,1.724172e+16,5.140646,5.169511
9700,1271398400,1.733105e+16,5.139137,5.168817
9750,1277952000,1.742039e+16,5.135133,5.166781
9800,1284505600,1.750972e+16,5.137128,5.162277
9850,1291059200,1.759906e+16,5.129887,5.158825
9900,1297612800,1.768839e+16,5.120568,5.155293
9950,1304166400,1.777773e+16,5.121259,5.152595
10000,1310720000,1.786706e+16,5.124653,5.149572
10050,1317273600,1.795640e+16,5.118681,5.148103
10100,1323827200,1.804573e+16,5.112270,5.145386
10150,1330380800,1.813507e+16,5.112643,5.143570
10200,1336934400,1.822441e+16,5.106169,5.140502
10250,1343488000,1.831374e+16,5.107476,5.140317
10300,1350041600,1.840308e+16,5.109184,5.135916
10350,1356595200,1.849241e+16,5.102959,5.132912
10400,1363148800,1.858175e+16,5.101975,5.129060
10450,1369702400,1.867108e+16,5.107826,5.127500
10500,1376256000,1.876042e+16,5.100737,5.123722
10550,1382809600,1.884975e+16,5.092355,5.121760
10600,1389363200,1.893909e+16,5.075005,5.119717
10650,1395916800,1.902842e+16,5.083980,5.117460
10700,1402470400,1.911776e+16,5.080226,5.116936
10750,1409024000,1.920709e+16,5.079818,5.113841
10800,1415577600,1.929643e+16,5.075708,5.110882
10850,1422131200,1.938576e+16,5.075356,5.110070
10900,1428684800,1.947510e+16,5.070181,5.106524
10950,1435238400,1.956444e+16,5.076537,5.104176
11000,1441792000,1.965377e+16,5.065199,5.102498
11050,1448345600,1.974311e+16,5.066804,5.098593
11100,1454899200,1.983244e+16,5.060227,5.094728
11150,1461452800,1.992178e+16,5.056615,5.093829
11200,1468006400,2.001111e+16,5.062953,5.092823
11250,1474560000,2.010045e+16,5.060913,5.090018
11300,1481113600,2.018978e+16,5.058894,5.086683
11350,1487667200,2.027912e+16,5.060168,5.084053
11400,1494220800,2.036845e+16,5.047343,5.082410
11450,1500774400,2.045779e+16,5.049121,5.079798
11500,1507328000,2.054712e+16,5.040548,5.077417
11550,1513881600,2.063646e+16,5.046712,5.075357
11600,1520435200,2.072579e+16,5.043245,5.073828
11650,1526988800,2.081513e+16,5.043647,5.070367
11700,1533542400,2.090446e+16,5.034614,5.068983
11750,1540096000,2.099380e+16,5.038890,5.066760
11800,1546649600,2.108314e+16,5.037170,5.066684
11850,1553203200,2.117247e+16,5.028411,5.063605
11900,1559756800,2.126181e+16,5.026158,5.061343
11950,1566310400,2.135114e+16,5.022444,5.060493
12000,1572864000,2.144048e+16,5.016153,5.058044
12050,1579417600,2.152981e+16,5.022893,5.055427
12100,1585971200,2.161915e+16,5.021234,5.052721
12150,1592524800,2.170848e+16,5.022721,5.052412
12200,1599078400,2.179782e+16,5.019162,5.049663
12250,1605632000,2.188715e+16,5.016651,5.046576
