step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,6553600,3.195456e+14,126.764168,65.840849
200,13107200,6.390911e+14,55.078735,38.749193
300,19660800,9.586367e+14,38.085735,34.216631
400,26214400,1.278182e+15,32.791920,30.860253
500,32768000,1.597728e+15,29.564592,27.939924
600,39321600,1.917273e+15,26.288033,24.871171
700,45875200,2.236819e+15,23.419065,21.930498
800,52428800,2.556365e+15,20.511171,19.142237
900,58982400,2.875910e+15,18.016279,16.836800
1000,65536000,3.195456e+15,16.004183,15.080588
1100,72089600,3.515001e+15,14.274784,13.458932
1200,78643200,3.834547e+15,12.688478,12.056151
1300,85196800,4.154092e+15,11.505404,10.955003
1400,91750400,4.473638e+15,10.584318,10.205699
1500,98304000,4.793184e+15,9.880930,9.551622
1600,104857600,5.112729e+15,9.343599,9.116354
1700,111411200,5.432275e+15,8.944188,8.768952
1800,117964800,5.751820e+15,8.613185,8.483596
1900,124518400,6.071366e+15,8.351130,8.244084
2000,131072000,6.390911e+15,8.142747,8.083685
2100,137625600,6.710457e+15,8.006447,7.908378
2200,144179200,7.030002e+15,7.823882,7.754377
2300,150732800,7.349548e+15,7.697546,7.645043
2400,157286400,7.669094e+15,7.632999,7.569048
2500,163840000,7.988639e+15,7.553056,7.512906
2600,170393600,8.308185e+15,7.452908,7.434056
2700,176947200,8.627730e+15,7.392094,7.389708
2800,183500800,8.947276e+15,7.370025,7.344087
2900,190054400,9.266821e+15,7.305007,7.290807
3000,196608000,9.586367e+15,7.282429,7.263087
3100,203161600,9.905913e+15,7.239441,7.213604
3200,209715200,1.022546e+16,7.209898,7.196004
3300,216268800,1.054500e+16,7.173264,7.171081
3400,222822400,1.086455e+16,7.178866,7.139358
3500,229376000,1.118409e+16,7.133969,7.112962
3600,235929600,1.150364e+16,7.113232,7.111351
3700,242483200,1.182319e+16,7.081269,7.092795
3800,249036800,1.214273e+16,7.075306,7.061265
3900,255590400,1.246228e+16,7.068588,7.040472
4000,262144000,1.278182e+16,7.051439,7.033472
4100,268697600,1.310137e+16,7.042154,7.032141
4200,275251200,1.342091e+16,7.019932,6.995360
4300,281804800,1.374046e+16,6.959061,6.989785
4400,288358400,1.406000e+16,6.995464,6.964956
4500,294912000,1.437955e+16,6.946187,6.953370
4600,301465600,1.469910e+16,6.958778,6.944373
4700,308019200,1.501864e+16,6.941756,6.929714
4800,314572800,1.533819e+16,6.934244,6.914559
4900,321126400,1.565773e+16,6.871402,6.896769
5000,327680000,1.597728e+16,6.882732,6.888313
5100,334233600,1.629682e+16,6.896984,6.880305
5200,340787200,1.661637e+16,6.861022,6.868762
5300,347340800,1.693592e+16,6.852524,6.837016
5400,353894400,1.725546e+16,6.824001,6.827040
5500,360448000,1.757501e+16,6.837050,6.836077
5600,367001600,1.789455e+16,6.820263,6.820763
5700,373555200,1.821410e+16,6.799847,6.797607
5800,380108800,1.853364e+16,6.776125,6.785927
5900,386662400,1.885319e+16,6.786339,6.788597
6000,393216000,1.917273e+16,6.773381,6.758839
6100,399769600,1.949228e+16,6.757854,6.750615
6200,406323200,1.981183e+16,6.769364,6.747289
6300,412876800,2.013137e+16,6.745742,6.735258
6400,419430400,2.045092e+16,6.708997,6.718714
6500,425984000,2.077046e+16,6.720429,6.705206
6600,432537600,2.109001e+16,6.702937,6.708033
6700,439091200,2.140955e+16,6.719309,6.690895
6800,445644800,2.172910e+16,6.709936,6.670181
6900,452198400,2.204864e+16,6.667590,6.659451
7000,458752000,2.236819e+16,6.679839,6.651236
7100,465305600,2.268774e+16,6.643733,6.644170
7200,471859200,2.300728e+16,6.636963,6.643190
7300,478412800,2.332683e+16,6.623131,6.618490
7400,484966400,2.364637e+16,6.643850,6.616178
7500,491520000,2.396592e+16,6.586150,6.609581
7600,498073600,2.428546e+16,6.629646,6.595257
7700,504627200,2.460501e+16,6.610916,6.587465
7800,511180800,2.492455e+16,6.575382,6.569406
7900,517734400,2.524410e+16,6.618668,6.568390
8000,524288000,2.556365e+16,6.568447,6.554964
8100,530841600,2.588319e+16,6.530554,6.543366
8200,537395200,2.620274e+16,6.561024,6.532400
