step,tokens_seen,cumulative_flops,train_loss,eval_loss
10,1310720,5.153961e+13,201.221060,200.070866
20,2621440,1.030792e+14,200.694206,195.726600
30,3932160,1.546188e+14,199.092114,187.365006
40,5242880,2.061584e+14,195.862248,173.657589
50,6553600,2.576980e+14,190.133247,153.923549
60,7864320,3.092376e+14,181.469816,129.959751
70,9175040,3.607773e+14,169.909874,106.851305
80,10485760,4.123169e+14,156.753722,89.749466
90,11796480,4.638565e+14,143.364780,77.637277
100,13107200,5.153961e+14,130.454248,68.391974
110,14417920,5.669357e+14,118.439789,61.579408
120,15728640,6.184753e+14,107.513925,56.416728
130,17039360,6.700149e+14,97.772825,52.400375
140,18350080,7.215545e+14,89.154701,49.126544
150,19660800,7.730941e+14,81.565390,46.479638
160,20971520,8.246337e+14,74.913305,44.310683
170,22282240,8.761733e+14,69.100886,42.493984
180,23592960,9.277129e+14,64.063593,41.077965
190,24903680,9.792525e+14,59.700996,39.965468
200,26214400,1.030792e+15,55.951331,39.005756
210,27525120,1.082332e+15,52.730111,38.189551
220,28835840,1.133871e+15,49.974939,37.496797
230,30146560,1.185411e+15,47.596929,36.902845
240,31457280,1.236951e+15,45.558351,36.400249
250,32768000,1.288490e+15,43.797593,35.920752
260,34078720,1.340030e+15,42.272721,35.502391
270,35389440,1.391569e+15,40.946213,35.142824
280,36700160,1.443109e+15,39.809629,34.788944
290,38010880,1.494649e+15,38.798129,34.436090
300,39321600,1.546188e+15,37.922714,34.068793
310,40632320,1.597728e+15,37.167204,33.690076
320,41943040,1.649267e+15,36.457541,33.316253
330,43253760,1.700807e+15,35.834317,32.961525
340,44564480,1.752347e+15,35.244587,32.607788
350,45875200,1.803886e+15,34.685448,32.232498
360,47185920,1.855426e+15,34.179141,31.848475
370,48496640,1.906965e+15,33.685464,31.476401
380,49807360,1.958505e+15,33.212679,31.127093
390,51118080,2.010045e+15,32.737986,30.824934
400,52428800,2.061584e+15,32.320015,30.557416
410,53739520,2.113124e+15,31.918830,30.303394
420,55050240,2.164664e+15,31.564315,30.020794
430,56360960,2.216203e+15,31.212624,29.725854
440,57671680,2.267743e+15,30.884643,29.419678
450,58982400,2.319282e+15,30.552723,29.146998
460,60293120,2.370822e+15,30.242822,28.851049
470,61603840,2.422362e+15,29.938624,28.512326
480,62914560,2.473901e+15,29.593515,28.130484
490,64225280,2.525441e+15,29.261717,27.789178
500,65536000,2.576980e+15,28.950084,27.480778
510,66846720,2.628520e+15,28.634001,27.194065
520,68157440,2.680060e+15,28.298159,26.901272
530,69468160,2.731599e+15,28.018229,26.600655
540,70778880,2.783139e+15,27.692903,26.290588
550,72089600,2.834678e+15,27.371328,25.990455
560,73400320,2.886218e+15,27.061944,25.663899
570,74711040,2.937758e+15,26.743311,25.357321
580,76021760,2.989297e+15,26.422039,25.105788
590,77332480,3.040837e+15,26.138073,24.820369
600,78643200,3.092376e+15,25.851623,24.539046
610,79953920,3.143916e+15,25.562677,24.239554
620,81264640,3.195456e+15,25.260601,23.935920
630,82575360,3.246995e+15,24.963882,23.629937
640,83886080,3.298535e+15,24.674804,23.322095
650,85196800,3.350074e+15,24.385741,23.048466
