step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,6.442451e+13,135.287415,71.320201
200,3276800,1.288490e+14,57.921585,40.146968
300,4915200,1.932735e+14,39.221680,34.957820
400,6553600,2.576980e+14,33.271091,31.637581
500,8192000,3.221225e+14,29.703037,28.632148
600,9830400,3.865471e+14,26.836052,25.913174
700,11468800,4.509716e+14,24.243704,23.301366
800,13107200,5.153961e+14,21.473686,20.781558
900,14745600,5.798206e+14,19.326685,18.765606
1000,16384000,6.442451e+14,17.533159,16.928472
1100,18022400,7.086696e+14,15.797917,15.253670
1200,19660800,7.730941e+14,14.303500,13.946544
1300,21299200,8.375186e+14,13.173813,12.773317
1400,22937600,9.019431e+14,12.111558,11.735150
1500,24576000,9.663676e+14,11.268103,11.018622
1600,26214400,1.030792e+15,10.559062,10.422230
1700,27852800,1.095217e+15,10.110470,9.902955
1800,29491200,1.159641e+15,9.780190,9.574311
1900,31129600,1.224066e+15,9.383360,9.233621
2000,32768000,1.288490e+15,9.056396,8.945987
2100,34406400,1.352915e+15,8.693802,8.707105
2200,36044800,1.417339e+15,8.480585,8.510574
2300,37683200,1.481764e+15,8.331387,8.333009
2400,39321600,1.546188e+15,8.124152,8.206838
2500,40960000,1.610613e+15,8.056738,8.065246
2600,42598400,1.675037e+15,7.952080,7.965728
2700,44236800,1.739462e+15,7.840785,7.891645
2800,45875200,1.803886e+15,7.760287,7.806751
2900,47513600,1.868311e+15,7.682378,7.731788
3000,49152000,1.932735e+15,7.614562,7.694196
3100,50790400,1.997160e+15,7.605690,7.641240
3200,52428800,2.061584e+15,7.497141,7.606443
3300,54067200,2.126009e+15,7.506136,7.538931
3400,55705600,2.190433e+15,7.473068,7.514944
3500,57344000,2.254858e+15,7.403591,7.481747
3600,58982400,2.319282e+15,7.438988,7.446823
3700,60620800,2.383707e+15,7.347767,7.434684
3800,62259200,2.448131e+15,7.412366,7.402428
3900,63897600,2.512556e+15,7.330149,7.373699
4000,65536000,2.576980e+15,7.325958,7.356254
4100,67174400,2.641405e+15,7.287745,7.342657
4200,68812800,2.705829e+15,7.294808,7.327321
4300,70451200,2.770254e+15,7.276859,7.304845
4400,72089600,2.834678e+15,7.244937,7.297887
4500,73728000,2.899103e+15,7.219813,7.279201
4600,75366400,2.963527e+15,7.168324,7.284105
4700,77004800,3.027952e+15,7.148982,7.243506
4800,78643200,3.092376e+15,7.156186,7.246048
4900,80281600,3.156801e+15,7.183454,7.217986
5000,81920000,3.221225e+15,7.152530,7.214229
5100,83558400,3.285650e+15,7.155942,7.200977
5200,85196800,3.350074e+15,7.101761,7.188289
5300,86835200,3.414499e+15,7.137169,7.177535
5400,88473600,3.478924e+15,7.082855,7.195322
5500,90112000,3.543348e+15,7.117455,7.152804
5600,91750400,3.607773e+15,7.088825,7.170490
5700,93388800,3.672197e+15,7.103181,7.135341
5800,95027200,3.736622e+15,7.117488,7.129459
5900,96665600,3.801046e+15,7.129764,7.130520
6000,98304000,3.865471e+15,7.015714,7.111174
6100,99942400,3.929895e+15,7.015158,7.105106
6200,101580800,3.994320e+15,7.021759,7.092322
6300,103219200,4.058744e+15,7.035942,7.096385
6400,104857600,4.123169e+15,7.003975,7.084413
6500,106496000,4.187593e+15,7.037338,7.079271
6600,108134400,4.252018e+15,7.025974,7.084705
6700,109772800,4.316442e+15,7.007541,7.054603
6800,111411200,4.380867e+15,6.982599,7.051845
6900,113049600,4.445291e+15,6.978158,7.053179
7000,114688000,4.509716e+15,6.966722,7.037025
7100,116326400,4.574140e+15,6.956773,7.032837
7200,117964800,4.638565e+15,6.940828,7.016704
7300,119603200,4.702989e+15,6.935704,7.010857
7400,121241600,4.767414e+15,6.907915,7.025394
7500,122880000,4.831838e+15,6.916499,7.026622
7600,124518400,4.896263e+15,6.943605,6.993970
7700,126156800,4.960687e+15,6.923388,6.982992
7800,127795200,5.025112e+15,6.908119,6.968115
7900,129433600,5.089536e+15,6.927261,6.961391
8000,131072000,5.153961e+15,6.915767,6.955575
8100,132710400,5.218385e+15,6.856435,6.954699
8200,134348800,5.282810e+15,6.899227,6.953126
8300,135987200,5.347234e+15,6.867392,6.958785
8400,137625600,5.411659e+15,6.894222,6.944056
8500,139264000,5.476083e+15,6.807536,6.940555
8600,140902400,5.540508e+15,6.907495,6.928294
8700,142540800,5.604932e+15,6.858253,6.928397
8800,144179200,5.669357e+15,6.856500,6.916967
8900,145817600,5.733781e+15,6.825899,6.902808
9000,147456000,5.798206e+15,6.844098,6.904558
9100,149094400,5.862630e+15,6.816563,6.894943
9200,150732800,5.927055e+15,6.846034,6.914929
9300,152371200,5.991479e+15,6.787973,6.877543
9400,154009600,6.055904e+15,6.812250,6.880212
9500,155648000,6.120328e+15,6.838305,6.862773
9600,157286400,6.184753e+15,6.825752,6.850687
9700,158924800,6.249177e+15,6.813325,6.850142
9800,160563200,6.313602e+15,6.781409,6.842181
9900,162201600,6.378026e+15,6.778136,6.842802
10000,163840000,6.442451e+15,6.785653,6.846315
10100,165478400,6.506875e+15,6.790661,6.825686
10200,167116800,6.571300e+15,6.744825,6.841383
10300,168755200,6.635724e+15,6.738115,6.816421
10400,170393600,6.700149e+15,6.751013,6.819460
10500,172032000,6.764573e+15,6.745722,6.802056
10600,173670400,6.828998e+15,6.764291,6.800740
10700,175308800,6.893423e+15,6.745726,6.802631
10800,176947200,6.957847e+15,6.712524,6.796296
10900,178585600,7.022272e+15,6.771412,6.785703
11000,180224000,7.086696e+15,6.727543,6.774682
11100,181862400,7.151121e+15,6.699880,6.779181
11200,183500800,7.215545e+15,6.746846,6.775700
11300,185139200,7.279970e+15,6.690181,6.771441
11400,186777600,7.344394e+15,6.626569,6.770768
11500,188416000,7.408819e+15,6.651710,6.745085
11600,190054400,7.473243e+15,6.696879,6.748314
11700,191692800,7.537668e+15,6.680239,6.741063
11800,193331200,7.602092e+15,6.636075,6.725221
11900,194969600,7.666517e+15,6.677749,6.727903
12000,196608000,7.730941e+15,6.688006,6.722914
12100,198246400,7.795366e+15,6.581791,6.729728
12200,199884800,7.859790e+15,6.677989,6.721387
12300,201523200,7.924215e+15,6.628619,6.707384
12400,203161600,7.988639e+15,6.670837,6.705881
12500,204800000,8.053064e+15,6.642621,6.700898
12600,206438400,8.117488e+15,6.621582,6.682688
12700,208076800,8.181913e+15,6.627512,6.687912
12800,209715200,8.246337e+15,6.621270,6.683958
12900,211353600,8.310762e+15,6.593486,6.678103
13000,212992000,8.375186e+15,6.603290,6.673158
13100,214630400,8.439611e+15,6.594370,6.667965
13200,216268800,8.504035e+15,6.618183,6.671417
13300,217907200,8.568460e+15,6.576077,6.663162
13400,219545600,8.632884e+15,6.626212,6.658116
13500,221184000,8.697309e+15,6.626328,6.644433
13600,222822400,8.761733e+15,6.658432,6.671592
13700,224460800,8.826158e+15,6.589170,6.632747
13800,226099200,8.890582e+15,6.565948,6.625537
13900,227737600,8.955007e+15,6.584966,6.638420
14000,229376000,9.019431e+15,6.571202,6.625888
14100,231014400,9.083856e+15,6.533746,6.619320
14200,232652800,9.148280e+15,6.580554,6.626119
14300,234291200,9.212705e+15,6.547799,6.623011
14400,235929600,9.277129e+15,6.572758,6.614227
14500,237568000,9.341554e+15,6.529352,6.602343
14600,239206400,9.405978e+15,6.531109,6.595445
14700,240844800,9.470403e+15,6.519231,6.594508
14800,242483200,9.534827e+15,6.516646,6.594882
14900,244121600,9.599252e+15,6.532372,6.594276
15000,245760000,9.663676e+15,6.531708,6.584839
15100,247398400,9.728101e+15,6.506959,6.579608
15200,249036800,9.792525e+15,6.529378,6.570239
15300,250675200,9.856950e+15,6.530440,6.563592
15400,252313600,9.921374e+15,6.602598,6.561706
15500,253952000,9.985799e+15,6.492885,6.561380
15600,255590400,1.005022e+16,6.510683,6.551601
15700,257228800,1.011465e+16,6.489831,6.557085
15800,258867200,1.017907e+16,6.491811,6.541751
15900,260505600,1.024350e+16,6.485823,6.547090
16000,262144000,1.030792e+16,6.493598,6.538606
16100,263782400,1.037235e+16,6.453134,6.526520
16200,265420800,1.043677e+16,6.443909,6.525093
16300,267059200,1.050120e+16,6.521446,6.516214
16400,268697600,1.056562e+16,6.508717,6.546082
16500,270336000,1.063004e+16,6.500909,6.518416
16600,271974400,1.069447e+16,6.427094,6.509777
16700,273612800,1.075889e+16,6.575788,6.519995
16800,275251200,1.082332e+16,6.448435,6.507582
16900,276889600,1.088774e+16,6.467948,6.495934
17000,278528000,1.095217e+16,6.394143,6.499366
17100,280166400,1.101659e+16,6.337003,6.490823
17200,281804800,1.108102e+16,6.408454,6.485782
17300,283443200,1.114544e+16,6.417407,6.480896
17400,285081600,1.120986e+16,6.417603,6.487823
17500,286720000,1.127429e+16,6.431262,6.478011
17600,288358400,1.133871e+16,6.435760,6.469478
17700,289996800,1.140314e+16,6.421824,6.466881
17800,291635200,1.146756e+16,6.426435,6.459347
17900,293273600,1.153199e+16,6.414635,6.458846
18000,294912000,1.159641e+16,6.378852,6.453571
18100,296550400,1.166084e+16,6.422013,6.458880
18200,298188800,1.172526e+16,6.414770,6.460428
18300,299827200,1.178969e+16,6.390152,6.449794
18400,301465600,1.185411e+16,6.435367,6.442468
18500,303104000,1.191853e+16,6.398027,6.434972
18600,304742400,1.198296e+16,6.355955,6.436649
18700,306380800,1.204738e+16,6.419419,6.444539
18800,308019200,1.211181e+16,6.402895,6.438435
18900,309657600,1.217623e+16,6.391813,6.431171
19000,311296000,1.224066e+16,6.364043,6.418871
19100,312934400,1.230508e+16,6.341766,6.422047
19200,314572800,1.236951e+16,6.416617,6.408250
19300,316211200,1.243393e+16,6.367028,6.415750
19400,317849600,1.249835e+16,6.310085,6.404686
19500,319488000,1.256278e+16,6.289883,6.403801
19600,321126400,1.262720e+16,6.321418,6.395449
19700,322764800,1.269163e+16,6.343538,6.404442
19800,324403200,1.275605e+16,6.336617,6.393636
19900,326041600,1.282048e+16,6.342226,6.382429
20000,327680000,1.288490e+16,6.347145,6.379483
20100,329318400,1.294933e+16,6.315849,6.382075
20200,330956800,1.301375e+16,6.356286,6.369992
20300,332595200,1.307818e+16,6.337962,6.374649
20400,334233600,1.314260e+16,6.375455,6.373821
20500,335872000,1.320702e+16,6.305144,6.367766
20600,337510400,1.327145e+16,6.280612,6.369192
20700,339148800,1.333587e+16,6.249897,6.359453
20800,340787200,1.340030e+16,6.319029,6.348115
20900,342425600,1.346472e+16,6.302473,6.345505
21000,344064000,1.352915e+16,6.272439,6.355389
21100,345702400,1.359357e+16,6.340758,6.356131
21200,347340800,1.365800e+16,6.265487,6.339500
21300,348979200,1.372242e+16,6.294638,6.342960
21400,350617600,1.378685e+16,6.275215,6.336818
21500,352256000,1.385127e+16,6.281718,6.329167
21600,353894400,1.391569e+16,6.266623,6.324414
21700,355532800,1.398012e+16,6.262506,6.321062
21800,357171200,1.404454e+16,6.264587,6.329015
21900,358809600,1.410897e+16,6.312877,6.310950
22000,360448000,1.417339e+16,6.299512,6.327477
22100,362086400,1.423782e+16,6.266168,6.312118
22200,363724800,1.430224e+16,6.271452,6.304383
22300,365363200,1.436667e+16,6.254469,6.302916
22400,367001600,1.443109e+16,6.273097,6.304779
22500,368640000,1.449551e+16,6.262971,6.301597
22600,370278400,1.455994e+16,6.271617,6.291849
22700,371916800,1.462436e+16,6.235584,6.291017
22800,373555200,1.468879e+16,6.219860,6.281613
22900,375193600,1.475321e+16,6.236576,6.276385
23000,376832000,1.481764e+16,6.201384,6.284030
23100,378470400,1.488206e+16,6.216087,6.269467
23200,380108800,1.494649e+16,6.184429,6.268047
23300,381747200,1.501091e+16,6.228400,6.265762
23400,383385600,1.507534e+16,6.238835,6.263920
23500,385024000,1.513976e+16,6.194823,6.274204
23600,386662400,1.520418e+16,6.220303,6.259510
23700,388300800,1.526861e+16,6.245429,6.260619
23800,389939200,1.533303e+16,6.251658,6.250431
23900,391577600,1.539746e+16,6.178818,6.249933
24000,393216000,1.546188e+16,6.209689,6.255034
24100,394854400,1.552631e+16,6.211385,6.239299
24200,396492800,1.559073e+16,6.223753,6.240743
24300,398131200,1.565516e+16,6.210567,6.237885
24400,399769600,1.571958e+16,6.175611,6.230754
24500,401408000,1.578400e+16,6.208128,6.227304
24600,403046400,1.584843e+16,6.217862,6.232779
24700,404684800,1.591285e+16,6.193764,6.226796
24800,406323200,1.597728e+16,6.217687,6.226067
24900,407961600,1.604170e+16,6.211872,6.228435
25000,409600000,1.610613e+16,6.161335,6.210362
25100,411238400,1.617055e+16,6.175518,6.217407
25200,412876800,1.623498e+16,6.173920,6.211378
25300,414515200,1.629940e+16,6.182665,6.211821
25400,416153600,1.636383e+16,6.092963,6.212623
25500,417792000,1.642825e+16,6.133390,6.195534
25600,419430400,1.649267e+16,6.144074,6.198119
25700,421068800,1.655710e+16,6.159094,6.193747
25800,422707200,1.662152e+16,6.190097,6.197905
25900,424345600,1.668595e+16,6.186092,6.200019
26000,425984000,1.675037e+16,6.151057,6.187368
26100,427622400,1.681480e+16,6.141073,6.184065
26200,429260800,1.687922e+16,6.117982,6.173036
26300,430899200,1.694365e+16,6.124636,6.175903
26400,432537600,1.700807e+16,6.129051,6.173252
26500,434176000,1.707250e+16,6.140118,6.165206
26600,435814400,1.713692e+16,6.159653,6.163884
26700,437452800,1.720134e+16,6.150772,6.170633
26800,439091200,1.726577e+16,6.164846,6.169853
26900,440729600,1.733019e+16,6.101365,6.169322
27000,442368000,1.739462e+16,6.128838,6.154717
27100,444006400,1.745904e+16,6.143771,6.148674
27200,445644800,1.752347e+16,6.172907,6.150201
27300,447283200,1.758789e+16,6.118209,6.142704
27400,448921600,1.765232e+16,6.084754,6.144347
27500,450560000,1.771674e+16,6.118685,6.140307
27600,452198400,1.778116e+16,6.101197,6.137126
27700,453836800,1.784559e+16,6.133066,6.134735
27800,455475200,1.791001e+16,6.101956,6.124330
27900,457113600,1.797444e+16,6.080977,6.133077
28000,458752000,1.803886e+16,6.132249,6.122852
28100,460390400,1.810329e+16,6.076661,6.119989
28200,462028800,1.816771e+16,6.059530,6.122107
28300,463667200,1.823214e+16,6.091228,6.118323
28400,465305600,1.829656e+16,6.087550,6.109603
28500,466944000,1.836099e+16,6.030496,6.115680
28600,468582400,1.842541e+16,6.015254,6.117141
28700,470220800,1.848983e+16,6.080343,6.106870
28800,471859200,1.855426e+16,6.042050,6.109747
28900,473497600,1.861868e+16,6.037431,6.104308
29000,475136000,1.868311e+16,6.077026,6.096139
29100,476774400,1.874753e+16,6.061184,6.095555
29200,478412800,1.881196e+16,6.061845,6.085290
29300,480051200,1.887638e+16,6.042295,6.081960
29400,481689600,1.894081e+16,6.066628,6.081454
29500,483328000,1.900523e+16,6.117833,6.082945
29600,484966400,1.906965e+16,6.085759,6.077875
29700,486604800,1.913408e+16,6.075310,6.081645
29800,488243200,1.919850e+16,6.037597,6.071546
29900,489881600,1.926293e+16,6.009542,6.074341
30000,491520000,1.932735e+16,6.000829,6.069408
30100,493158400,1.939178e+16,6.074339,6.067257
30200,494796800,1.945620e+16,6.009014,6.058082
30300,496435200,1.952063e+16,6.076235,6.063902
30400,498073600,1.958505e+16,6.069849,6.056927
30500,499712000,1.964948e+16,6.091005,6.063650
30600,501350400,1.971390e+16,6.038959,6.048540
30700,502988800,1.977832e+16,6.058457,6.057582
30800,504627200,1.984275e+16,6.021402,6.047990
30900,506265600,1.990717e+16,6.007363,6.042649
31000,507904000,1.997160e+16,6.006003,6.040126
31100,509542400,2.003602e+16,6.002183,6.033584
31200,511180800,2.010045e+16,6.002734,6.033602
31300,512819200,2.016487e+16,6.017263,6.034771
31400,514457600,2.022930e+16,6.021976,6.033811
31500,516096000,2.029372e+16,6.045264,6.027275
31600,517734400,2.035814e+16,6.068464,6.019607
31700,519372800,2.042257e+16,6.027822,6.015348
31800,521011200,2.048699e+16,5.963983,6.011710
31900,522649600,2.055142e+16,5.980704,6.009945
32000,524288000,2.061584e+16,5.967906,6.009230
32100,525926400,2.068027e+16,5.936912,6.016204
32200,527564800,2.074469e+16,5.981112,6.008742
32300,529203200,2.080912e+16,5.917876,5.994282
32400,530841600,2.087354e+16,5.939902,6.002513
32500,532480000,2.093797e+16,5.997571,6.002885
32600,534118400,2.100239e+16,5.995318,5.997904
32700,535756800,2.106681e+16,6.006859,5.995208
32800,537395200,2.113124e+16,5.979421,5.991644
32900,539033600,2.119566e+16,5.951744,5.994479
33000,540672000,2.126009e+16,5.926999,5.982097
33100,542310400,2.132451e+16,6.003040,5.985847
33200,543948800,2.138894e+16,5.954617,5.980816
33300,545587200,2.145336e+16,5.935369,5.981089
33400,547225600,2.151779e+16,5.978381,5.975387
33500,548864000,2.158221e+16,5.976668,5.969693
33600,550502400,2.164664e+16,5.930245,5.965083
33700,552140800,2.171106e+16,5.950035,5.963459
33800,553779200,2.177548e+16,5.951015,5.958675
33900,555417600,2.183991e+16,5.904977,5.954721
34000,557056000,2.190433e+16,5.953561,5.956815
34100,558694400,2.196876e+16,5.877235,5.954327
34200,560332800,2.203318e+16,5.916259,5.940904
34300,561971200,2.209761e+16,5.914089,5.934806
34400,563609600,2.216203e+16,5.935230,5.942734
34500,565248000,2.222646e+16,5.908545,5.940201
34600,566886400,2.229088e+16,5.876390,5.941903
34700,568524800,2.235530e+16,5.891614,5.935031
34800,570163200,2.241973e+16,5.917090,5.934057
34900,571801600,2.248415e+16,5.992988,5.932136
35000,573440000,2.254858e+16,5.939143,5.935647
35100,575078400,2.261300e+16,5.909589,5.926471
35200,576716800,2.267743e+16,5.912328,5.927992
35300,578355200,2.274185e+16,5.957623,5.921180
35400,579993600,2.280628e+16,5.876693,5.919702
35500,581632000,2.287070e+16,5.843314,5.916273
35600,583270400,2.293513e+16,5.853879,5.921856
35700,584908800,2.299955e+16,5.938633,5.910314
35800,586547200,2.306397e+16,5.898380,5.911269
35900,588185600,2.312840e+16,5.856495,5.899912
36000,589824000,2.319282e+16,5.932129,5.903926
36100,591462400,2.325725e+16,5.902834,5.899492
36200,593100800,2.332167e+16,5.912989,5.899812
36300,594739200,2.338610e+16,5.876444,5.890412
36400,596377600,2.345052e+16,5.848703,5.890241
36500,598016000,2.351495e+16,5.875165,5.890873
36600,599654400,2.357937e+16,5.901859,5.891077
36700,601292800,2.364379e+16,5.873485,5.885616
36800,602931200,2.370822e+16,5.861599,5.875316
36900,604569600,2.377264e+16,5.833026,5.890427
37000,606208000,2.383707e+16,5.844982,5.875994
37100,607846400,2.390149e+16,5.844244,5.883914
37200,609484800,2.396592e+16,5.881425,5.862879
37300,611123200,2.403034e+16,5.863900,5.864530
37400,612761600,2.409477e+16,5.868141,5.862842
37500,614400000,2.415919e+16,5.808884,5.851436
37600,616038400,2.422362e+16,5.794290,5.845046
