step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,6.442451e+13,297.139191,141.823955
200,3276800,1.288490e+14,87.911057,43.664171
300,4915200,1.932735e+14,44.695488,36.531883
400,6553600,2.576980e+14,35.158756,32.935227
500,8192000,3.221225e+14,30.915565,29.788912
600,9830400,3.865471e+14,27.747641,26.690183
700,11468800,4.509716e+14,24.858479,23.807670
800,13107200,5.153961e+14,21.795214,21.115598
900,14745600,5.798206e+14,19.671730,19.339112
1000,16384000,6.442451e+14,17.808893,17.327934
1100,18022400,7.086696e+14,15.950560,15.313277
1200,19660800,7.730941e+14,14.186698,13.676078
1300,21299200,8.375186e+14,12.785202,12.599656
1400,22937600,9.019431e+14,11.913151,11.674035
1500,24576000,9.663676e+14,11.027103,10.835802
1600,26214400,1.030792e+15,10.225675,10.238255
1700,27852800,1.095217e+15,9.780835,9.732420
1800,29491200,1.159641e+15,9.400562,9.278189
1900,31129600,1.224066e+15,8.982568,8.961463
2000,32768000,1.288490e+15,8.732620,8.675186
2100,34406400,1.352915e+15,8.368329,8.445193
2200,36044800,1.417339e+15,8.127879,8.222508
2300,37683200,1.481764e+15,7.984686,8.053946
2400,39321600,1.546188e+15,7.811345,7.900791
2500,40960000,1.610613e+15,7.728380,7.794968
2600,42598400,1.675037e+15,7.603595,7.709236
2700,44236800,1.739462e+15,7.520271,7.590947
2800,45875200,1.803886e+15,7.462245,7.504947
2900,47513600,1.868311e+15,7.351707,7.454520
3000,49152000,1.932735e+15,7.281215,7.392697
3100,50790400,1.997160e+15,7.218289,7.355535
3200,52428800,2.061584e+15,7.145838,7.274110
3300,54067200,2.126009e+15,7.161524,7.243506
3400,55705600,2.190433e+15,7.119952,7.210083
3500,57344000,2.254858e+15,7.049828,7.178390
3600,58982400,2.319282e+15,7.088861,7.153898
3700,60620800,2.383707e+15,6.996826,7.087855
3800,62259200,2.448131e+15,7.047258,7.065874
3900,63897600,2.512556e+15,6.971003,7.038073
4000,65536000,2.576980e+15,6.955726,7.020494
4100,67174400,2.641405e+15,6.908389,6.992251
4200,68812800,2.705829e+15,6.942016,6.977318
4300,70451200,2.770254e+15,6.899351,6.971067
4400,72089600,2.834678e+15,6.854944,6.939496
4500,73728000,2.899103e+15,6.837953,6.917159
4600,75366400,2.963527e+15,6.791891,6.911557
4700,77004800,3.027952e+15,6.762913,6.870764
4800,78643200,3.092376e+15,6.765989,6.874296
4900,80281600,3.156801e+15,6.792893,6.823456
5000,81920000,3.221225e+15,6.754203,6.834746
5100,83558400,3.285650e+15,6.764941,6.791065
5200,85196800,3.350074e+15,6.707229,6.813531
5300,86835200,3.414499e+15,6.729872,6.784845
5400,88473600,3.478924e+15,6.685117,6.784107
5500,90112000,3.543348e+15,6.698393,6.750525
5600,91750400,3.607773e+15,6.669062,6.775181
5700,93388800,3.672197e+15,6.689167,6.735888
5800,95027200,3.736622e+15,6.701192,6.706702
5900,96665600,3.801046e+15,6.675498,6.718822
6000,98304000,3.865471e+15,6.566480,6.684904
6100,99942400,3.929895e+15,6.564964,6.665158
6200,101580800,3.994320e+15,6.569749,6.650962
6300,103219200,4.058744e+15,6.586514,6.638850
6400,104857600,4.123169e+15,6.549528,6.638436
6500,106496000,4.187593e+15,6.583013,6.627550
6600,108134400,4.252018e+15,6.554977,6.614127
6700,109772800,4.316442e+15,6.540463,6.594915
6800,111411200,4.380867e+15,6.521285,6.583363
6900,113049600,4.445291e+15,6.491536,6.573912
7000,114688000,4.509716e+15,6.477074,6.561691
7100,116326400,4.574140e+15,6.460156,6.545936
7200,117964800,4.638565e+15,6.456430,6.536821
7300,119603200,4.702989e+15,6.443379,6.521194
7400,121241600,4.767414e+15,6.429180,6.529826
7500,122880000,4.831838e+15,6.444386,6.559332
7600,124518400,4.896263e+15,6.439211,6.497170
7700,126156800,4.960687e+15,6.417281,6.483650
7800,127795200,5.025112e+15,6.390561,6.479795
7900,129433600,5.089536e+15,6.423182,6.466131
8000,131072000,5.153961e+15,6.405837,6.459061
8100,132710400,5.218385e+15,6.337963,6.437526
8200,134348800,5.282810e+15,6.385511,6.428296
8300,135987200,5.347234e+15,6.356225,6.421201
8400,137625600,5.411659e+15,6.374881,6.406102
8500,139264000,5.476083e+15,6.276197,6.421502
8600,140902400,5.540508e+15,6.386852,6.400666
8700,142540800,5.604932e+15,6.325854,6.378917
8800,144179200,5.669357e+15,6.328285,6.367184
8900,145817600,5.733781e+15,6.285485,6.364310
9000,147456000,5.798206e+15,6.297183,6.351764
9100,149094400,5.862630e+15,6.282765,6.350589
9200,150732800,5.927055e+15,6.295819,6.371527
9300,152371200,5.991479e+15,6.239890,6.346280
9400,154009600,6.055904e+15,6.251093,6.322342
9500,155648000,6.120328e+15,6.270628,6.310098
9600,157286400,6.184753e+15,6.258307,6.305993
9700,158924800,6.249177e+15,6.250249,6.297047
9800,160563200,6.313602e+15,6.218774,6.291637
9900,162201600,6.378026e+15,6.195429,6.279875
10000,163840000,6.442451e+15,6.228039,6.284792
10100,165478400,6.506875e+15,6.230079,6.270276
10200,167116800,6.571300e+15,6.164045,6.263757
10300,168755200,6.635724e+15,6.156550,6.246106
10400,170393600,6.700149e+15,6.166430,6.246775
10500,172032000,6.764573e+15,6.165418,6.241025
10600,173670400,6.828998e+15,6.192385,6.220584
10700,175308800,6.893423e+15,6.179864,6.221277
10800,176947200,6.957847e+15,6.130152,6.242527
10900,178585600,7.022272e+15,6.197973,6.191563
11000,180224000,7.086696e+15,6.123889,6.206318
11100,181862400,7.151121e+15,6.116755,6.185623
11200,183500800,7.215545e+15,6.152584,6.181800
11300,185139200,7.279970e+15,6.097367,6.186296
11400,186777600,7.344394e+15,6.038427,6.178829
11500,188416000,7.408819e+15,6.072320,6.163593
11600,190054400,7.473243e+15,6.088394,6.158695
11700,191692800,7.537668e+15,6.079144,6.145407
11800,193331200,7.602092e+15,6.040603,6.137329
11900,194969600,7.666517e+15,6.090401,6.138025
12000,196608000,7.730941e+15,6.085598,6.129969
12100,198246400,7.795366e+15,5.995332,6.145862
12200,199884800,7.859790e+15,6.074718,6.121869
12300,201523200,7.924215e+15,6.037909,6.109331
12400,203161600,7.988639e+15,6.061108,6.110870
12500,204800000,8.053064e+15,6.035583,6.099251
12600,206438400,8.117488e+15,6.023160,6.092928
12700,208076800,8.181913e+15,6.016687,6.101266
12800,209715200,8.246337e+15,6.015973,6.078423
12900,211353600,8.310762e+15,5.991440,6.083186
13000,212992000,8.375186e+15,5.984141,6.077851
13100,214630400,8.439611e+15,5.994578,6.069995
13200,216268800,8.504035e+15,6.015743,6.067866
13300,217907200,8.568460e+15,5.977490,6.066729
13400,219545600,8.632884e+15,6.012688,6.066546
13500,221184000,8.697309e+15,6.020824,6.049715
13600,222822400,8.761733e+15,6.049436,6.065325
13700,224460800,8.826158e+15,5.986433,6.029360
13800,226099200,8.890582e+15,5.956577,6.027314
13900,227737600,8.955007e+15,5.976987,6.029644
14000,229376000,9.019431e+15,5.953542,6.017403
14100,231014400,9.083856e+15,5.928763,6.017555
14200,232652800,9.148280e+15,5.971808,6.020731
14300,234291200,9.212705e+15,5.938779,6.014524
14400,235929600,9.277129e+15,5.963048,6.015220
14500,237568000,9.341554e+15,5.922218,5.993486
14600,239206400,9.405978e+15,5.917384,5.991274
14700,240844800,9.470403e+15,5.911843,5.978990
14800,242483200,9.534827e+15,5.905803,5.978877
14900,244121600,9.599252e+15,5.922838,5.987655
15000,245760000,9.663676e+15,5.921825,5.976910
15100,247398400,9.728101e+15,5.891574,5.972887
15200,249036800,9.792525e+15,5.928225,5.962050
15300,250675200,9.856950e+15,5.925787,5.962944
15400,252313600,9.921374e+15,5.979706,5.953828
15500,253952000,9.985799e+15,5.895957,5.960578
15600,255590400,1.005022e+16,5.883256,5.945649
15700,257228800,1.011465e+16,5.874733,5.942772
15800,258867200,1.017907e+16,5.889230,5.941798
15900,260505600,1.024350e+16,5.860934,5.932600
16000,262144000,1.030792e+16,5.875346,5.932983
16100,263782400,1.037235e+16,5.855629,5.927845
16200,265420800,1.043677e+16,5.842119,5.923618
16300,267059200,1.050120e+16,5.910976,5.915442
16400,268697600,1.056562e+16,5.906999,5.940647
16500,270336000,1.063004e+16,5.904587,5.912956
16600,271974400,1.069447e+16,5.822085,5.912393
16700,273612800,1.075889e+16,5.959980,5.906682
16800,275251200,1.082332e+16,5.842014,5.902232
16900,276889600,1.088774e+16,5.844002,5.892376
17000,278528000,1.095217e+16,5.801379,5.899082
17100,280166400,1.101659e+16,5.748570,5.897462
17200,281804800,1.108102e+16,5.810666,5.883194
17300,283443200,1.114544e+16,5.803794,5.884690
17400,285081600,1.120986e+16,5.825691,5.884647
17500,286720000,1.127429e+16,5.832187,5.865712
17600,288358400,1.133871e+16,5.834867,5.854632
17700,289996800,1.140314e+16,5.812893,5.849710
17800,291635200,1.146756e+16,5.811695,5.863273
17900,293273600,1.153199e+16,5.807703,5.852872
18000,294912000,1.159641e+16,5.772676,5.848409
18100,296550400,1.166084e+16,5.814828,5.852544
18200,298188800,1.172526e+16,5.799404,5.857351
18300,299827200,1.178969e+16,5.787092,5.845763
18400,301465600,1.185411e+16,5.815082,5.831452
18500,303104000,1.191853e+16,5.783451,5.826399
18600,304742400,1.198296e+16,5.764553,5.832188
18700,306380800,1.204738e+16,5.806944,5.842738
18800,308019200,1.211181e+16,5.773145,5.832468
18900,309657600,1.217623e+16,5.796330,5.823305
19000,311296000,1.224066e+16,5.777079,5.822792
19100,312934400,1.230508e+16,5.747040,5.817397
19200,314572800,1.236951e+16,5.807685,5.804370
19300,316211200,1.243393e+16,5.760121,5.805656
19400,317849600,1.249835e+16,5.696703,5.800466
19500,319488000,1.256278e+16,5.693396,5.798300
19600,321126400,1.262720e+16,5.718515,5.792895
19700,322764800,1.269163e+16,5.736385,5.802395
19800,324403200,1.275605e+16,5.743577,5.788380
19900,326041600,1.282048e+16,5.749591,5.782306
20000,327680000,1.288490e+16,5.755145,5.786971
20100,329318400,1.294933e+16,5.714289,5.784746
20200,330956800,1.301375e+16,5.745857,5.776768
20300,332595200,1.307818e+16,5.731527,5.781034
20400,334233600,1.314260e+16,5.774131,5.775073
20500,335872000,1.320702e+16,5.705082,5.765958
20600,337510400,1.327145e+16,5.688650,5.762367
20700,339148800,1.333587e+16,5.660489,5.764713
20800,340787200,1.340030e+16,5.712849,5.751993
20900,342425600,1.346472e+16,5.700280,5.751142
21000,344064000,1.352915e+16,5.676057,5.749017
21100,345702400,1.359357e+16,5.761330,5.754243
21200,347340800,1.365800e+16,5.675055,5.746680
21300,348979200,1.372242e+16,5.702013,5.741316
21400,350617600,1.378685e+16,5.681282,5.733904
21500,352256000,1.385127e+16,5.689163,5.730448
21600,353894400,1.391569e+16,5.665448,5.736934
21700,355532800,1.398012e+16,5.668682,5.722248
21800,357171200,1.404454e+16,5.665826,5.719982
21900,358809600,1.410897e+16,5.705926,5.714038
22000,360448000,1.417339e+16,5.694903,5.724308
22100,362086400,1.423782e+16,5.685145,5.716757
22200,363724800,1.430224e+16,5.675571,5.716172
22300,365363200,1.436667e+16,5.655368,5.709060
22400,367001600,1.443109e+16,5.684431,5.713713
22500,368640000,1.449551e+16,5.672047,5.700390
22600,370278400,1.455994e+16,5.681996,5.705142
22700,371916800,1.462436e+16,5.633432,5.701811
22800,373555200,1.468879e+16,5.633220,5.699797
22900,375193600,1.475321e+16,5.649520,5.694939
23000,376832000,1.481764e+16,5.615853,5.696678
23100,378470400,1.488206e+16,5.628115,5.687708
23200,380108800,1.494649e+16,5.601409,5.679901
23300,381747200,1.501091e+16,5.647057,5.682049
23400,383385600,1.507534e+16,5.651628,5.678824
23500,385024000,1.513976e+16,5.615426,5.679659
23600,386662400,1.520418e+16,5.627689,5.679128
23700,388300800,1.526861e+16,5.650957,5.666545
23800,389939200,1.533303e+16,5.665594,5.676668
23900,391577600,1.539746e+16,5.601464,5.670092
24000,393216000,1.546188e+16,5.625443,5.666186
24100,394854400,1.552631e+16,5.631547,5.663407
24200,396492800,1.559073e+16,5.630341,5.659458
24300,398131200,1.565516e+16,5.617825,5.652839
24400,399769600,1.571958e+16,5.586001,5.649567
24500,401408000,1.578400e+16,5.618102,5.648769
24600,403046400,1.584843e+16,5.636032,5.653528
24700,404684800,1.591285e+16,5.617138,5.646452
24800,406323200,1.597728e+16,5.631882,5.636406
24900,407961600,1.604170e+16,5.619256,5.648741
25000,409600000,1.610613e+16,5.580447,5.624981
25100,411238400,1.617055e+16,5.591815,5.628789
25200,412876800,1.623498e+16,5.580256,5.631824
25300,414515200,1.629940e+16,5.604098,5.628100
25400,416153600,1.636383e+16,5.528609,5.643769
25500,417792000,1.642825e+16,5.556684,5.619839
25600,419430400,1.649267e+16,5.562184,5.617143
25700,421068800,1.655710e+16,5.569399,5.619163
25800,422707200,1.662152e+16,5.608523,5.619176
25900,424345600,1.668595e+16,5.614180,5.620075
26000,425984000,1.675037e+16,5.578719,5.612619
26100,427622400,1.681480e+16,5.560792,5.599273
26200,429260800,1.687922e+16,5.530442,5.594701
26300,430899200,1.694365e+16,5.537543,5.591628
26400,432537600,1.700807e+16,5.557592,5.600655
26500,434176000,1.707250e+16,5.565542,5.586840
26600,435814400,1.713692e+16,5.578545,5.580812
26700,437452800,1.720134e+16,5.575243,5.593433
26800,439091200,1.726577e+16,5.576411,5.588653
26900,440729600,1.733019e+16,5.525250,5.580060
27000,442368000,1.739462e+16,5.555770,5.582050
27100,444006400,1.745904e+16,5.566299,5.577394
27200,445644800,1.752347e+16,5.593583,5.568460
27300,447283200,1.758789e+16,5.536908,5.568699
27400,448921600,1.765232e+16,5.512429,5.571204
27500,450560000,1.771674e+16,5.547453,5.564735
27600,452198400,1.778116e+16,5.530132,5.564273
27700,453836800,1.784559e+16,5.566803,5.561779
27800,455475200,1.791001e+16,5.542618,5.557700
