step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,26214400,1.962834e+15,192.601264,141.221066
100,52428800,3.925667e+15,125.955997,64.768467
150,78643200,5.888501e+15,78.709988,44.750583
200,104857600,7.851334e+15,54.030340,37.517538
250,131072000,9.814168e+15,42.381216,34.574986
300,157286400,1.177700e+16,36.723849,32.813180
350,183500800,1.373984e+16,33.654282,31.246956
400,209715200,1.570267e+16,31.575661,29.706657
450,235929600,1.766550e+16,29.729645,27.986817
500,262144000,1.962834e+16,28.101785,26.590284
550,288358400,2.159117e+16,26.642572,25.180559
600,314572800,2.355400e+16,25.142091,23.626701
650,340787200,2.551684e+16,23.709552,22.378520
700,367001600,2.747967e+16,22.468378,21.217232
750,393216000,2.944250e+16,21.186700,19.800311
800,419430400,3.140534e+16,19.756244,18.267916
850,445644800,3.336817e+16,18.307439,16.896935
900,471859200,3.533100e+16,17.061981,15.941096
950,498073600,3.729384e+16,16.016928,14.955993
1000,524288000,3.925667e+16,15.015708,13.986706
1050,550502400,4.121951e+16,14.022706,13.062455
1100,576716800,4.318234e+16,13.116326,12.224056
1150,602931200,4.514517e+16,12.302718,11.499083
1200,629145600,4.710801e+16,11.594868,10.912709
1250,655360000,4.907084e+16,10.967392,10.415939
1300,681574400,5.103367e+16,10.423006,9.904460
1350,707788800,5.299651e+16,9.939105,9.503054
1400,734003200,5.495934e+16,9.526750,9.127632
1450,760217600,5.692217e+16,9.146275,8.791784
1500,786432000,5.888501e+16,8.849209,8.554771
1550,812646400,6.084784e+16,8.573908,8.296899
1600,838860800,6.281068e+16,8.359592,8.146531
1650,865075200,6.477351e+16,8.178358,8.125969
1700,891289600,6.673634e+16,8.033540,7.900906
1750,917504000,6.869918e+16,7.926462,7.803151
1800,943718400,7.066201e+16,7.819407,7.683954
1850,969932800,7.262484e+16,7.718479,7.664546
1900,996147200,7.458768e+16,7.636045,7.567371
1950,1022361600,7.655051e+16,7.576263,7.492636
2000,1048576000,7.851334e+16,7.512871,7.455047
2050,1074790400,8.047618e+16,7.471742,7.427045
2100,1101004800,8.243901e+16,7.441150,7.403465
2150,1127219200,8.440185e+16,7.417955,7.380319
2200,1153433600,8.636468e+16,7.396555,7.393107
2250,1179648000,8.832751e+16,7.366216,7.367500
2300,1205862400,9.029035e+16,7.321860,7.266064
2350,1232076800,9.225318e+16,7.302776,7.253791
2400,1258291200,9.421601e+16,7.282040,7.234318
2450,1284505600,9.617885e+16,7.268023,7.244034
2500,1310720000,9.814168e+16,7.242751,7.213505
2550,1336934400,1.001045e+17,7.243734,7.250423
2600,1363148800,1.020673e+17,7.214431,7.179782
2650,1389363200,1.040302e+17,7.204189,7.182363
2700,1415577600,1.059930e+17,7.186550,7.153473
2750,1441792000,1.079558e+17,7.165297,7.142942
2800,1468006400,1.099187e+17,7.157525,7.161033
2850,1494220800,1.118815e+17,7.146936,7.132221
2900,1520435200,1.138443e+17,7.128063,7.131300
2950,1546649600,1.158072e+17,7.118866,7.132412
3000,1572864000,1.177700e+17,7.118778,7.104073
3050,1599078400,1.197329e+17,7.102695,7.092416
3100,1625292800,1.216957e+17,7.096833,7.084473
3150,1651507200,1.236585e+17,7.087144,7.069404
3200,1677721600,1.256214e+17,7.071121,7.068483
3250,1703936000,1.275842e+17,7.062675,7.041610
3300,1730150400,1.295470e+17,7.065655,7.059929
3350,1756364800,1.315099e+17,7.053604,7.034663
3400,1782579200,1.334727e+17,7.041694,7.032312
3450,1808793600,1.354355e+17,7.039118,7.010072
3500,1835008000,1.373984e+17,7.019587,7.008275
3550,1861222400,1.393612e+17,7.011619,6.997274
3600,1887436800,1.413240e+17,7.003470,6.994012
3650,1913651200,1.432869e+17,6.995412,6.972751
3700,1939865600,1.452497e+17,6.994058,6.975107
3750,1966080000,1.472125e+17,6.979637,6.970209
3800,1992294400,1.491754e+17,6.965789,6.952850
3850,2018508800,1.511382e+17,6.965798,6.945479
3900,2044723200,1.531010e+17,6.952308,6.936684
3950,2070937600,1.550639e+17,6.944073,6.925862
4000,2097152000,1.570267e+17,6.934243,6.918507
4050,2123366400,1.589895e+17,6.925816,6.912869
4100,2149580800,1.609524e+17,6.920720,6.911583
4150,2175795200,1.629152e+17,6.906085,6.899520
4200,2202009600,1.648780e+17,6.901128,6.897919
4250,2228224000,1.668409e+17,6.892449,6.885119
4300,2254438400,1.688037e+17,6.883447,6.878702
4350,2280652800,1.707665e+17,6.876232,6.878327
4400,2306867200,1.727294e+17,6.872015,6.856733
4450,2333081600,1.746922e+17,6.868575,6.862868
4500,2359296000,1.766550e+17,6.855843,6.840860
4550,2385510400,1.786179e+17,6.845012,6.838243
4600,2411724800,1.805807e+17,6.839613,6.832323
4650,2437939200,1.825435e+17,6.838685,6.826072
4700,2464153600,1.845064e+17,6.833089,6.817571
4750,2490368000,1.864692e+17,6.823578,6.811802
4800,2516582400,1.884320e+17,6.814995,6.812002
4850,2542796800,1.903949e+17,6.808865,6.796893
4900,2569011200,1.923577e+17,6.801973,6.791147
4950,2595225600,1.943205e+17,6.788694,6.785487
5000,2621440000,1.962834e+17,6.782748,6.777910
5050,2647654400,1.982462e+17,6.779900,6.773369
5100,2673868800,2.002090e+17,6.777083,6.771583
5150,2700083200,2.021719e+17,6.773843,6.761405
5200,2726297600,2.041347e+17,6.764039,6.755540
5250,2752512000,2.060975e+17,6.755564,6.747106
5300,2778726400,2.080604e+17,6.748400,6.742745
5350,2804940800,2.100232e+17,6.749679,6.739021
5400,2831155200,2.119860e+17,6.734607,6.728694
5450,2857369600,2.139489e+17,6.731125,6.723996
5500,2883584000,2.159117e+17,6.730763,6.719635
5550,2909798400,2.178745e+17,6.723385,6.714530
5600,2936012800,2.198374e+17,6.714276,6.709076
5650,2962227200,2.218002e+17,6.714295,6.705092
5700,2988441600,2.237630e+17,6.708882,6.700286
5750,3014656000,2.257259e+17,6.705316,6.695623
5800,3040870400,2.276887e+17,6.696523,6.690056
5850,3067084800,2.296515e+17,6.691124,6.685830
5900,3093299200,2.316144e+17,6.686478,6.681156
5950,3119513600,2.335772e+17,6.682275,6.678280
6000,3145728000,2.355400e+17,6.679506,6.672617
6050,3171942400,2.375029e+17,6.672999,6.667143
6100,3198156800,2.394657e+17,6.671044,6.663621
6150,3224371200,2.414285e+17,6.664634,6.659885
6200,3250585600,2.433914e+17,6.658082,6.655234
6250,3276800000,2.453542e+17,6.655221,6.650791
6300,3303014400,2.473170e+17,6.653285,6.647366
6350,3329228800,2.492799e+17,6.644422,6.644205
6400,3355443200,2.512427e+17,6.644148,6.641657
6450,3381657600,2.532055e+17,6.640979,6.638305
6500,3407872000,2.551684e+17,6.635969,6.635608
6550,3434086400,2.571312e+17,6.632506,6.633714
6600,3460300800,2.590940e+17,6.633458,6.631519
6650,3486515200,2.610569e+17,6.633921,6.629510
6700,3512729600,2.630197e+17,6.627247,6.627054
6750,3538944000,2.649825e+17,6.629172,6.625529
6800,3565158400,2.669454e+17,6.622734,6.623632
6850,3591372800,2.689082e+17,6.620138,6.621940
6900,3617587200,2.708710e+17,6.623354,6.620668
6950,3643801600,2.728339e+17,6.619507,6.619573
7000,3670016000,2.747967e+17,6.614685,6.618487
7050,3696230400,2.767595e+17,6.617962,6.617545
7100,3722444800,2.787224e+17,6.618913,6.616802
7150,3748659200,2.806852e+17,6.615722,6.615956
7200,3774873600,2.826480e+17,6.618462,6.615369
7250,3801088000,2.846109e+17,6.615265,6.614827
7300,3827302400,2.865737e+17,6.611035,6.614300
7350,3853516800,2.885365e+17,6.612865,6.613963
7400,3879731200,2.904994e+17,6.615123,6.613754
7450,3905945600,2.924622e+17,6.610995,6.613463
7500,3932160000,2.944250e+17,6.613674,6.613269
7550,3958374400,2.963879e+17,6.614469,6.613140
7600,3984588800,2.983507e+17,6.613494,6.613053
7650,4010803200,3.003135e+17,6.612205,6.613002
7700,4037017600,3.022764e+17,6.609806,6.612966
7750,4063232000,3.042392e+17,6.606880,6.612953
7767,4072144896,3.049066e+17,6.612081,6.612953
