step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,3.092376e+13,89.279488,59.832208,59.829534
200,3276800,6.184753e+13,49.581516,39.385724,39.204764
300,4915200,9.277129e+13,37.868866,35.077283,34.947830
400,6553600,1.236951e+14,33.581638,32.123092,31.975729
500,8192000,1.546188e+14,30.458244,29.266393,29.117628
600,9830400,1.855426e+14,27.672735,26.507375,26.372695
700,11468800,2.164664e+14,25.063478,23.985860,23.868343
800,13107200,2.473901e+14,22.509644,21.545641,21.440969
900,14745600,2.783139e+14,20.285017,19.296527,19.197991
1000,16384000,3.092376e+14,18.021116,17.278603,17.193203
1100,18022400,3.401614e+14,16.329088,15.633243,15.566905
1200,19660800,3.710852e+14,14.871298,14.362152,14.292613
1300,21299200,4.020089e+14,13.598655,13.303076,13.235726
1400,22937600,4.329327e+14,12.692894,12.403809,12.337806
1500,24576000,4.638565e+14,11.968571,11.637264,11.574701
1600,26214400,4.947802e+14,11.214224,10.968194,10.909273
1700,27852800,5.257040e+14,10.601203,10.453341,10.394682
1800,29491200,5.566278e+14,10.067412,10.008418,9.948855
1900,31129600,5.875515e+14,9.722058,9.688198,9.635922
2000,32768000,6.184753e+14,9.381171,9.318566,9.265487
2100,34406400,6.493991e+14,9.121185,9.090181,9.042655
2200,36044800,6.803228e+14,8.882073,8.852691,8.804566
2300,37683200,7.112466e+14,8.678967,8.722722,8.676382
2400,39321600,7.421703e+14,8.503846,8.592130,8.546515
2500,40960000,7.730941e+14,8.369193,8.441517,8.390830
2600,42598400,8.040179e+14,8.268846,8.361301,8.307946
2700,44236800,8.349416e+14,8.204432,8.265132,8.216788
2800,45875200,8.658654e+14,8.103313,8.174572,8.133726
2900,47513600,8.967892e+14,8.060445,8.116835,8.073365
3000,49152000,9.277129e+14,7.990985,8.069564,8.022608
3100,50790400,9.586367e+14,7.969965,7.999316,7.960854
3200,52428800,9.895605e+14,7.905492,7.952308,7.916372
3300,54067200,1.020484e+15,7.865627,7.928214,7.887589
3400,55705600,1.051408e+15,7.843040,7.864482,7.823524
3500,57344000,1.082332e+15,7.791832,7.837276,7.796992
3600,58982400,1.113256e+15,7.754403,7.811363,7.769309
3700,60620800,1.144179e+15,7.703739,7.771999,7.729318
3800,62259200,1.175103e+15,7.681756,7.744762,7.712534
3900,63897600,1.206027e+15,7.695892,7.739042,7.698150
4000,65536000,1.236951e+15,7.629421,7.715055,7.671162
4100,67174400,1.267874e+15,7.628621,7.707050,7.668888
4200,68812800,1.298798e+15,7.601026,7.663128,7.619775
4300,70451200,1.329722e+15,7.590728,7.658670,7.622560
4400,72089600,1.360646e+15,7.554622,7.648451,7.611931
4500,73728000,1.391569e+15,7.549665,7.650275,7.609112
4600,75366400,1.422493e+15,7.558856,7.619884,7.580012
4700,77004800,1.453417e+15,7.550781,7.609203,7.575074
4800,78643200,1.484341e+15,7.512894,7.586732,7.549418
4900,80281600,1.515264e+15,7.500800,7.577127,7.538779
5000,81920000,1.546188e+15,7.504329,7.574067,7.538924
5100,83558400,1.577112e+15,7.499531,7.556592,7.521166
5200,85196800,1.608036e+15,7.459623,7.545953,7.515705
5300,86835200,1.638960e+15,7.474186,7.556137,7.518147
5400,88473600,1.669883e+15,7.472121,7.532931,7.492356
5500,90112000,1.700807e+15,7.475093,7.520569,7.488570
5600,91750400,1.731731e+15,7.466577,7.522075,7.484340
5700,93388800,1.762655e+15,7.443495,7.513778,7.478103
5800,95027200,1.793578e+15,7.443376,7.500182,7.468055
5900,96665600,1.824502e+15,7.430786,7.494808,7.458766
6000,98304000,1.855426e+15,7.390297,7.489201,7.451380
6100,99942400,1.886350e+15,7.409399,7.477049,7.439833
6200,101580800,1.917273e+15,7.417141,7.471487,7.433583
6300,103219200,1.948197e+15,7.444547,7.484191,7.446220
6400,104857600,1.979121e+15,7.405920,7.458677,7.421801
6500,106496000,2.010045e+15,7.394989,7.455959,7.417741
6600,108134400,2.040968e+15,7.397653,7.444403,7.413487
6700,109772800,2.071892e+15,7.398796,7.436342,7.403520
6800,111411200,2.102816e+15,7.381006,7.441606,7.403038
6900,113049600,2.133740e+15,7.378838,7.433579,7.399515
7000,114688000,2.164664e+15,7.364927,7.432623,7.394059
7100,116326400,2.195587e+15,7.370952,7.426752,7.388337
7200,117964800,2.226511e+15,7.372615,7.410591,7.375448
7300,119603200,2.257435e+15,7.366557,7.416054,7.375873
7400,121241600,2.288359e+15,7.352983,7.403553,7.368757
7500,122880000,2.319282e+15,7.351446,7.408676,7.369321
7600,124518400,2.350206e+15,7.313666,7.408637,7.367200
7700,126156800,2.381130e+15,7.339808,7.391726,7.356930
7800,127795200,2.412054e+15,7.337557,7.391602,7.357967
7900,129433600,2.442977e+15,7.338264,7.397044,7.363389
8000,131072000,2.473901e+15,7.301209,7.379728,7.344921
8100,132710400,2.504825e+15,7.296710,7.380662,7.342384
8200,134348800,2.535749e+15,7.294378,7.387383,7.350027
8300,135987200,2.566672e+15,7.292512,7.389637,7.353474
8400,137625600,2.597596e+15,7.300242,7.371507,7.336607
8500,139264000,2.628520e+15,7.320180,7.368372,7.334574
8600,140902400,2.659444e+15,7.307435,7.364935,7.325180
8700,142540800,2.690368e+15,7.307216,7.362501,7.325596
8800,144179200,2.721291e+15,7.288474,7.357435,7.319497
8900,145817600,2.752215e+15,7.278400,7.363019,7.324649
9000,147456000,2.783139e+15,7.288899,7.344128,7.310352
9100,149094400,2.814063e+15,7.271930,7.344325,7.305631
9200,150732800,2.844986e+15,7.266664,7.329742,7.302154
9300,152371200,2.875910e+15,7.271763,7.327969,7.294376
9400,154009600,2.906834e+15,7.257460,7.340016,7.306515
9500,155648000,2.937758e+15,7.280363,7.320770,7.292319
9600,157286400,2.968681e+15,7.260335,7.332094,7.297454
9700,158924800,2.999605e+15,7.266629,7.317169,7.284054
9800,160563200,3.030529e+15,7.247738,7.326213,7.288221
9900,162201600,3.061453e+15,7.263447,7.315213,7.282363
10000,163840000,3.092376e+15,7.235945,7.304221,7.271457
10100,165478400,3.123300e+15,7.250082,7.302103,7.268181
10200,167116800,3.154224e+15,7.252634,7.305829,7.272341
10300,168755200,3.185148e+15,7.242153,7.293496,7.260233
10400,170393600,3.216072e+15,7.246388,7.292659,7.261681
10500,172032000,3.246995e+15,7.236732,7.289570,7.253991
10600,173670400,3.277919e+15,7.212962,7.290992,7.253162
10700,175308800,3.308843e+15,7.215464,7.286092,7.247239
10800,176947200,3.339767e+15,7.238732,7.282730,7.249493
10900,178585600,3.370690e+15,7.214664,7.290932,7.255338
11000,180224000,3.401614e+15,7.208909,7.269807,7.234415
11100,181862400,3.432538e+15,7.178905,7.266148,7.232337
11200,183500800,3.463462e+15,7.209133,7.282884,7.246640
11300,185139200,3.494385e+15,7.205791,7.274156,7.236985
11400,186777600,3.525309e+15,7.205873,7.271094,7.230508
11500,188416000,3.556233e+15,7.194213,7.258449,7.220281
11600,190054400,3.587157e+15,7.194499,7.248526,7.213749
11700,191692800,3.618080e+15,7.162723,7.253563,7.216847
11800,193331200,3.649004e+15,7.200544,7.251054,7.216808
11900,194969600,3.679928e+15,7.173185,7.249634,7.212784
12000,196608000,3.710852e+15,7.168791,7.247446,7.205511
12100,198246400,3.741776e+15,7.181551,7.238376,7.198561
12200,199884800,3.772699e+15,7.171411,7.239547,7.199305
12300,201523200,3.803623e+15,7.173355,7.227981,7.193506
12400,203161600,3.834547e+15,7.159833,7.236372,7.202908
12500,204800000,3.865471e+15,7.147204,7.233060,7.194441
12600,206438400,3.896394e+15,7.175502,7.228972,7.192730
12700,208076800,3.927318e+15,7.182034,7.226871,7.188054
12800,209715200,3.958242e+15,7.172734,7.224524,7.185000
12900,211353600,3.989166e+15,7.184285,7.228871,7.188715
13000,212992000,4.020089e+15,7.155417,7.218084,7.174668
13100,214630400,4.051013e+15,7.143333,7.208501,7.170867
13200,216268800,4.081937e+15,7.141770,7.207095,7.167712
13300,217907200,4.112861e+15,7.136414,7.205998,7.165823
13400,219545600,4.143784e+15,7.133163,7.206097,7.170833
13500,221184000,4.174708e+15,7.166131,7.195888,7.157932
13600,222822400,4.205632e+15,7.130907,7.200777,7.158277
13700,224460800,4.236556e+15,7.104894,7.190306,7.147566
13800,226099200,4.267480e+15,7.125454,7.199989,7.152881
13900,227737600,4.298403e+15,7.128638,7.184459,7.139826
14000,229376000,4.329327e+15,7.126842,7.175391,7.137086
14100,231014400,4.360251e+15,7.121959,7.182867,7.145362
14200,232652800,4.391175e+15,7.109627,7.174383,7.136369
14300,234291200,4.422098e+15,7.091800,7.180043,7.137930
14400,235929600,4.453022e+15,7.102576,7.174953,7.132998
14500,237568000,4.483946e+15,7.108014,7.168860,7.131230
14600,239206400,4.514870e+15,7.095881,7.166504,7.125231
14700,240844800,4.545793e+15,7.100933,7.159076,7.120721
14800,242483200,4.576717e+15,7.093932,7.167136,7.128947
14900,244121600,4.607641e+15,7.080212,7.155318,7.117802
15000,245760000,4.638565e+15,7.093082,7.163875,7.123311
15100,247398400,4.669488e+15,7.094646,7.154711,7.116568
15200,249036800,4.700412e+15,7.074644,7.145016,7.106516
15300,250675200,4.731336e+15,7.066562,7.142176,7.104301
15400,252313600,4.762260e+15,7.059048,7.146129,7.108742
15500,253952000,4.793184e+15,7.074627,7.140264,7.100071
15600,255590400,4.824107e+15,7.071026,7.146712,7.097984
15700,257228800,4.855031e+15,7.047087,7.136830,7.097653
15800,258867200,4.885955e+15,7.067165,7.133941,7.097252
15900,260505600,4.916879e+15,7.057940,7.130253,7.095033
16000,262144000,4.947802e+15,7.075813,7.111452,7.077099
16100,263782400,4.978726e+15,7.038859,7.122412,7.083664
16200,265420800,5.009650e+15,7.045339,7.120632,7.081724
16300,267059200,5.040574e+15,7.047867,7.113172,7.073242
16400,268697600,5.071497e+15,7.036585,7.116489,7.077654
16500,270336000,5.102421e+15,7.083897,7.107684,7.070883
16600,271974400,5.133345e+15,7.091053,7.104465,7.068134
16700,273612800,5.164269e+15,7.052879,7.104087,7.062225
16800,275251200,5.195192e+15,7.040076,7.103880,7.063069
16900,276889600,5.226116e+15,7.046012,7.101138,7.063204
17000,278528000,5.257040e+15,7.051079,7.075892,7.038953
17100,280166400,5.287964e+15,7.030723,7.090748,7.052372
17200,281804800,5.318887e+15,7.023963,7.092688,7.053353
17300,283443200,5.349811e+15,7.007646,7.085790,7.046180
17400,285081600,5.380735e+15,7.008120,7.091572,7.047756
17500,286720000,5.411659e+15,7.017366,7.076384,7.039492
