step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,3.092376e+13,167.192505,81.156347,80.967530
200,3276800,6.184753e+13,64.378670,41.745446,41.611458
300,4915200,9.277129e+13,40.826435,36.087478,35.962079
400,6553600,1.236951e+14,34.635136,32.958509,32.835578
500,8192000,1.546188e+14,31.327654,30.158478,30.039599
600,9830400,1.855426e+14,28.354671,27.202565,27.082253
700,11468800,2.164664e+14,25.364479,24.335806,24.205689
800,13107200,2.473901e+14,22.726074,21.875724,21.740626
900,14745600,2.783139e+14,20.212772,19.501986,19.375570
1000,16384000,3.092376e+14,18.195036,17.434555,17.324043
1100,18022400,3.401614e+14,16.268299,15.665645,15.566320
1200,19660800,3.710852e+14,14.743986,14.275468,14.189936
1300,21299200,4.020089e+14,13.424540,13.054743,12.982695
1400,22937600,4.329327e+14,12.319159,12.081587,12.017612
1500,24576000,4.638565e+14,11.450537,11.212852,11.163797
1600,26214400,4.947802e+14,10.721486,10.621167,10.580398
1700,27852800,5.257040e+14,10.170258,10.045850,10.000648
1800,29491200,5.566278e+14,9.671341,9.607337,9.565163
1900,31129600,5.875515e+14,9.246013,9.207019,9.169473
2000,32768000,6.184753e+14,8.857479,8.875712,8.839222
2100,34406400,6.493991e+14,8.591929,8.657533,8.632378
2200,36044800,6.803228e+14,8.373553,8.434298,8.412350
2300,37683200,7.112466e+14,8.172159,8.242292,8.228509
2400,39321600,7.421703e+14,8.034957,8.073642,8.063039
2500,40960000,7.730941e+14,7.930549,7.959543,7.942506
2600,42598400,8.040179e+14,7.802887,7.823182,7.806281
2700,44236800,8.349416e+14,7.709739,7.740716,7.726740
2800,45875200,8.658654e+14,7.620857,7.667299,7.651998
2900,47513600,8.967892e+14,7.530396,7.588169,7.575178
3000,49152000,9.277129e+14,7.460603,7.526461,7.510614
3100,50790400,9.586367e+14,7.384501,7.462236,7.445356
3200,52428800,9.895605e+14,7.352960,7.422780,7.398352
3300,54067200,1.020484e+15,7.345974,7.358468,7.335809
3400,55705600,1.051408e+15,7.279420,7.331875,7.307531
3500,57344000,1.082332e+15,7.249509,7.278545,7.256064
3600,58982400,1.113256e+15,7.215191,7.242991,7.212918
3700,60620800,1.144179e+15,7.143747,7.229113,7.199498
3800,62259200,1.175103e+15,7.118454,7.192602,7.161891
3900,63897600,1.206027e+15,7.124736,7.172901,7.141117
4000,65536000,1.236951e+15,7.083129,7.151581,7.114703
4100,67174400,1.267874e+15,7.070015,7.112910,7.078220
4200,68812800,1.298798e+15,7.044795,7.083802,7.049661
4300,70451200,1.329722e+15,7.024131,7.080262,7.042451
4400,72089600,1.360646e+15,7.025041,7.057950,7.019636
4500,73728000,1.391569e+15,6.974420,7.032444,6.992789
4600,75366400,1.422493e+15,6.984471,7.014807,6.979679
4700,77004800,1.453417e+15,6.951854,6.997794,6.962970
4800,78643200,1.484341e+15,6.939289,7.001772,6.959448
4900,80281600,1.515264e+15,6.924303,6.972498,6.939531
5000,81920000,1.546188e+15,6.879777,6.960519,6.920574
5100,83558400,1.577112e+15,6.864960,6.955268,6.910647
5200,85196800,1.608036e+15,6.852249,6.922566,6.886983
5300,86835200,1.638960e+15,6.841288,6.925711,6.882972
5400,88473600,1.669883e+15,6.876156,6.924621,6.887225
5500,90112000,1.700807e+15,6.859378,6.894684,6.854770
5600,91750400,1.731731e+15,6.825965,6.884370,6.839122
5700,93388800,1.762655e+15,6.797938,6.880142,6.837909
5800,95027200,1.793578e+15,6.807976,6.859408,6.815288
5900,96665600,1.824502e+15,6.794009,6.862633,6.823819
6000,98304000,1.855426e+15,6.791332,6.850827,6.813966
