step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,3.092376e+13,167.062943,80.446502,80.335764
200,3276800,6.184753e+13,64.977036,42.485006,42.390233
300,4915200,9.277129e+13,41.785416,36.822564,36.745363
400,6553600,1.236951e+14,35.133003,33.292667,33.246681
500,8192000,1.546188e+14,31.657743,30.449594,30.409886
600,9830400,1.855426e+14,28.753067,27.339822,27.298564
700,11468800,2.164664e+14,25.677740,24.430835,24.384704
800,13107200,2.473901e+14,23.020243,21.915073,21.872367
900,14745600,2.783139e+14,20.622282,19.521256,19.471371
1000,16384000,3.092376e+14,18.425316,17.456493,17.403526
1100,18022400,3.401614e+14,16.420967,15.780321,15.701738
1200,19660800,3.710852e+14,15.011606,14.410269,14.333745
1300,21299200,4.020089e+14,13.742340,13.343747,13.243661
1400,22937600,4.329327e+14,12.573736,12.276872,12.174768
1500,24576000,4.638565e+14,11.727287,11.456422,11.353354
1600,26214400,4.947802e+14,11.002502,10.825649,10.713108
1700,27852800,5.257040e+14,10.353240,10.231680,10.123600
1800,29491200,5.566278e+14,9.874684,9.760092,9.652167
1900,31129600,5.875515e+14,9.386676,9.379958,9.283475
2000,32768000,6.184753e+14,9.074370,9.059621,8.967746
2100,34406400,6.493991e+14,8.821639,8.784255,8.694077
2200,36044800,6.803228e+14,8.501060,8.546580,8.461219
2300,37683200,7.112466e+14,8.281924,8.353509,8.274743
2400,39321600,7.421703e+14,8.139988,8.173504,8.108061
2500,40960000,7.730941e+14,7.985506,8.054444,7.989628
2600,42598400,8.040179e+14,7.869349,7.943301,7.876009
2700,44236800,8.349416e+14,7.720013,7.854849,7.794339
2800,45875200,8.658654e+14,7.673539,7.758089,7.694165
2900,47513600,8.967892e+14,7.593278,7.685136,7.621387
3000,49152000,9.277129e+14,7.534643,7.620685,7.556666
3100,50790400,9.586367e+14,7.436833,7.547157,7.483080
3200,52428800,9.895605e+14,7.453609,7.521882,7.459112
3300,54067200,1.020484e+15,7.368408,7.461757,7.407294
3400,55705600,1.051408e+15,7.348582,7.409646,7.346090
3500,57344000,1.082332e+15,7.272062,7.374677,7.318345
3600,58982400,1.113256e+15,7.238827,7.337628,7.282690
3700,60620800,1.144179e+15,7.219459,7.297980,7.242234
3800,62259200,1.175103e+15,7.188894,7.270829,7.214813
3900,63897600,1.206027e+15,7.219344,7.247900,7.188101
4000,65536000,1.236951e+15,7.156464,7.225297,7.166035
4100,67174400,1.267874e+15,7.092422,7.181729,7.123333
4200,68812800,1.298798e+15,7.070858,7.161833,7.106735
4300,70451200,1.329722e+15,7.048564,7.120266,7.067803
4400,72089600,1.360646e+15,7.031909,7.122654,7.064527
4500,73728000,1.391569e+15,7.013865,7.113156,7.056146
4600,75366400,1.422493e+15,7.000531,7.076455,7.015814
4700,77004800,1.453417e+15,6.963752,7.069958,7.013246
4800,78643200,1.484341e+15,6.985531,7.044269,6.990368
4900,80281600,1.515264e+15,6.947446,7.016884,6.965357
5000,81920000,1.546188e+15,6.900712,7.000736,6.950055
5100,83558400,1.577112e+15,6.947484,6.998532,6.941502
5200,85196800,1.608036e+15,6.937684,6.977383,6.920952
5300,86835200,1.638960e+15,6.883801,6.955285,6.905821
5400,88473600,1.669883e+15,6.859818,6.956042,6.901225
