step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
500,16384000,4.641786e+16,37.100327,35.134290,35.134290
1000,32768000,9.283572e+16,20.691765,19.225471,19.225471
1500,49152000,1.392536e+17,11.940516,12.606237,12.606237
2000,65536000,1.856714e+17,8.730837,8.415411,8.415411
2500,81920000,2.320893e+17,7.416888,7.286997,7.286997
3000,98304000,2.785072e+17,6.824762,6.815901,6.815901
3500,114688000,3.249250e+17,6.531945,6.555652,6.555652
4000,131072000,3.713429e+17,6.265257,6.207828,6.207828
4500,147456000,4.177607e+17,6.087645,6.076762,6.076762
5000,163840000,4.641786e+17,5.909284,5.825068,5.825068
5500,180224000,5.105964e+17,5.743041,5.682855,5.682855
6000,196608000,5.570143e+17,5.590693,5.534815,5.534815
6500,212992000,6.034322e+17,5.468805,5.375235,5.375235
7000,229376000,6.498500e+17,5.324400,5.218491,5.218491
7500,245760000,6.962679e+17,5.165898,5.102441,5.102441
8000,262144000,7.426857e+17,5.048553,5.026153,5.026153
8500,278528000,7.891036e+17,4.978675,4.903840,4.903840
9000,294912000,8.355215e+17,4.893649,4.854841,4.854841
9500,311296000,8.819393e+17,4.810047,4.803187,4.803187
10000,327680000,9.283572e+17,4.759736,4.727611,4.727611
10500,344064000,9.747750e+17,4.704890,4.651133,4.651133
11000,360448000,1.021193e+18,4.650678,4.614977,4.614977
11500,376832000,1.067611e+18,4.615191,4.559406,4.559406
12000,393216000,1.114029e+18,4.572574,4.506527,4.506527
12500,409600000,1.160446e+18,4.544183,4.506069,4.506069
13000,425984000,1.206864e+18,4.506298,4.455217,4.455217
13500,442368000,1.253282e+18,4.465687,4.423411,4.423411
14000,458752000,1.299700e+18,4.441854,4.409588,4.409588
14500,475136000,1.346118e+18,4.417808,4.373496,4.373496
15000,491520000,1.392536e+18,4.392901,4.340161,4.340161
15500,507904000,1.438954e+18,4.353730,4.319284,4.319284
16000,524288000,1.485371e+18,4.344949,4.285903,4.285903
16500,540672000,1.531789e+18,4.329767,4.282253,4.282253
17000,557056000,1.578207e+18,4.294140,4.244959,4.244959
17500,573440000,1.624625e+18,4.282831,4.235341,4.235341
