step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,3.195456e+14,421.811859,284.497647
200,3276800,6.390911e+14,123.896568,49.188510
300,4915200,9.586367e+14,51.319454,37.356310
400,6553600,1.278182e+15,36.292881,32.681889
500,8192000,1.597728e+15,30.745123,28.921397
600,9830400,1.917273e+15,27.027948,25.546199
700,11468800,2.236819e+15,23.972353,22.672813
800,13107200,2.556365e+15,20.933176,20.013305
900,14745600,2.875910e+15,18.594063,17.622912
1000,16384000,3.195456e+15,16.420105,15.626452
1100,18022400,3.515001e+15,14.528032,13.750183
1200,19660800,3.834547e+15,12.956989,12.418345
1300,21299200,4.154092e+15,11.797553,11.385756
1400,22937600,4.473638e+15,10.881620,10.505765
1500,24576000,4.793184e+15,10.115036,9.813228
1600,26214400,5.112729e+15,9.385244,9.346647
1700,27852800,5.432275e+15,9.025685,8.921106
1800,29491200,5.751820e+15,8.788639,8.632326
1900,31129600,6.071366e+15,8.444837,8.274432
2000,32768000,6.390911e+15,8.163037,8.122066
2100,34406400,6.710457e+15,7.863095,7.885840
2200,36044800,7.030002e+15,7.658732,7.719846
2300,37683200,7.349548e+15,7.557963,7.617344
2400,39321600,7.669094e+15,7.433188,7.529230
2500,40960000,7.988639e+15,7.390310,7.383039
2600,42598400,8.308185e+15,7.287409,7.323490
2700,44236800,8.627730e+15,7.230017,7.274195
2800,45875200,8.947276e+15,7.164321,7.185670
2900,47513600,9.266821e+15,7.084166,7.177295
3000,49152000,9.586367e+15,7.055009,7.117331
3100,50790400,9.905913e+15,7.008758,7.064029
3200,52428800,1.022546e+16,6.937259,7.023639
3300,54067200,1.054500e+16,6.954355,6.982712
3400,55705600,1.086455e+16,6.914638,6.949965
3500,57344000,1.118409e+16,6.854589,6.932263
3600,58982400,1.150364e+16,6.887140,6.911878
3700,60620800,1.182319e+16,6.792386,6.871900
3800,62259200,1.214273e+16,6.843200,6.831471
3900,63897600,1.246228e+16,6.757875,6.797535
4000,65536000,1.278182e+16,6.756627,6.773073
4100,67174400,1.310137e+16,6.708211,6.758691
4200,68812800,1.342091e+16,6.729222,6.743405
4300,70451200,1.374046e+16,6.699326,6.714318
4400,72089600,1.406000e+16,6.646456,6.680659
4500,73728000,1.437955e+16,6.620617,6.664493
4600,75366400,1.469910e+16,6.566933,6.667962
4700,77004800,1.501864e+16,6.529373,6.611386
4800,78643200,1.533819e+16,6.537853,6.594189
4900,80281600,1.565773e+16,6.554528,6.576937
5000,81920000,1.597728e+16,6.493800,6.559168
5100,83558400,1.629682e+16,6.498926,6.524057
5200,85196800,1.661637e+16,6.429633,6.490672
5300,86835200,1.693592e+16,6.446654,6.468713
5400,88473600,1.725546e+16,6.403163,6.470921
5500,90112000,1.757501e+16,6.414673,6.434003
5600,91750400,1.789455e+16,6.373203,6.424795
5700,93388800,1.821410e+16,6.378051,6.398060
5800,95027200,1.853364e+16,6.383379,6.363865
5900,96665600,1.885319e+16,6.382284,6.372899
6000,98304000,1.917273e+16,6.264861,6.323219
6100,99942400,1.949228e+16,6.257065,6.315334
6200,101580800,1.981183e+16,6.251341,6.305464
6300,103219200,2.013137e+16,6.253274,6.281885
6400,104857600,2.045092e+16,6.213227,6.254594
6500,106496000,2.077046e+16,6.235874,6.251941
6600,108134400,2.109001e+16,6.210085,6.251898
6700,109772800,2.140955e+16,6.189096,6.217236
6800,111411200,2.172910e+16,6.158648,6.189918
6900,113049600,2.204864e+16,6.136759,6.186959
7000,114688000,2.236819e+16,6.119592,6.164938
7100,116326400,2.268774e+16,6.092190,6.146497
7200,117964800,2.300728e+16,6.076868,6.131463
7300,119603200,2.332683e+16,6.058959,6.117079
7400,121241600,2.364637e+16,6.031832,6.129317
7500,122880000,2.396592e+16,6.033419,6.134386
7600,124518400,2.428546e+16,6.042016,6.073669
7700,126156800,2.460501e+16,6.010238,6.065098
7800,127795200,2.492455e+16,5.980525,6.040536
7900,129433600,2.524410e+16,6.010266,6.029205
8000,131072000,2.556365e+16,5.981186,6.031554
8100,132710400,2.588319e+16,5.923429,5.999080
8200,134348800,2.620274e+16,5.964935,5.996963
8300,135987200,2.652228e+16,5.920724,5.989936
8400,137625600,2.684183e+16,5.952713,5.972705
8500,139264000,2.716137e+16,5.838050,5.962516
8600,140902400,2.748092e+16,5.959548,5.948172
8700,142540800,2.780046e+16,5.896912,5.939069
8800,144179200,2.812001e+16,5.882190,5.906200
8900,145817600,2.843956e+16,5.828560,5.888563
9000,147456000,2.875910e+16,5.846606,5.886901
9100,149094400,2.907865e+16,5.831150,5.878064
9200,150732800,2.939819e+16,5.830788,5.895227
9300,152371200,2.971774e+16,5.775269,5.866360
9400,154009600,3.003728e+16,5.791359,5.850529
9500,155648000,3.035683e+16,5.813237,5.822957
9600,157286400,3.067637e+16,5.790812,5.810093
9700,158924800,3.099592e+16,5.775296,5.805766
9800,160563200,3.131547e+16,5.737391,5.796750
9900,162201600,3.163501e+16,5.721000,5.785238
10000,163840000,3.195456e+16,5.746797,5.790870
10100,165478400,3.227410e+16,5.733829,5.752911
10200,167116800,3.259365e+16,5.678282,5.757130
10300,168755200,3.291319e+16,5.677703,5.735910
10400,170393600,3.323274e+16,5.674535,5.723215
10500,172032000,3.355228e+16,5.676681,5.715947
10600,173670400,3.387183e+16,5.689589,5.709414
10700,175308800,3.419138e+16,5.655899,5.693439
