step,tokens_seen,cumulative_flops,train_loss,eval_loss
10,983040,1.917273e+14,478.589256,478.015330
20,1966080,3.834547e+14,478.389897,476.489922
30,2949120,5.751820e+14,477.808863,473.603193
40,3932160,7.669094e+14,476.634761,468.745141
50,4915200,9.586367e+14,474.525420,460.706529
60,5898240,1.150364e+15,470.902979,447.135740
70,6881280,1.342091e+15,464.717607,423.782886
80,7864320,1.533819e+15,454.079683,384.599311
90,8847360,1.725546e+15,436.496164,325.957579
100,9830400,1.917273e+15,409.940184,255.168671
110,10813440,2.109001e+15,375.365623,188.393376
120,11796480,2.300728e+15,336.324352,135.933561
130,12779520,2.492455e+15,296.265197,100.615319
140,13762560,2.684183e+15,258.553098,80.621575
150,14745600,2.875910e+15,224.916318,69.328687
160,15728640,3.067637e+15,195.711096,61.634301
170,16711680,3.259365e+15,170.644263,55.859286
180,17694720,3.451092e+15,149.210818,51.349373
190,18677760,3.642819e+15,130.977140,48.002974
200,19660800,3.834547e+15,115.536785,45.453521
210,20643840,4.026274e+15,102.491989,43.386856
220,21626880,4.218001e+15,91.493514,41.741836
230,22609920,4.409729e+15,82.229578,40.384168
240,23592960,4.601456e+15,74.425935,39.272920
250,24576000,4.793184e+15,67.879023,38.329990
260,25559040,4.984911e+15,62.353161,37.571461
270,26542080,5.176638e+15,57.731244,36.897276
280,27525120,5.368366e+15,53.815579,36.288544
290,28508160,5.560093e+15,50.536512,35.725133
300,29491200,5.751820e+15,47.736308,35.168507
310,30474240,5.943548e+15,45.359482,34.674978
320,31457280,6.135275e+15,43.323273,34.218798
330,32440320,6.327002e+15,41.566127,33.739707
340,33423360,6.518730e+15,40.062846,33.283677
350,34406400,6.710457e+15,38.727929,32.838249
360,35389440,6.902184e+15,37.565132,32.388477
370,36372480,7.093912e+15,36.534206,31.956110
380,37355520,7.285639e+15,35.601710,31.518801
390,38338560,7.477366e+15,34.754674,31.125341
400,39321600,7.669094e+15,34.028230,30.730479
410,40304640,7.860821e+15,33.361095,30.302297
420,41287680,8.052548e+15,32.730730,29.893799
430,42270720,8.244276e+15,32.135667,29.466993
440,43253760,8.436003e+15,31.581668,29.057395
450,44236800,8.627730e+15,31.029596,28.643752
460,45219840,8.819458e+15,30.505990,28.215497
470,46202880,9.011185e+15,30.009967,27.811045
480,47185920,9.202912e+15,29.533318,27.426331
490,48168960,9.394640e+15,29.069566,27.063219
500,49152000,9.586367e+15,28.612125,26.738053
510,50135040,9.778094e+15,28.204361,26.395193
520,51118080,9.969822e+15,27.782477,26.097105
530,52101120,1.016155e+16,27.409249,25.792625
540,53084160,1.035328e+16,27.028282,25.572224
550,54067200,1.054500e+16,26.677306,25.276035
560,55050240,1.073673e+16,26.374179,25.049255
570,56033280,1.092846e+16,26.057690,24.768887
580,57016320,1.112019e+16,25.770588,24.462568
590,57999360,1.131191e+16,25.469615,24.156245
600,58982400,1.150364e+16,25.157205,23.870546
610,59965440,1.169537e+16,24.861661,23.587029
620,60948480,1.188710e+16,24.581858,23.347452
630,61931520,1.207882e+16,24.287168,23.068736
640,62914560,1.227055e+16,23.995315,22.743657
650,63897600,1.246228e+16,23.672098,22.433618
660,64880640,1.265400e+16,23.398716,22.143214
670,65863680,1.284573e+16,23.128439,21.843666
680,66846720,1.303746e+16,22.830036,21.554563
690,67829760,1.322919e+16,22.512697,21.305941
700,68812800,1.342091e+16,22.228524,21.029839
710,69795840,1.361264e+16,21.952171,20.775027
720,70778880,1.380437e+16,21.674595,20.547577
730,71761920,1.399610e+16,21.402531,20.328063
740,72744960,1.418782e+16,21.142436,20.073548
750,73728000,1.437955e+16,20.881881,19.779990
760,74711040,1.457128e+16,20.623813,19.480711
770,75694080,1.476301e+16,20.335570,19.149044
780,76677120,1.495473e+16,20.084787,18.845845
790,77660160,1.514646e+16,19.803986,18.560154
800,78643200,1.533819e+16,19.523500,18.300926
810,79626240,1.552991e+16,19.270243,18.040709
820,80609280,1.572164e+16,18.978995,17.750024
830,81592320,1.591337e+16,18.705799,17.479336
840,82575360,1.610510e+16,18.429137,17.208514
850,83558400,1.629682e+16,18.161161,16.986485
