step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.962834e+15,478.870251,465.444160
100,13107200,3.925667e+15,411.076725,246.568785
150,19660800,5.888501e+15,222.632246,68.102752
200,26214400,7.851334e+15,114.821100,46.198500
250,32768000,9.814168e+15,67.942295,38.485265
300,39321600,1.177700e+16,47.544264,34.731687
350,45875200,1.373984e+16,38.356386,32.348698
400,52428800,1.570267e+16,33.595589,30.280752
450,58982400,1.766550e+16,30.626714,28.378099
500,65536000,1.962834e+16,28.434911,26.611457
550,72089600,2.159117e+16,26.363055,24.662572
600,78643200,2.355400e+16,24.581486,23.138613
650,85196800,2.551684e+16,23.016129,21.697885
700,91750400,2.747967e+16,21.440995,20.042714
750,98304000,2.944250e+16,19.931203,18.751332
800,104857600,3.140534e+16,18.602109,17.491722
850,111411200,3.336817e+16,17.310760,16.231050
900,117964800,3.533100e+16,16.102977,15.177206
950,124518400,3.729384e+16,15.019869,14.171332
1000,131072000,3.925667e+16,14.001413,13.172806
1050,137625600,4.121951e+16,13.084076,12.418232
1100,144179200,4.318234e+16,12.289816,11.620049
1150,150732800,4.514517e+16,11.525733,10.942390
1200,157286400,4.710801e+16,10.883959,10.388227
1250,163840000,4.907084e+16,10.295248,9.865043
1300,170393600,5.103367e+16,9.794438,9.450572
1350,176947200,5.299651e+16,9.373411,9.097283
1400,183500800,5.495934e+16,9.009077,8.736466
1450,190054400,5.692217e+16,8.672734,8.478915
1500,196608000,5.888501e+16,8.406144,8.232219
1550,203161600,6.084784e+16,8.176514,8.007424
1600,209715200,6.281068e+16,7.963939,7.854572
1650,216268800,6.477351e+16,7.790449,7.735156
1700,222822400,6.673634e+16,7.659701,7.611580
1750,229376000,6.869918e+16,7.542073,7.473673
1800,235929600,7.066201e+16,7.452379,7.444101
1850,242483200,7.262484e+16,7.381835,7.339083
1900,249036800,7.458768e+16,7.328398,7.464507
1950,255590400,7.655051e+16,7.263246,7.243810
2000,262144000,7.851334e+16,7.211199,7.214292
2050,268697600,8.047618e+16,7.154803,7.154684
2100,275251200,8.243901e+16,7.140773,7.135969
2150,281804800,8.440185e+16,7.103529,7.149351
2200,288358400,8.636468e+16,7.080281,7.084837
2250,294912000,8.832751e+16,7.026889,7.041570
2300,301465600,9.029035e+16,7.016582,7.014978
2350,308019200,9.225318e+16,6.978040,7.005714
2400,314572800,9.421601e+16,6.949586,6.975010
2450,321126400,9.617885e+16,6.926553,6.953584
2500,327680000,9.814168e+16,6.909443,6.951719
2550,334233600,1.001045e+17,6.901267,6.916735
2600,340787200,1.020673e+17,6.879666,6.902286
2650,347340800,1.040302e+17,6.859808,6.898168
2700,353894400,1.059930e+17,6.833003,6.853868
2750,360448000,1.079558e+17,6.819249,6.879104
2800,367001600,1.099187e+17,6.799958,6.833727
2850,373555200,1.118815e+17,6.790028,6.804066
2900,380108800,1.138443e+17,6.764676,6.801748
2950,386662400,1.158072e+17,6.745717,6.767912
3000,393216000,1.177700e+17,6.730706,6.753864
3050,399769600,1.197329e+17,6.713048,6.745751
3100,406323200,1.216957e+17,6.699200,6.725101
3150,412876800,1.236585e+17,6.675759,6.704910
3200,419430400,1.256214e+17,6.660635,6.691095
3250,425984000,1.275842e+17,6.640197,6.690560
3300,432537600,1.295470e+17,6.634062,6.652002
3350,439091200,1.315099e+17,6.615532,6.635986
3400,445644800,1.334727e+17,6.609181,6.636605
3450,452198400,1.354355e+17,6.581988,6.620678
3500,458752000,1.373984e+17,6.573676,6.611248
3550,465305600,1.393612e+17,6.556469,6.597806
3600,471859200,1.413240e+17,6.546870,6.584785
3650,478412800,1.432869e+17,6.529747,6.567113
3700,484966400,1.452497e+17,6.514660,6.557028
3750,491520000,1.472125e+17,6.500636,6.541859
3800,498073600,1.491754e+17,6.488948,6.514431
3850,504627200,1.511382e+17,6.484056,6.512078
3900,511180800,1.531010e+17,6.468023,6.497551
3950,517734400,1.550639e+17,6.461521,6.484030
4000,524288000,1.570267e+17,6.447026,6.476315
4050,530841600,1.589895e+17,6.433717,6.459132
4100,537395200,1.609524e+17,6.419366,6.449365
4150,543948800,1.629152e+17,6.397603,6.441662
4200,550502400,1.648780e+17,6.390294,6.426484
4250,557056000,1.668409e+17,6.376198,6.409388
4300,563609600,1.688037e+17,6.363976,6.396075
4350,570163200,1.707665e+17,6.354690,6.384473
4400,576716800,1.727294e+17,6.345695,6.373501
4450,583270400,1.746922e+17,6.331855,6.361441
4500,589824000,1.766550e+17,6.319155,6.352079
4550,596377600,1.786179e+17,6.302690,6.351318
4600,602931200,1.805807e+17,6.298081,6.333588
4650,609484800,1.825435e+17,6.295721,6.320028
4700,616038400,1.845064e+17,6.276913,6.304962
4750,622592000,1.864692e+17,6.263426,6.300257
4800,629145600,1.884320e+17,6.253050,6.291614
4850,635699200,1.903949e+17,6.254294,6.276506
4900,642252800,1.923577e+17,6.235397,6.260810
4950,648806400,1.943205e+17,6.226266,6.251568
5000,655360000,1.962834e+17,6.208777,6.239359
5050,661913600,1.982462e+17,6.204608,6.226653
5100,668467200,2.002090e+17,6.180484,6.207419
5150,675020800,2.021719e+17,6.163867,6.199108
5200,681574400,2.041347e+17,6.155810,6.190801
5250,688128000,2.060975e+17,6.146022,6.183055
5300,694681600,2.080604e+17,6.140999,6.175404
5350,701235200,2.100232e+17,6.135586,6.168447
5400,707788800,2.119860e+17,6.127486,6.163781
5450,714342400,2.139489e+17,6.116801,6.154192
5500,720896000,2.159117e+17,6.106829,6.142870
5550,727449600,2.178745e+17,6.094534,6.135338
5600,734003200,2.198374e+17,6.092282,6.124358
