step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,2.975043e+15,10.965993,10.860448
100,13107200,5.950087e+15,10.675065,10.115251
150,19660800,8.925130e+15,9.995627,9.321622
200,26214400,1.190017e+16,9.330285,8.702342
250,32768000,1.487522e+16,8.700705,8.113664
300,39321600,1.785026e+16,8.144793,7.706894
350,45875200,2.082530e+16,7.764159,7.503821
400,52428800,2.380035e+16,7.514417,7.353717
450,58982400,2.677539e+16,7.337748,7.207889
500,65536000,2.975043e+16,7.179608,7.063613
550,72089600,3.272548e+16,7.032994,6.933326
600,78643200,3.570052e+16,6.900977,6.820572
650,85196800,3.867556e+16,6.790361,6.728661
700,91750400,4.165061e+16,6.699384,6.652154
750,98304000,4.462565e+16,6.617795,6.587268
800,104857600,4.760069e+16,6.548737,6.532070
850,111411200,5.057574e+16,6.493562,6.484929
900,117964800,5.355078e+16,6.440035,6.439024
950,124518400,5.652582e+16,6.394335,6.394581
1000,131072000,5.950087e+16,6.357620,6.353262
1050,137625600,6.247591e+16,6.305308,6.314566
1100,144179200,6.545095e+16,6.270416,6.274161
1150,150732800,6.842600e+16,6.229996,6.236413
1200,157286400,7.140104e+16,6.188197,6.199099
1250,163840000,7.437608e+16,6.159751,6.161272
1300,170393600,7.735113e+16,6.121381,6.127313
1350,176947200,8.032617e+16,6.083130,6.090943
1400,183500800,8.330121e+16,6.052369,6.059191
1450,190054400,8.627626e+16,6.020713,6.027156
1500,196608000,8.925130e+16,5.993569,5.999564
1550,203161600,9.222634e+16,5.966594,5.966509
1600,209715200,9.520139e+16,5.929960,5.940637
1650,216268800,9.817643e+16,5.900788,5.909290
1700,222822400,1.011515e+17,5.875353,5.884309
1750,229376000,1.041265e+17,5.843226,5.858708
1800,235929600,1.071016e+17,5.827660,5.836793
1850,242483200,1.100766e+17,5.803223,5.811966
1900,249036800,1.130516e+17,5.780842,5.789423
1950,255590400,1.160267e+17,5.757578,5.766417
2000,262144000,1.190017e+17,5.738322,5.748019
2050,268697600,1.219768e+17,5.719836,5.728354
2100,275251200,1.249518e+17,5.697667,5.708552
2150,281804800,1.279269e+17,5.677826,5.690586
2200,288358400,1.309019e+17,5.657932,5.673352
2250,294912000,1.338769e+17,5.632721,5.656143
2300,301465600,1.368520e+17,5.623310,5.640166
2350,308019200,1.398270e+17,5.602916,5.622152
2400,314572800,1.428021e+17,5.593902,5.605707
2450,321126400,1.457771e+17,5.575904,5.590661
2500,327680000,1.487522e+17,5.562746,5.577260
2550,334233600,1.517272e+17,5.547708,5.562880
2600,340787200,1.547023e+17,5.531378,5.548078
2650,347340800,1.576773e+17,5.516749,5.535022
2700,353894400,1.606523e+17,5.504356,5.521573
2750,360448000,1.636274e+17,5.490738,5.508610
2800,367001600,1.666024e+17,5.484018,5.497094
2850,373555200,1.695775e+17,5.465048,5.486092
2900,380108800,1.725525e+17,5.454921,5.472155
2950,386662400,1.755276e+17,5.443317,5.460738
3000,393216000,1.785026e+17,5.438217,5.450672
3050,399769600,1.814776e+17,5.421294,5.438971
3100,406323200,1.844527e+17,5.416065,5.430163
3150,412876800,1.874277e+17,5.403119,5.419946
3200,419430400,1.904028e+17,5.395113,5.410548
3250,425984000,1.933778e+17,5.383595,5.402295
3300,432537600,1.963529e+17,5.379540,5.389778
3350,439091200,1.993279e+17,5.370524,5.380619
3400,445644800,2.023029e+17,5.361353,5.371063
3450,452198400,2.052780e+17,5.344668,5.361186
3500,458752000,2.082530e+17,5.339204,5.354766
3550,465305600,2.112281e+17,5.328418,5.344576
3600,471859200,2.142031e+17,5.322161,5.335684
3650,478412800,2.171782e+17,5.311605,5.326651
3700,484966400,2.201532e+17,5.300484,5.318470
3750,491520000,2.231282e+17,5.292380,5.311696
3800,498073600,2.261033e+17,5.283275,5.303911
3850,504627200,2.290783e+17,5.273700,5.294687
3900,511180800,2.320534e+17,5.271328,5.286251
3950,517734400,2.350284e+17,5.266851,5.280573
4000,524288000,2.380035e+17,5.257930,5.271822
4050,530841600,2.409785e+17,5.246912,5.262654
4100,537395200,2.439536e+17,5.239051,5.257888
4150,543948800,2.469286e+17,5.231566,5.251329
4200,550502400,2.499036e+17,5.226248,5.242798
4250,557056000,2.528787e+17,5.222922,5.237287
4300,563609600,2.558537e+17,5.219926,5.228962
4350,570163200,2.588288e+17,5.206832,5.222676
4400,576716800,2.618038e+17,5.198060,5.216581
4450,583270400,2.647789e+17,5.193499,5.211164
4500,589824000,2.677539e+17,5.183293,5.205381
4550,596377600,2.707289e+17,5.180135,5.200351
4600,602931200,2.737040e+17,5.176678,5.194570
4650,609484800,2.766790e+17,5.171523,5.189148
4700,616038400,2.796541e+17,5.165563,5.182973
4750,622592000,2.826291e+17,5.165157,5.178855
4800,629145600,2.856042e+17,5.153364,5.172522
4850,635699200,2.885792e+17,5.147814,5.167456
4900,642252800,2.915542e+17,5.143762,5.162558
4950,648806400,2.945293e+17,5.144028,5.158076
5000,655360000,2.975043e+17,5.138246,5.152784
5050,661913600,3.004794e+17,5.130454,5.148344
5100,668467200,3.034544e+17,5.125845,5.144132
5150,675020800,3.064295e+17,5.119519,5.139200
5200,681574400,3.094045e+17,5.114390,5.135664
5250,688128000,3.123795e+17,5.106925,5.130730
5300,694681600,3.153546e+17,5.101924,5.126223
5350,701235200,3.183296e+17,5.102729,5.122395
5400,707788800,3.213047e+17,5.101611,5.118681
5450,714342400,3.242797e+17,5.096029,5.115072
5500,720896000,3.272548e+17,5.090200,5.111497
5550,727449600,3.302298e+17,5.084725,5.107640
5600,734003200,3.332049e+17,5.084769,5.104438
5650,740556800,3.361799e+17,5.087719,5.101759
5700,747110400,3.391549e+17,5.082255,5.098211
5750,753664000,3.421300e+17,5.077110,5.095606
5800,760217600,3.451050e+17,5.072497,5.092609
5850,766771200,3.480801e+17,5.072522,5.089155
5900,773324800,3.510551e+17,5.071550,5.086749
5950,779878400,3.540302e+17,5.069298,5.084015
6000,786432000,3.570052e+17,5.068322,5.081833
6050,792985600,3.599802e+17,5.063505,5.079459
6100,799539200,3.629553e+17,5.056756,5.076714
6150,806092800,3.659303e+17,5.054755,5.074334
6200,812646400,3.689054e+17,5.052227,5.072879
6250,819200000,3.718804e+17,5.049938,5.070864
6300,825753600,3.748555e+17,5.049230,5.068678
6350,832307200,3.778305e+17,5.048002,5.066670
6400,838860800,3.808055e+17,5.043592,5.065374
6450,845414400,3.837806e+17,5.042591,5.063590
6500,851968000,3.867556e+17,5.046437,5.062208
6550,858521600,3.897307e+17,5.041101,5.061370
6600,865075200,3.927057e+17,5.042463,5.059928
6650,871628800,3.956808e+17,5.039762,5.058511
6700,878182400,3.986558e+17,5.040771,5.057338
6750,884736000,4.016308e+17,5.030940,5.056452
6800,891289600,4.046059e+17,5.031520,5.055410
6850,897843200,4.075809e+17,5.029974,5.054417
6900,904396800,4.105560e+17,5.033491,5.053814
6950,910950400,4.135310e+17,5.029098,5.053185
7000,917504000,4.165061e+17,5.029056,5.052582
7050,924057600,4.194811e+17,5.032348,5.052131
7100,930611200,4.224562e+17,5.032196,5.051834
7150,937164800,4.254312e+17,5.033982,5.051381
7200,943718400,4.284062e+17,5.030007,5.050987
7250,950272000,4.313813e+17,5.029723,5.050676
7300,956825600,4.343563e+17,5.030667,5.050455
7350,963379200,4.373314e+17,5.027054,5.050302
7400,969932800,4.403064e+17,5.026600,5.050191
7450,976486400,4.432815e+17,5.027619,5.050091
7500,983040000,4.462565e+17,5.021799,5.050051
7550,989593600,4.492315e+17,5.029694,5.050022
7600,996147200,4.522066e+17,5.027951,5.050012
7630,1000079360,4.539916e+17,5.030077,5.027817
