step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,1.597728e+14,248.394440,125.696810,125.736041
200,3276800,3.195456e+14,81.398811,43.356953,43.430229
300,4915200,4.793184e+14,43.535778,36.178559,36.235408
400,6553600,6.390911e+14,34.721672,32.383340,32.422926
500,8192000,7.988639e+14,30.669006,29.328891,29.353118
600,9830400,9.586367e+14,27.251165,26.161877,26.170819
700,11468800,1.118409e+15,24.458319,23.278628,23.272214
800,13107200,1.278182e+15,21.667862,20.468791,20.456046
900,14745600,1.437955e+15,19.024805,17.870420,17.850857
1000,16384000,1.597728e+15,16.478394,15.568538,15.555378
1100,18022400,1.757501e+15,14.541394,13.881301,13.876649
1200,19660800,1.917273e+15,13.081191,12.632080,12.629296
1300,21299200,2.077046e+15,12.079393,11.691079,11.689899
1400,22937600,2.236819e+15,11.156229,10.891171,10.891807
1500,24576000,2.396592e+15,10.469174,10.215472,10.215718
1600,26214400,2.556365e+15,9.899090,9.733556,9.733647
1700,27852800,2.716137e+15,9.466388,9.309155,9.310295
1800,29491200,2.875910e+15,9.067554,8.926978,8.926544
1900,31129600,3.035683e+15,8.697658,8.618539,8.617576
2000,32768000,3.195456e+15,8.446560,8.362679,8.363144
2100,34406400,3.355228e+15,8.219436,8.132731,8.131529
2200,36044800,3.515001e+15,7.985038,7.977558,7.976555
2300,37683200,3.674774e+15,7.818069,7.794528,7.792637
2400,39321600,3.834547e+15,7.666285,7.675335,7.671198
2500,40960000,3.994320e+15,7.593191,7.599182,7.596783
2600,42598400,4.154092e+15,7.460003,7.492772,7.491143
2700,44236800,4.313865e+15,7.390082,7.375993,7.372178
2800,45875200,4.473638e+15,7.338099,7.330164,7.328988
2900,47513600,4.633411e+15,7.236980,7.275357,7.273255
3000,49152000,4.793184e+15,7.208894,7.260693,7.257058
3100,50790400,4.952956e+15,7.160312,7.164795,7.159398
3200,52428800,5.112729e+15,7.102165,7.137980,7.133874
3300,54067200,5.272502e+15,7.075075,7.076122,7.071933
3400,55705600,5.432275e+15,7.040676,7.047915,7.044866
3500,57344000,5.592047e+15,7.008233,7.010915,7.008539
3600,58982400,5.751820e+15,6.948964,6.993369,6.987983
3700,60620800,5.911593e+15,6.944775,6.955385,6.951232
3800,62259200,6.071366e+15,6.890298,6.922285,6.917655
3900,63897600,6.231139e+15,6.904475,6.902782,6.897413
4000,65536000,6.390911e+15,6.894475,6.887109,6.881554
4100,67174400,6.550684e+15,6.852255,6.872690,6.866136
4200,68812800,6.710457e+15,6.828049,6.850558,6.845010
4300,70451200,6.870230e+15,6.815241,6.836544,6.829049
4400,72089600,7.030002e+15,6.813837,6.806275,6.801557
4500,73728000,7.189775e+15,6.780438,6.801046,6.793680
4600,75366400,7.349548e+15,6.735927,6.780767,6.773801
