step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,4.020089e+14,427.850708,292.930246,292.930246
200,3276800,8.040179e+14,125.835556,49.310664,49.310664
300,4915200,1.206027e+15,51.228424,37.232320,37.232320
400,6553600,1.608036e+15,36.180359,32.707335,32.707335
500,8192000,2.010045e+15,30.798311,28.980824,28.980824
600,9830400,2.412054e+15,26.715391,25.324191,25.324191
700,11468800,2.814063e+15,23.630381,22.417208,22.417208
800,13107200,3.216072e+15,20.893545,19.652393,19.652393
900,14745600,3.618080e+15,18.320911,17.216451,17.216451
1000,16384000,4.020089e+15,15.859858,15.071030,15.071030
1100,18022400,4.422098e+15,14.084972,13.421839,13.421839
1200,19660800,4.824107e+15,12.607117,12.139483,12.139483
1300,21299200,5.226116e+15,11.469077,11.087667,11.087667
1400,22937600,5.628125e+15,10.585604,10.390693,10.390693
1500,24576000,6.030134e+15,9.898759,9.666961,9.666961
1600,26214400,6.432143e+15,9.346840,9.160757,9.160757
1700,27852800,6.834152e+15,8.875490,8.728819,8.728819
1800,29491200,7.236161e+15,8.491441,8.422554,8.422554
1900,31129600,7.638170e+15,8.193496,8.189055,8.189055
2000,32768000,8.040179e+15,8.014536,7.916602,7.916602
2100,34406400,8.442188e+15,7.827300,7.773821,7.773821
2200,36044800,8.844197e+15,7.616457,7.609975,7.609975
2300,37683200,9.246206e+15,7.483643,7.515824,7.515824
2400,39321600,9.648215e+15,7.374509,7.388109,7.388109
2500,40960000,1.005022e+16,7.314780,7.292491,7.292491
2600,42598400,1.045223e+16,7.205496,7.223614,7.223614
2700,44236800,1.085424e+16,7.140044,7.164425,7.164425
2800,45875200,1.125625e+16,7.094987,7.082574,7.082574
2900,47513600,1.165826e+16,6.995300,7.071481,7.071481
3000,49152000,1.206027e+16,6.970870,6.984919,6.984919
3100,50790400,1.246228e+16,6.931427,6.934828,6.934828
3200,52428800,1.286429e+16,6.866707,6.879274,6.879274
3300,54067200,1.326629e+16,6.843770,6.864405,6.864405
3400,55705600,1.366830e+16,6.796877,6.812268,6.812268
3500,57344000,1.407031e+16,6.774876,6.784582,6.784582
3600,58982400,1.447232e+16,6.708822,6.741606,6.741606
3700,60620800,1.487433e+16,6.694753,6.713280,6.713280
3800,62259200,1.527634e+16,6.641273,6.665851,6.665851
3900,63897600,1.567835e+16,6.653113,6.634753,6.634753
4000,65536000,1.608036e+16,6.629540,6.597905,6.597905
4100,67174400,1.648237e+16,6.581860,6.585643,6.585643
4200,68812800,1.688438e+16,6.549705,6.555477,6.555477
4300,70451200,1.728638e+16,6.527983,6.544090,6.544090
4400,72089600,1.768839e+16,6.516111,6.504161,6.504161
4500,73728000,1.809040e+16,6.478330,6.476368,6.476368
4600,75366400,1.849241e+16,6.422379,6.450108,6.450108
4700,77004800,1.889442e+16,6.423112,6.430450,6.430450
4800,78643200,1.929643e+16,6.385012,6.396994,6.396994
4900,80281600,1.969844e+16,6.384158,6.366434,6.366434
5000,81920000,2.010045e+16,6.361271,6.347735,6.347735
5100,83558400,2.050246e+16,6.315783,6.330162,6.330162
5200,85196800,2.090446e+16,6.292085,6.313247,6.313247
5300,86835200,2.130647e+16,6.280900,6.285866,6.285866
5400,88473600,2.170848e+16,6.266771,6.260929,6.260929
5500,90112000,2.211049e+16,6.239554,6.252410,6.252410
