step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,1638400,1.391569e+14,244.356781,121.823339
200,3276800,2.783139e+14,80.076302,43.308074
300,4915200,4.174708e+14,43.831234,36.557229
400,6553600,5.566278e+14,34.855843,32.640296
500,8192000,6.957847e+14,30.587925,29.189763
600,9830400,8.349416e+14,27.278076,26.005338
700,11468800,9.740986e+14,24.276991,22.991303
800,13107200,1.113256e+15,21.178474,20.352657
900,14745600,1.252412e+15,18.964977,18.171654
1000,16384000,1.391569e+15,16.859335,16.197905
1100,18022400,1.530726e+15,15.144317,14.519520
1200,19660800,1.669883e+15,13.684937,13.234848
1300,21299200,1.809040e+15,12.496401,12.094903
1400,22937600,1.948197e+15,11.567956,11.113913
1500,24576000,2.087354e+15,10.665163,10.391050
1600,26214400,2.226511e+15,9.912764,9.809391
1700,27852800,2.365668e+15,9.474040,9.361470
1800,29491200,2.504825e+15,9.174244,8.990834
1900,31129600,2.643982e+15,8.833612,8.660265
2000,32768000,2.783139e+15,8.570524,8.468032
2100,34406400,2.922296e+15,8.166274,8.202252
2200,36044800,3.061453e+15,7.972356,8.006685
2300,37683200,3.200610e+15,7.825133,7.865255
2400,39321600,3.339767e+15,7.667513,7.701274
2500,40960000,3.478924e+15,7.628645,7.599701
2600,42598400,3.618080e+15,7.486965,7.509199
2700,44236800,3.757237e+15,7.405242,7.448667
2800,45875200,3.896394e+15,7.328468,7.363435
2900,47513600,4.035551e+15,7.250279,7.329931
3000,49152000,4.174708e+15,7.205357,7.257946
3100,50790400,4.313865e+15,7.146060,7.207715
3200,52428800,4.453022e+15,7.075972,7.168535
3300,54067200,4.592179e+15,7.088474,7.123697
3400,55705600,4.731336e+15,7.059686,7.097227
3500,57344000,4.870493e+15,6.996023,7.076834
3600,58982400,5.009650e+15,7.018164,7.044333
3700,60620800,5.148807e+15,6.925365,6.996245
3800,62259200,5.287964e+15,6.997289,6.986554
3900,63897600,5.427121e+15,6.912295,6.957879
4000,65536000,5.566278e+15,6.897635,6.916046
4100,67174400,5.705435e+15,6.857284,6.918111
4200,68812800,5.844591e+15,6.890666,6.905052
4300,70451200,5.983748e+15,6.855749,6.888654
4400,72089600,6.122905e+15,6.809407,6.851972
4500,73728000,6.262062e+15,6.786881,6.845779
4600,75366400,6.401219e+15,6.740205,6.825810
4700,77004800,6.540376e+15,6.696817,6.809793
4800,78643200,6.679533e+15,6.728544,6.778185
4900,80281600,6.818690e+15,6.743702,6.767690
5000,81920000,6.957847e+15,6.690053,6.764844
5100,83558400,7.097004e+15,6.710736,6.740309
5200,85196800,7.236161e+15,6.641249,6.718207
5300,86835200,7.375318e+15,6.668459,6.715553
5400,88473600,7.514475e+15,6.625649,6.722111
5500,90112000,7.653632e+15,6.647366,6.669919
5600,91750400,7.792789e+15,6.614616,6.674321
5700,93388800,7.931946e+15,6.622296,6.654721
5800,95027200,8.071103e+15,6.635499,6.621582
5900,96665600,8.210259e+15,6.636955,6.638995
6000,98304000,8.349416e+15,6.520967,6.612688
6100,99942400,8.488573e+15,6.533621,6.591003
6200,101580800,8.627730e+15,6.522772,6.584122
6300,103219200,8.766887e+15,6.530426,6.564829
6400,104857600,8.906044e+15,6.503158,6.562676
6500,106496000,9.045201e+15,6.526363,6.552843
6600,108134400,9.184358e+15,6.516859,6.558451
6700,109772800,9.323515e+15,6.489210,6.524515
6800,111411200,9.462672e+15,6.466165,6.517459
6900,113049600,9.601829e+15,6.452620,6.502107
7000,114688000,9.740986e+15,6.432045,6.495965
7100,116326400,9.880143e+15,6.410209,6.486853
7200,117964800,1.001930e+16,6.402757,6.450266
7300,119603200,1.015846e+16,6.385637,6.446979
7400,121241600,1.029761e+16,6.356879,6.457497
7500,122880000,1.043677e+16,6.359395,6.472802
7600,124518400,1.057593e+16,6.376335,6.438379
7700,126156800,1.071508e+16,6.352472,6.405405
7800,127795200,1.085424e+16,6.320840,6.391127
7900,129433600,1.099340e+16,6.376581,6.378937
8000,131072000,1.113256e+16,6.333593,6.375486
