step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,3.092376e+13,89.483688,60.674239,60.645514
200,3276800,6.184753e+13,49.763428,39.387133,39.233202
300,4915200,9.277129e+13,37.865902,35.054164,34.872160
400,6553600,1.236951e+14,33.537937,32.140104,31.942721
500,8192000,1.546188e+14,30.445244,29.452741,29.250595
600,9830400,1.855426e+14,27.899120,26.842257,26.634102
700,11468800,2.164664e+14,25.242306,24.280242,24.089039
800,13107200,2.473901e+14,22.888615,21.818735,21.647739
900,14745600,2.783139e+14,20.516581,19.576569,19.425874
1000,16384000,3.092376e+14,18.377729,17.693187,17.569262
1100,18022400,3.401614e+14,16.737997,16.103443,16.001764
1200,19660800,3.710852e+14,15.218974,14.734747,14.632030
1300,21299200,4.020089e+14,13.897499,13.575037,13.479374
1400,22937600,4.329327e+14,12.868813,12.562580,12.471129
1500,24576000,4.638565e+14,11.964423,11.773447,11.674586
1600,26214400,4.947802e+14,11.345802,11.154375,11.056395
1700,27852800,5.257040e+14,10.719257,10.629179,10.537044
1800,29491200,5.566278e+14,10.235684,10.189211,10.090798
1900,31129600,5.875515e+14,9.817104,9.841885,9.743000
2000,32768000,6.184753e+14,9.461323,9.495608,9.400673
2100,34406400,6.493991e+14,9.204898,9.247018,9.157126
2200,36044800,6.803228e+14,8.979518,9.031528,8.945548
2300,37683200,7.112466e+14,8.784410,8.853729,8.763877
2400,39321600,7.421703e+14,8.640066,8.687207,8.603853
2500,40960000,7.730941e+14,8.462438,8.572388,8.491864
2600,42598400,8.040179e+14,8.321060,8.425616,8.356206
2700,44236800,8.349416e+14,8.252565,8.341918,8.270235
2800,45875200,8.658654e+14,8.205462,8.250677,8.182727
2900,47513600,8.967892e+14,8.095073,8.208240,8.134629
3000,49152000,9.277129e+14,8.034410,8.131575,8.058860
3100,50790400,9.586367e+14,7.971323,8.062998,7.992103
3200,52428800,9.895605e+14,7.917375,8.020592,7.950797
3300,54067200,1.020484e+15,7.892566,8.009020,7.941301
3400,55705600,1.051408e+15,7.853807,7.955542,7.884230
3500,57344000,1.082332e+15,7.789065,7.909548,7.848480
3600,58982400,1.113256e+15,7.783510,7.871856,7.813805
3700,60620800,1.144179e+15,7.718568,7.862204,7.799535
3800,62259200,1.175103e+15,7.705163,7.815729,7.755333
3900,63897600,1.206027e+15,7.692256,7.777651,7.723362
4000,65536000,1.236951e+15,7.681464,7.759344,7.708848
4100,67174400,1.267874e+15,7.639050,7.720043,7.669954
4200,68812800,1.298798e+15,7.625440,7.702986,7.657809
4300,70451200,1.329722e+15,7.606521,7.706014,7.657571
4400,72089600,1.360646e+15,7.585478,7.687011,7.640553
4500,73728000,1.391569e+15,7.558179,7.671819,7.621197
4600,75366400,1.422493e+15,7.548234,7.648634,7.597287
4700,77004800,1.453417e+15,7.576931,7.623652,7.577390
4800,78643200,1.484341e+15,7.545290,7.623069,7.579786
4900,80281600,1.515264e+15,7.543200,7.601685,7.561315
5000,81920000,1.546188e+15,7.516768,7.595502,7.554773
5100,83558400,1.577112e+15,7.490228,7.573657,7.526983
5200,85196800,1.608036e+15,7.488179,7.572725,7.528339
5300,86835200,1.638960e+15,7.463608,7.552845,7.518790
5400,88473600,1.669883e+15,7.479208,7.537747,7.499342
5500,90112000,1.700807e+15,7.466462,7.525817,7.492789
5600,91750400,1.731731e+15,7.486851,7.528568,7.488605
5700,93388800,1.762655e+15,7.442597,7.514860,7.484247
5800,95027200,1.793578e+15,7.448422,7.520062,7.485165
5900,96665600,1.824502e+15,7.450474,7.506170,7.471905
6000,98304000,1.855426e+15,7.454867,7.493615,7.458390
6100,99942400,1.886350e+15,7.435680,7.488761,7.452840
6200,101580800,1.917273e+15,7.438701,7.482209,7.446267
6300,103219200,1.948197e+15,7.427223,7.467311,7.431634
6400,104857600,1.979121e+15,7.401533,7.466136,7.427399
6500,106496000,2.010045e+15,7.391976,7.468561,7.434055
6600,108134400,2.040968e+15,7.381262,7.443945,7.412932
6700,109772800,2.071892e+15,7.382488,7.458679,7.421493
6800,111411200,2.102816e+15,7.405726,7.440448,7.402905
6900,113049600,2.133740e+15,7.379229,7.437875,7.400761
7000,114688000,2.164664e+15,7.390330,7.434043,7.401582
7100,116326400,2.195587e+15,7.351393,7.432377,7.398850
7200,117964800,2.226511e+15,7.352007,7.423981,7.388637
7300,119603200,2.257435e+15,7.362496,7.413437,7.380878
7400,121241600,2.288359e+15,7.344789,7.414681,7.380423
7500,122880000,2.319282e+15,7.338443,7.433338,7.397379
7600,124518400,2.350206e+15,7.351967,7.423072,7.383771
7700,126156800,2.381130e+15,7.359600,7.403298,7.370502
7800,127795200,2.412054e+15,7.347804,7.404214,7.369516
7900,129433600,2.442977e+15,7.329895,7.388726,7.356111
8000,131072000,2.473901e+15,7.337928,7.396972,7.361561
8100,132710400,2.504825e+15,7.321068,7.386349,7.351591
8200,134348800,2.535749e+15,7.310143,7.388940,7.355252
8300,135987200,2.566672e+15,7.325196,7.379087,7.346514
8400,137625600,2.597596e+15,7.328056,7.373034,7.338031
8500,139264000,2.628520e+15,7.296358,7.366203,7.334816
8600,140902400,2.659444e+15,7.327282,7.360292,7.326349
8700,142540800,2.690368e+15,7.322048,7.365751,7.331339
8800,144179200,2.721291e+15,7.316032,7.368972,7.331256
8900,145817600,2.752215e+15,7.311387,7.360500,7.321046
9000,147456000,2.783139e+15,7.299345,7.354236,7.319307
9100,149094400,2.814063e+15,7.300451,7.354811,7.315480
9200,150732800,2.844986e+15,7.294832,7.340317,7.308193
9300,152371200,2.875910e+15,7.290791,7.346519,7.311380
9400,154009600,2.906834e+15,7.306852,7.332173,7.298393
9500,155648000,2.937758e+15,7.281370,7.333061,7.300087
9600,157286400,2.968681e+15,7.274762,7.325910,7.290666
9700,158924800,2.999605e+15,7.294350,7.323060,7.287634
9800,160563200,3.030529e+15,7.274193,7.327488,7.292120
9900,162201600,3.061453e+15,7.273612,7.333041,7.292843
10000,163840000,3.092376e+15,7.239614,7.320977,7.284362
10100,165478400,3.123300e+15,7.257293,7.313116,7.275939
10200,167116800,3.154224e+15,7.284256,7.316149,7.277484
10300,168755200,3.185148e+15,7.253638,7.309895,7.274431
10400,170393600,3.216072e+15,7.255742,7.299804,7.267284
10500,172032000,3.246995e+15,7.246332,7.309776,7.273144
10600,173670400,3.277919e+15,7.236677,7.302537,7.267543
10700,175308800,3.308843e+15,7.239186,7.296594,7.263804
10800,176947200,3.339767e+15,7.234752,7.280720,7.249311
10900,178585600,3.370690e+15,7.243571,7.283416,7.249718
11000,180224000,3.401614e+15,7.217095,7.293911,7.261150
11100,181862400,3.432538e+15,7.195657,7.274292,7.244537
11200,183500800,3.463462e+15,7.228216,7.284060,7.255095
11300,185139200,3.494385e+15,7.192210,7.280865,7.251867
11400,186777600,3.525309e+15,7.175972,7.273421,7.238878
11500,188416000,3.556233e+15,7.212013,7.265290,7.229606
11600,190054400,3.587157e+15,7.210043,7.261197,7.226392
