step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.859402e+14,10.777752,10.344756
100,13107200,3.718804e+14,10.261336,9.747679
150,19660800,5.578206e+14,9.787648,9.334500
200,26214400,7.437608e+14,9.334133,8.855143
250,32768000,9.297010e+14,8.840762,8.355771
300,39321600,1.115641e+15,8.368458,7.937039
350,45875200,1.301581e+15,7.997442,7.745204
400,52428800,1.487522e+15,7.804041,7.681993
450,58982400,1.673462e+15,7.688220,7.643464
500,65536000,1.859402e+15,7.634655,7.614700
550,72089600,2.045342e+15,7.605933,7.588789
600,78643200,2.231282e+15,7.577940,7.561039
650,85196800,2.417223e+15,7.553475,7.540336
700,91750400,2.603163e+15,7.518184,7.518760
750,98304000,2.789103e+15,7.497963,7.494524
800,104857600,2.975043e+15,7.485130,7.473712
850,111411200,3.160984e+15,7.458872,7.455204
900,117964800,3.346924e+15,7.422240,7.435216
950,124518400,3.532864e+15,7.411546,7.421793
1000,131072000,3.718804e+15,7.401220,7.403996
1050,137625600,3.904744e+15,7.385103,7.391666
1100,144179200,4.090685e+15,7.362343,7.372710
1150,150732800,4.276625e+15,7.362140,7.363237
1200,157286400,4.462565e+15,7.343591,7.343905
1250,163840000,4.648505e+15,7.322803,7.329156
1300,170393600,4.834445e+15,7.307222,7.311967
1350,176947200,5.020386e+15,7.298445,7.300484
1400,183500800,5.206326e+15,7.288021,7.286998
1450,190054400,5.392266e+15,7.275688,7.273587
1500,196608000,5.578206e+15,7.257364,7.261843
1550,203161600,5.764146e+15,7.231829,7.251304
1600,209715200,5.950087e+15,7.225230,7.236300
1650,216268800,6.136027e+15,7.221544,7.225444
1700,222822400,6.321967e+15,7.208743,7.216020
1750,229376000,6.507907e+15,7.206131,7.197500
1800,235929600,6.693847e+15,7.185827,7.188007
1850,242483200,6.879788e+15,7.172988,7.176802
1900,249036800,7.065728e+15,7.163327,7.167993
1950,255590400,7.251668e+15,7.151955,7.161870
2000,262144000,7.437608e+15,7.124180,7.142366
2050,268697600,7.623548e+15,7.125353,7.137669
2100,275251200,7.809489e+15,7.108878,7.119649
2150,281804800,7.995429e+15,7.100038,7.107411
2200,288358400,8.181369e+15,7.092315,7.096208
