step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.487522e+15,10.918358,10.745534
100,13107200,2.975043e+15,10.529323,9.961532
150,19660800,4.462565e+15,9.927209,9.356079
200,26214400,5.950087e+15,9.349764,8.790277
250,32768000,7.437608e+15,8.778450,8.238559
300,39321600,8.925130e+15,8.246692,7.809203
350,45875200,1.041265e+16,7.865841,7.606463
400,52428800,1.190017e+16,7.626236,7.474943
450,58982400,1.338769e+16,7.459319,7.339953
500,65536000,1.487522e+16,7.311250,7.204153
550,72089600,1.636274e+16,7.170139,7.078997
600,78643200,1.785026e+16,7.043047,6.970412
650,85196800,1.933778e+16,6.934528,6.877710
700,91750400,2.082530e+16,6.842185,6.796787
750,98304000,2.231282e+16,6.758402,6.721628
800,104857600,2.380035e+16,6.680298,6.654411
850,111411200,2.528787e+16,6.612476,6.593164
900,117964800,2.677539e+16,6.547100,6.536158
950,124518400,2.826291e+16,6.489091,6.479336
1000,131072000,2.975043e+16,6.440707,6.429240
1050,137625600,3.123795e+16,6.378126,6.383691
1100,144179200,3.272548e+16,6.335904,6.334014
1150,150732800,3.421300e+16,6.286420,6.289759
1200,157286400,3.570052e+16,6.238459,6.243501
1250,163840000,3.718804e+16,6.203815,6.201344
1300,170393600,3.867556e+16,6.160764,6.160016
1350,176947200,4.016308e+16,6.119318,6.123411
1400,183500800,4.165061e+16,6.083475,6.082901
1450,190054400,4.313813e+16,6.047231,6.047105
1500,196608000,4.462565e+16,6.015810,6.008967
1550,203161600,4.611317e+16,5.983521,5.975791
1600,209715200,4.760069e+16,5.941890,5.940881
1650,216268800,4.908821e+16,5.904374,5.904070
1700,222822400,5.057574e+16,5.873559,5.875281
1750,229376000,5.206326e+16,5.833914,5.843498
1800,235929600,5.355078e+16,5.810819,5.814742
1850,242483200,5.503830e+16,5.780314,5.780240
1900,249036800,5.652582e+16,5.751051,5.751612
1950,255590400,5.801334e+16,5.718261,5.722302
2000,262144000,5.950087e+16,5.693811,5.694400
2050,268697600,6.098839e+16,5.669615,5.669627
2100,275251200,6.247591e+16,5.639379,5.641884
2150,281804800,6.396343e+16,5.610210,5.614644
2200,288358400,6.545095e+16,5.584231,5.589949
2250,294912000,6.693847e+16,5.549652,5.566639
2300,301465600,6.842600e+16,5.538067,5.540685
2350,308019200,6.991352e+16,5.510364,5.520851
2400,314572800,7.140104e+16,5.496817,5.498169
2450,321126400,7.288856e+16,5.471515,5.477064
2500,327680000,7.437608e+16,5.451970,5.456881
2550,334233600,7.586360e+16,5.429879,5.438054
2600,340787200,7.735113e+16,5.407826,5.417920
2650,347340800,7.883865e+16,5.389368,5.400692
2700,353894400,8.032617e+16,5.371119,5.382264
