step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,1.487522e+15,10.939164,10.771584
100,13107200,2.975043e+15,10.548329,9.975430
150,19660800,4.462565e+15,9.938926,9.356595
200,26214400,5.950087e+15,9.349570,8.788043
250,32768000,7.437608e+15,8.774318,8.233025
300,39321600,8.925130e+15,8.239299,7.806653
350,45875200,1.041265e+16,7.865306,7.602431
400,52428800,1.190017e+16,7.621137,7.466418
450,58982400,1.338769e+16,7.447492,7.328833
500,65536000,1.487522e+16,7.298796,7.191382
550,72089600,1.636274e+16,7.153632,7.069436
600,78643200,1.785026e+16,7.036285,6.967504
650,85196800,1.933778e+16,6.938212,6.874274
700,91750400,2.082530e+16,6.835101,6.793110
750,98304000,2.231282e+16,6.754032,6.723908
800,104857600,2.380035e+16,6.679920,6.654438
850,111411200,2.528787e+16,6.608625,6.591937
900,117964800,2.677539e+16,6.546989,6.535819
950,124518400,2.826291e+16,6.487573,6.479508
1000,131072000,2.975043e+16,6.432251,6.429052
1050,137625600,3.123795e+16,6.388814,6.381833
1100,144179200,3.272548e+16,6.341833,6.333007
1150,150732800,3.421300e+16,6.290300,6.288179
1200,157286400,3.570052e+16,6.246941,6.248314
1250,163840000,3.718804e+16,6.202857,6.204285
1300,170393600,3.867556e+16,6.164893,6.165125
1350,176947200,4.016308e+16,6.124854,6.126238
1400,183500800,4.165061e+16,6.092701,6.090971
1450,190054400,4.313813e+16,6.055058,6.054499
1500,196608000,4.462565e+16,6.016784,6.016969
1550,203161600,4.611317e+16,5.986255,5.981937
1600,209715200,4.760069e+16,5.946825,5.945610
1650,216268800,4.908821e+16,5.907952,5.911139
1700,222822400,5.057574e+16,5.878975,5.880152
1750,229376000,5.206326e+16,5.852289,5.846725
1800,235929600,5.355078e+16,5.817448,5.815962
1850,242483200,5.503830e+16,5.782037,5.784951
1900,249036800,5.652582e+16,5.755772,5.755369
1950,255590400,5.801334e+16,5.727778,5.727004
2000,262144000,5.950087e+16,5.693737,5.699021
2050,268697600,6.098839e+16,5.661767,5.670048
2100,275251200,6.247591e+16,5.638359,5.646467
2150,281804800,6.396343e+16,5.612205,5.617886
2200,288358400,6.545095e+16,5.592318,5.594318
2250,294912000,6.693847e+16,5.556284,5.570710
2300,301465600,6.842600e+16,5.539600,5.547524
2350,308019200,6.991352e+16,5.509559,5.523733
2400,314572800,7.140104e+16,5.488608,5.501645
2450,321126400,7.288856e+16,5.466360,5.480609
2500,327680000,7.437608e+16,5.445290,5.460170
2550,334233600,7.586360e+16,5.433165,5.441932
2600,340787200,7.735113e+16,5.416279,5.423683
2650,347340800,7.883865e+16,5.393641,5.405909
2700,353894400,8.032617e+16,5.373545,5.388283
2750,360448000,8.181369e+16,5.361964,5.368515
2800,367001600,8.330121e+16,5.333646,5.352271
2850,373555200,8.478873e+16,5.325230,5.335174
2900,380108800,8.627626e+16,5.307564,5.321813
2950,386662400,8.776378e+16,5.289429,5.302630
3000,393216000,8.925130e+16,5.274764,5.285981
3050,399769600,9.073882e+16,5.253194,5.272093
3100,406323200,9.222634e+16,5.244044,5.257886
3150,412876800,9.371386e+16,5.224572,5.242333
3200,419430400,9.520139e+16,5.209191,5.227386
3250,425984000,9.668891e+16,5.190916,5.213430
3300,432537600,9.817643e+16,5.188228,5.200401
3350,439091200,9.966395e+16,5.168434,5.187003
3400,445644800,1.011515e+17,5.159622,5.172185
3450,452198400,1.026390e+17,5.137257,5.159463
3500,458752000,1.041265e+17,5.126566,5.146616
3550,465305600,1.056140e+17,5.117739,5.133597
3600,471859200,1.071016e+17,5.102164,5.119665
3650,478412800,1.085891e+17,5.093019,5.109988
