step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,3.060298e+15,10.861707,10.512367
100,13107200,6.120595e+15,10.188642,9.390490
150,19660800,9.180893e+15,9.398592,8.660083
200,26214400,1.224119e+16,8.659730,7.974024
250,32768000,1.530149e+16,8.056820,7.610924
300,39321600,1.836179e+16,7.676504,7.416196
350,45875200,2.142208e+16,7.417977,7.230874
400,52428800,2.448238e+16,7.204514,7.061280
450,58982400,2.754268e+16,7.036039,6.917618
500,65536000,3.060298e+16,6.894015,6.800449
550,72089600,3.366327e+16,6.770010,6.700482
600,78643200,3.672357e+16,6.662043,6.609135
650,85196800,3.978387e+16,6.571424,6.528673
700,91750400,4.284417e+16,6.491007,6.454810
750,98304000,4.590446e+16,6.415920,6.386354
800,104857600,4.896476e+16,6.343153,6.319354
850,111411200,5.202506e+16,6.277922,6.263565
900,117964800,5.508536e+16,6.215931,6.200734
950,124518400,5.814565e+16,6.157088,6.144177
1000,131072000,6.120595e+16,6.108699,6.088513
1050,137625600,6.426625e+16,6.041620,6.031775
1100,144179200,6.732655e+16,5.995341,5.982934
1150,150732800,7.038684e+16,5.941080,5.931206
1200,157286400,7.344714e+16,5.889045,5.884187
1250,163840000,7.650744e+16,5.849776,5.836476
1300,170393600,7.956774e+16,5.801507,5.791321
1350,176947200,8.262803e+16,5.755030,5.748668
1400,183500800,8.568833e+16,5.713387,5.704174
1450,190054400,8.874863e+16,5.671527,5.660277
1500,196608000,9.180893e+16,5.636288,5.620860
1550,203161600,9.486922e+16,5.598990,5.582784
1600,209715200,9.792952e+16,5.554143,5.546720
1650,216268800,1.009898e+17,5.514186,5.506665
1700,222822400,1.040501e+17,5.479857,5.473683
1750,229376000,1.071104e+17,5.437502,5.438674
1800,235929600,1.101707e+17,5.412264,5.404879
1850,242483200,1.132310e+17,5.379260,5.374180
1900,249036800,1.162913e+17,5.347522,5.339292
1950,255590400,1.193516e+17,5.312608,5.306906
2000,262144000,1.224119e+17,5.286224,5.276078
2050,268697600,1.254722e+17,5.258285,5.246676
2100,275251200,1.285325e+17,5.224307,5.217997
2150,281804800,1.315928e+17,5.192478,5.188662
2200,288358400,1.346531e+17,5.161471,5.158892
2250,294912000,1.377134e+17,5.123827,5.130620
2300,301465600,1.407737e+17,5.107503,5.102602
2350,308019200,1.438340e+17,5.077116,5.077563
2400,314572800,1.468943e+17,5.058795,5.051416
2450,321126400,1.499546e+17,5.029961,5.026425
2500,327680000,1.530149e+17,5.006226,5.002905
2550,334233600,1.560752e+17,4.980614,4.980147
2600,340787200,1.591355e+17,4.954289,4.955970
2650,347340800,1.621958e+17,4.933528,4.933975
2700,353894400,1.652561e+17,4.911424,4.912180
2750,360448000,1.683164e+17,4.889588,4.891105
2800,367001600,1.713767e+17,4.873175,4.871785
2850,373555200,1.744370e+17,4.846001,4.852048
