step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,7.437608e+14,10.868673,10.549702
100,13107200,1.487522e+15,10.356270,9.774990
150,19660800,2.231282e+15,9.782024,9.243580
200,26214400,2.975043e+15,9.229843,8.699414
250,32768000,3.718804e+15,8.689199,8.189057
300,39321600,4.462565e+15,8.216356,7.857459
350,45875200,5.206326e+15,7.924018,7.732998
400,52428800,5.950087e+15,7.767861,7.677566
450,58982400,6.693847e+15,7.689832,7.629061
500,65536000,7.437608e+15,7.642028,7.578407
550,72089600,8.181369e+15,7.597073,7.528096
600,78643200,8.925130e+15,7.563406,7.481852
650,85196800,9.668891e+15,7.536143,7.434172
700,91750400,1.041265e+16,7.498474,7.398106
750,98304000,1.115641e+16,7.472996,7.358391
800,104857600,1.190017e+16,7.449853,7.328224
850,111411200,1.264393e+16,7.423086,7.286865
900,117964800,1.338769e+16,7.400528,7.256210
950,124518400,1.413146e+16,7.377422,7.220555
1000,131072000,1.487522e+16,7.355890,7.191059
1050,137625600,1.561898e+16,7.338126,7.153879
1100,144179200,1.636274e+16,7.318753,7.123427
1150,150732800,1.710650e+16,7.293411,7.094738
1200,157286400,1.785026e+16,7.271557,7.062790
1250,163840000,1.859402e+16,7.251823,7.035486
1300,170393600,1.933778e+16,7.234823,7.009153
1350,176947200,2.008154e+16,7.217989,6.984793
1400,183500800,2.082530e+16,7.201732,6.961908
1450,190054400,2.156906e+16,7.185578,6.930614
1500,196608000,2.231282e+16,7.165837,6.911329
1550,203161600,2.305659e+16,7.150043,6.885196
1600,209715200,2.380035e+16,7.131505,6.867184
1650,216268800,2.454411e+16,7.112251,6.840819
1700,222822400,2.528787e+16,7.099967,6.826451
1750,229376000,2.603163e+16,7.087418,6.789155
1800,235929600,2.677539e+16,7.069564,6.779978
1850,242483200,2.751915e+16,7.051970,6.755715
1900,249036800,2.826291e+16,7.037281,6.736006
1950,255590400,2.900667e+16,7.025968,6.723375
2000,262144000,2.975043e+16,7.009770,6.703513
2050,268697600,3.049419e+16,6.995157,6.685308
2100,275251200,3.123795e+16,6.981568,6.663812
2150,281804800,3.198172e+16,6.967769,6.645816
