step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,3.718804e+14,10.885283,10.465381
100,13107200,7.437608e+14,10.315926,9.732368
150,19660800,1.115641e+15,9.757750,9.245007
200,26214400,1.487522e+15,9.230415,8.725043
250,32768000,1.859402e+15,8.708594,8.222280
300,39321600,2.231282e+15,8.237717,7.872499
350,45875200,2.603163e+15,7.934096,7.741372
400,52428800,2.975043e+15,7.771097,7.690776
450,58982400,3.346924e+15,7.691730,7.654979
500,65536000,3.718804e+15,7.647626,7.621149
550,72089600,4.090685e+15,7.610370,7.591232
600,78643200,4.462565e+15,7.585261,7.563437
650,85196800,4.834445e+15,7.565872,7.531812
700,91750400,5.206326e+15,7.534854,7.505367
750,98304000,5.578206e+15,7.516205,7.483723
800,104857600,5.950087e+15,7.498721,7.463255
850,111411200,6.321967e+15,7.478623,7.436167
900,117964800,6.693847e+15,7.460657,7.417591
950,124518400,7.065728e+15,7.443067,7.396404
1000,131072000,7.437608e+15,7.427568,7.374371
1050,137625600,7.809489e+15,7.414353,7.352193
1100,144179200,8.181369e+15,7.400729,7.333175
1150,150732800,8.553250e+15,7.380802,7.312924
1200,157286400,8.925130e+15,7.363461,7.297408
1250,163840000,9.297010e+15,7.349396,7.277921
1300,170393600,9.668891e+15,7.336601,7.263399
1350,176947200,1.004077e+16,7.325551,7.241833
1400,183500800,1.041265e+16,7.313409,7.228185
1450,190054400,1.078453e+16,7.301873,7.213962
1500,196608000,1.115641e+16,7.285816,7.195521
1550,203161600,1.152829e+16,7.274550,7.181888
1600,209715200,1.190017e+16,7.260044,7.165772
1650,216268800,1.227205e+16,7.244367,7.153404
1700,222822400,1.264393e+16,7.235129,7.135585
1750,229376000,1.301581e+16,7.225672,7.123277
1800,235929600,1.338769e+16,7.212951,7.106103
1850,242483200,1.375958e+16,7.199961,7.099692
1900,249036800,1.413146e+16,7.188797,7.078495
1950,255590400,1.450334e+16,7.180449,7.075552
2000,262144000,1.487522e+16,7.169110,7.057871
2050,268697600,1.524710e+16,7.158063,7.044101
2100,275251200,1.561898e+16,7.147537,7.030125
2150,281804800,1.599086e+16,7.138697,7.018743
2200,288358400,1.636274e+16,7.132155,7.007269
2250,294912000,1.673462e+16,7.112909,6.994601
2300,301465600,1.710650e+16,7.111064,6.983117
2350,308019200,1.747838e+16,7.093584,6.973240
2400,314572800,1.785026e+16,7.087527,6.962224
2450,321126400,1.822214e+16,7.077702,6.950009
2500,327680000,1.859402e+16,7.071616,6.940068
2550,334233600,1.896590e+16,7.065503,6.929600
2600,340787200,1.933778e+16,7.058042,6.921576
2650,347340800,1.970966e+16,7.048959,6.917142
2700,353894400,2.008154e+16,7.041258,6.903124
2750,360448000,2.045342e+16,7.035977,6.894440
2800,367001600,2.082530e+16,7.021947,6.885659
2850,373555200,2.119718e+16,7.019567,6.876001
2900,380108800,2.156906e+16,7.013228,6.865274
2950,386662400,2.194094e+16,7.003795,6.863444
3000,393216000,2.231282e+16,6.995996,6.852290
3050,399769600,2.268471e+16,6.987646,6.843877
3100,406323200,2.305659e+16,6.981292,6.835046
3150,412876800,2.342847e+16,6.971248,6.827313
3200,419430400,2.380035e+16,6.964674,6.821744
3250,425984000,2.417223e+16,6.956213,6.812477
3300,432537600,2.454411e+16,6.958874,6.803789
3350,439091200,2.491599e+16,6.950090,6.797746
3400,445644800,2.528787e+16,6.943886,6.790409
3450,452198400,2.565975e+16,6.927897,6.783289
3500,458752000,2.603163e+16,6.925597,6.776510
3550,465305600,2.640351e+16,6.922449,6.766526
3600,471859200,2.677539e+16,6.914966,6.759879
3650,478412800,2.714727e+16,6.904824,6.755318
3700,484966400,2.751915e+16,6.898700,6.747140
3750,491520000,2.789103e+16,6.893991,6.736878
3800,498073600,2.826291e+16,6.887906,6.727873
3850,504627200,2.863479e+16,6.887224,6.727121
3900,511180800,2.900667e+16,6.879490,6.721260
3950,517734400,2.937855e+16,6.876540,6.710758
4000,524288000,2.975043e+16,6.867767,6.706294
4050,530841600,3.012231e+16,6.865003,6.701040
4100,537395200,3.049419e+16,6.856735,6.691704
4150,543948800,3.086607e+16,6.846581,6.684104
4200,550502400,3.123795e+16,6.840419,6.680681
4250,557056000,3.160984e+16,6.834108,6.672414
4300,563609600,3.198172e+16,6.828008,6.665365
4350,570163200,3.235360e+16,6.826237,6.660005
4400,576716800,3.272548e+16,6.819981,6.654782
4450,583270400,3.309736e+16,6.812509,6.644041
4500,589824000,3.346924e+16,6.805847,6.641306
4550,596377600,3.384112e+16,6.800345,6.635801
4600,602931200,3.421300e+16,6.796788,6.630734
4650,609484800,3.458488e+16,6.795652,6.619503
4700,616038400,3.495676e+16,6.788136,6.616247
4750,622592000,3.532864e+16,6.784367,6.611052
4800,629145600,3.570052e+16,6.777220,6.600134
4850,635699200,3.607240e+16,6.776591,6.598151
4900,642252800,3.644428e+16,6.769822,6.594172
4950,648806400,3.681616e+16,6.769975,6.586409
5000,655360000,3.718804e+16,6.756227,6.583532
5050,661913600,3.755992e+16,6.755328,6.574637
5100,668467200,3.793180e+16,6.748573,6.568406
5150,675020800,3.830368e+16,6.739612,6.568913
5200,681574400,3.867556e+16,6.733947,6.560592
5250,688128000,3.904744e+16,6.732324,6.552317
5300,694681600,3.941932e+16,6.729683,6.546120
5350,701235200,3.979120e+16,6.725506,6.541528
5400,707788800,4.016308e+16,6.718622,6.535604
5450,714342400,4.053497e+16,6.712987,6.527481
5500,720896000,4.090685e+16,6.707984,6.525212
5550,727449600,4.127873e+16,6.703319,6.526224
5600,734003200,4.165061e+16,6.700069,6.517106
5650,740556800,4.202249e+16,6.692777,6.509168
5700,747110400,4.239437e+16,6.689688,6.502704
5750,753664000,4.276625e+16,6.682410,6.499568
5800,760217600,4.313813e+16,6.680550,6.492181
5850,766771200,4.351001e+16,6.671880,6.487498
5900,773324800,4.388189e+16,6.668056,6.483991
5950,779878400,4.425377e+16,6.664811,6.474332
6000,786432000,4.462565e+16,6.659408,6.473839
6050,792985600,4.499753e+16,6.656927,6.471225
6100,799539200,4.536941e+16,6.649948,6.465260
6150,806092800,4.574129e+16,6.641998,6.458581
6200,812646400,4.611317e+16,6.639280,6.454057
6250,819200000,4.648505e+16,6.632638,6.447125
6300,825753600,4.685693e+16,6.631964,6.443743
6350,832307200,4.722881e+16,6.622524,6.435759
6400,838860800,4.760069e+16,6.617816,6.431982
6450,845414400,4.797257e+16,6.616096,6.430462
6500,851968000,4.834445e+16,6.610658,6.423691
6550,858521600,4.871633e+16,6.604893,6.419711
6600,865075200,4.908821e+16,6.603142,6.414858
6650,871628800,4.946010e+16,6.602184,6.408690
6700,878182400,4.983198e+16,6.599297,6.406138
6750,884736000,5.020386e+16,6.590243,6.403000
6800,891289600,5.057574e+16,6.588892,6.399517
6850,897843200,5.094762e+16,6.580010,6.392310
6900,904396800,5.131950e+16,6.579358,6.383223
6950,910950400,5.169138e+16,6.574397,6.384130
7000,917504000,5.206326e+16,6.570444,6.381603
7050,924057600,5.243514e+16,6.568785,6.378332
7100,930611200,5.280702e+16,6.562076,6.370688
7150,937164800,5.317890e+16,6.558811,6.365203
7200,943718400,5.355078e+16,6.558284,6.357364
7250,950272000,5.392266e+16,6.553576,6.361504
7300,956825600,5.429454e+16,6.541553,6.352640
7350,963379200,5.466642e+16,6.542183,6.353534
7400,969932800,5.503830e+16,6.537950,6.345069
