step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,19660800,2.975043e+15,10.900105,10.659164
100,39321600,5.950087e+15,10.451389,9.869973
150,58982400,8.925130e+15,9.866180,9.295401
200,78643200,1.190017e+16,9.293841,8.722420
250,98304000,1.487522e+16,8.723607,8.169308
300,117964800,1.785026e+16,8.206135,7.761981
350,137625600,2.082530e+16,7.846312,7.576062
400,157286400,2.380035e+16,7.627195,7.450647
450,176947200,2.677539e+16,7.466792,7.326262
500,196608000,2.975043e+16,7.335263,7.207744
550,216268800,3.272548e+16,7.217095,7.104005
600,235929600,3.570052e+16,7.108448,7.016584
650,255590400,3.867556e+16,7.020794,6.938579
700,275251200,4.165061e+16,6.937714,6.871272
750,294912000,4.462565e+16,6.875066,6.806525
800,314572800,4.760069e+16,6.811486,6.753573
850,334233600,5.057574e+16,6.750966,6.696719
900,353894400,5.355078e+16,6.697104,6.646340
950,373555200,5.652582e+16,6.648970,6.600006
1000,393216000,5.950087e+16,6.602698,6.556743
1050,412876800,6.247591e+16,6.564563,6.514756
1100,432537600,6.545095e+16,6.524213,6.475558
1150,452198400,6.842600e+16,6.478902,6.434851
1200,471859200,7.140104e+16,6.436593,6.398687
1250,491520000,7.437608e+16,6.400896,6.359416
1300,511180800,7.735113e+16,6.364506,6.321066
1350,530841600,8.032617e+16,6.327435,6.289409
1400,550502400,8.330121e+16,6.290786,6.251590
1450,570163200,8.627626e+16,6.263950,6.219456
1500,589824000,8.925130e+16,6.230428,6.185313
1550,609484800,9.222634e+16,6.194378,6.151799
1600,629145600,9.520139e+16,6.163272,6.126503
1650,648806400,9.817643e+16,6.135711,6.097456
1700,668467200,1.011515e+17,6.104986,6.063560
1750,688128000,1.041265e+17,6.074475,6.035486
1800,707788800,1.071016e+17,6.046163,6.009128
1850,727449600,1.100766e+17,6.015924,5.983307
1900,747110400,1.130516e+17,5.992128,5.958156
1950,766771200,1.160267e+17,5.962345,5.930494
2000,786432000,1.190017e+17,5.938212,5.903648
2050,806092800,1.219768e+17,5.913376,5.880440
2100,825753600,1.249518e+17,5.889497,5.855953
2150,845414400,1.279269e+17,5.868772,5.831734
2200,865075200,1.309019e+17,5.842826,5.807289
2250,884736000,1.338769e+17,5.819223,5.785295
2300,904396800,1.368520e+17,5.800673,5.764834
2350,924057600,1.398270e+17,5.776404,5.743329
2400,943718400,1.428021e+17,5.751306,5.724373
2450,963379200,1.457771e+17,5.729444,5.709053
2500,983040000,1.487522e+17,5.717835,5.688568
2550,1002700800,1.517272e+17,5.698763,5.667264
2600,1022361600,1.547023e+17,5.684802,5.649902
2650,1042022400,1.576773e+17,5.664620,5.633082
2700,1061683200,1.606523e+17,5.645701,5.616411
2750,1081344000,1.636274e+17,5.626352,5.599958
2800,1101004800,1.666024e+17,5.614305,5.583782
2850,1120665600,1.695775e+17,5.598380,5.568826
2900,1140326400,1.725525e+17,5.581184,5.552717
2950,1159987200,1.755276e+17,5.566845,5.538481
3000,1179648000,1.785026e+17,5.551472,5.523797
3050,1199308800,1.814776e+17,5.534597,5.509581
3100,1218969600,1.844527e+17,5.518424,5.496217
3150,1238630400,1.874277e+17,5.507644,5.485189
3200,1258291200,1.904028e+17,5.494678,5.469574
3250,1277952000,1.933778e+17,5.479726,5.457296
3300,1297612800,1.963529e+17,5.464467,5.443406
3350,1317273600,1.993279e+17,5.457538,5.431810
3400,1336934400,2.023029e+17,5.441342,5.420060
3450,1356595200,2.052780e+17,5.429398,5.408923
3500,1376256000,2.082530e+17,5.418930,5.396786
3550,1395916800,2.112281e+17,5.410189,5.384812
3600,1415577600,2.142031e+17,5.395620,5.373909
3650,1435238400,2.171782e+17,5.388462,5.363665
3700,1454899200,2.201532e+17,5.380647,5.355896
3750,1474560000,2.231282e+17,5.369666,5.343437
3800,1494220800,2.261033e+17,5.356512,5.332534
3850,1513881600,2.290783e+17,5.339909,5.322515
3900,1533542400,2.320534e+17,5.330449,5.312814
3950,1553203200,2.350284e+17,5.324777,5.302476
4000,1572864000,2.380035e+17,5.318532,5.293560
4050,1592524800,2.409785e+17,5.308307,5.284439
4100,1612185600,2.439536e+17,5.299592,5.274638
4150,1631846400,2.469286e+17,5.292976,5.265522
4200,1651507200,2.499036e+17,5.284017,5.257492
4250,1671168000,2.528787e+17,5.271488,5.249411
4300,1690828800,2.558537e+17,5.260144,5.240780
4350,1710489600,2.588288e+17,5.246888,5.233147
4400,1730150400,2.618038e+17,5.248499,5.224984
4450,1749811200,2.647789e+17,5.237814,5.218072
4500,1769472000,2.677539e+17,5.227955,5.208855
4550,1789132800,2.707289e+17,5.223780,5.203299
4600,1808793600,2.737040e+17,5.219670,5.196066
4650,1828454400,2.766790e+17,5.211915,5.189155
4700,1848115200,2.796541e+17,5.206050,5.182180
4750,1867776000,2.826291e+17,5.196835,5.175325
4800,1887436800,2.856042e+17,5.186535,5.168520
4850,1907097600,2.885792e+17,5.178537,5.162041
4900,1926758400,2.915542e+17,5.169600,5.156832
4950,1946419200,2.945293e+17,5.163382,5.149841
5000,1966080000,2.975043e+17,5.158257,5.144106
5050,1985740800,3.004794e+17,5.154599,5.138007
5100,2005401600,3.034544e+17,5.146664,5.132683
5150,2025062400,3.064295e+17,5.145107,5.127095
5200,2044723200,3.094045e+17,5.136113,5.122253
5250,2064384000,3.123795e+17,5.131168,5.117013
5300,2084044800,3.153546e+17,5.123233,5.112006
5350,2103705600,3.183296e+17,5.119106,5.107841
5400,2123366400,3.213047e+17,5.117058,5.102306
5450,2143027200,3.242797e+17,5.113981,5.099020
5500,2162688000,3.272548e+17,5.108662,5.094543
5550,2182348800,3.302298e+17,5.103804,5.090058
5600,2202009600,3.332049e+17,5.101210,5.086202
5650,2221670400,3.361799e+17,5.097952,5.082401
5700,2241331200,3.391549e+17,5.089339,5.078717
5750,2260992000,3.421300e+17,5.086541,5.074512
5800,2280652800,3.451050e+17,5.076411,5.071611
5850,2300313600,3.480801e+17,5.082466,5.068003
5900,2319974400,3.510551e+17,5.073815,5.064506
5950,2339635200,3.540302e+17,5.068853,5.061779
6000,2359296000,3.570052e+17,5.069228,5.058400
6050,2378956800,3.599802e+17,5.064820,5.055527
6100,2398617600,3.629553e+17,5.063420,5.052671
6150,2418278400,3.659303e+17,5.060778,5.050335
6200,2437939200,3.689054e+17,5.062329,5.047775
6250,2457600000,3.718804e+17,5.054497,5.045394
6300,2477260800,3.748555e+17,5.047612,5.043377
6350,2496921600,3.778305e+17,5.048399,5.041084
6400,2516582400,3.808055e+17,5.047412,5.039281
6450,2536243200,3.837806e+17,5.042943,5.037196
6500,2555904000,3.867556e+17,5.041714,5.035338
6550,2575564800,3.897307e+17,5.047800,5.033628
6600,2595225600,3.927057e+17,5.043247,5.032512
6650,2614886400,3.956808e+17,5.033155,5.030552
6700,2634547200,3.986558e+17,5.034674,5.029348
6750,2654208000,4.016308e+17,5.039585,5.027983
6800,2673868800,4.046059e+17,5.027060,5.026934
6850,2693529600,4.075809e+17,5.029858,5.025843
6900,2713190400,4.105560e+17,5.029706,5.025105
6950,2732851200,4.135310e+17,5.024046,5.024045
7000,2752512000,4.165061e+17,5.026448,5.023242
7050,2772172800,4.194811e+17,5.018872,5.022312
7100,2791833600,4.224562e+17,5.023680,5.021749
7150,2811494400,4.254312e+17,5.018596,5.021064
7200,2831155200,4.284062e+17,5.022875,5.020702
7250,2850816000,4.313813e+17,5.024132,5.020195
7300,2870476800,4.343563e+17,5.019365,5.019870
7350,2890137600,4.373314e+17,5.018867,5.019572
7400,2909798400,4.403064e+17,5.020010,5.019290
7450,2929459200,4.432815e+17,5.016508,5.019095
7500,2949120000,4.462565e+17,5.012807,5.018927
7550,2968780800,4.492315e+17,5.007397,5.018831
7600,2988441600,4.522066e+17,5.014892,5.018749
7650,3008102400,4.551816e+17,5.014686,5.018701
7700,3027763200,4.581567e+17,5.017760,5.018675
7750,3047424000,4.611317e+17,5.010822,5.018671
7767,3054108672,4.621432e+17,5.010144,5.023095
