step,tokens_seen,cumulative_flops,train_loss,eval_loss
50,6553600,2.975043e+15,10.956172,10.846644
100,13107200,5.950087e+15,10.647160,10.065203
150,19660800,8.925130e+15,9.958972,9.286909
200,26214400,1.190017e+16,9.295078,8.667791
250,32768000,1.487522e+16,8.665375,8.085291
300,39321600,1.785026e+16,8.125940,7.706881
350,45875200,2.082530e+16,7.755777,7.499464
400,52428800,2.380035e+16,7.505585,7.342963
450,58982400,2.677539e+16,7.326009,7.193363
500,65536000,2.975043e+16,7.165652,7.050196
550,72089600,3.272548e+16,7.019143,6.921604
600,78643200,3.570052e+16,6.889088,6.812680
650,85196800,3.867556e+16,6.782626,6.724273
700,91750400,4.165061e+16,6.693675,6.650601
750,98304000,4.462565e+16,6.614646,6.588295
800,104857600,4.760069e+16,6.546922,6.532422
850,111411200,5.057574e+16,6.491759,6.485583
900,117964800,5.355078e+16,6.438571,6.437550
950,124518400,5.652582e+16,6.392994,6.393340
1000,131072000,5.950087e+16,6.355932,6.352684
1050,137625600,6.247591e+16,6.303550,6.313988
1100,144179200,6.545095e+16,6.268119,6.273219
1150,150732800,6.842600e+16,6.227911,6.234131
1200,157286400,7.140104e+16,6.186159,6.199852
1250,163840000,7.437608e+16,6.157771,6.160812
1300,170393600,7.735113e+16,6.119838,6.126289
1350,176947200,8.032617e+16,6.081553,6.089994
1400,183500800,8.330121e+16,6.051288,6.057438
1450,190054400,8.627626e+16,6.019664,6.025506
1500,196608000,8.925130e+16,5.992981,5.995894
1550,203161600,9.222634e+16,5.966330,5.968178
1600,209715200,9.520139e+16,5.930495,5.935294
1650,216268800,9.817643e+16,5.900312,5.908704
1700,222822400,1.011515e+17,5.875652,5.882700
1750,229376000,1.041265e+17,5.843724,5.859658
1800,235929600,1.071016e+17,5.827125,5.834630
1850,242483200,1.100766e+17,5.803089,5.810907
1900,249036800,1.130516e+17,5.779781,5.788305
1950,255590400,1.160267e+17,5.756569,5.766655
2000,262144000,1.190017e+17,5.737028,5.745168
2050,268697600,1.219768e+17,5.718202,5.725469
2100,275251200,1.249518e+17,5.695756,5.707702
2150,281804800,1.279269e+17,5.676009,5.687473
2200,288358400,1.309019e+17,5.656003,5.671178
2250,294912000,1.338769e+17,5.630434,5.654406
2300,301465600,1.368520e+17,5.621495,5.636883
2350,308019200,1.398270e+17,5.600887,5.619536
2400,314572800,1.428021e+17,5.591932,5.603825
2450,321126400,1.457771e+17,5.573901,5.588605
2500,327680000,1.487522e+17,5.561285,5.575473
2550,334233600,1.517272e+17,5.546140,5.559345
2600,340787200,1.547023e+17,5.529524,5.547779
2650,347340800,1.576773e+17,5.515256,5.531441
2700,353894400,1.606523e+17,5.502748,5.518717
2750,360448000,1.636274e+17,5.488312,5.506541
2800,367001600,1.666024e+17,5.480944,5.494544
2850,373555200,1.695775e+17,5.461756,5.481421
2900,380108800,1.725525e+17,5.451083,5.467438
2950,386662400,1.755276e+17,5.438855,5.455629
3000,393216000,1.785026e+17,5.433234,5.444181
3050,399769600,1.814776e+17,5.416215,5.433724
3100,406323200,1.844527e+17,5.410660,5.421679
3150,412876800,1.874277e+17,5.397106,5.412449
3200,419430400,1.904028e+17,5.388587,5.402672
3250,425984000,1.933778e+17,5.377210,5.392301
3300,432537600,1.963529e+17,5.371851,5.381423
