step,tokens_seen,cumulative_flops,train_loss,eval_loss
100,13107200,1.949131e+16,10.022581,9.120155
200,26214400,3.898263e+16,8.366332,7.652698
300,39321600,5.847394e+16,7.419584,7.115439
400,52428800,7.796525e+16,6.933784,6.764695
500,65536000,9.745657e+16,6.662347,6.549340
600,78643200,1.169479e+17,6.465741,6.408591
700,91750400,1.364392e+17,6.345185,6.290973
800,104857600,1.559305e+17,6.232514,6.193213
900,117964800,1.754218e+17,6.134369,6.102030
1000,131072000,1.949131e+17,6.049919,6.018305
1100,144179200,2.144044e+17,6.001029,5.967173
1200,157286400,2.338958e+17,5.922279,5.897730
1300,170393600,2.533871e+17,5.880476,5.854238
1400,183500800,2.728784e+17,5.824654,5.813384
1500,196608000,2.923697e+17,5.813512,5.784193
1600,209715200,3.118610e+17,5.771901,5.746173
1700,222822400,3.313523e+17,5.725819,5.715137
1800,235929600,3.508436e+17,5.699285,5.688660
1900,249036800,3.703350e+17,5.676033,5.668082
2000,262144000,3.898263e+17,5.648738,5.642502
2100,275251200,4.093176e+17,5.622501,5.623139
2200,288358400,4.288089e+17,5.603606,5.597019
2300,301465600,4.483002e+17,5.572949,5.575479
2400,314572800,4.677915e+17,5.561552,5.556923
2500,327680000,4.872828e+17,5.526579,5.539097
2600,340787200,5.067741e+17,5.526307,5.524349
2700,353894400,5.262655e+17,5.502423,5.502330
2800,367001600,5.457568e+17,5.488710,5.483185
2900,380108800,5.652481e+17,5.461343,5.467593
3000,393216000,5.847394e+17,5.444325,5.455259
3100,406323200,6.042307e+17,5.440465,5.438923
3200,419430400,6.237220e+17,5.412537,5.424408
3300,432537600,6.432133e+17,5.408142,5.405843
3400,445644800,6.627046e+17,5.395238,5.395606
3500,458752000,6.821960e+17,5.383693,5.376580
3600,471859200,7.016873e+17,5.361728,5.363019
3700,484966400,7.211786e+17,5.351501,5.349418
3800,498073600,7.406699e+17,5.346436,5.338049
3900,511180800,7.601612e+17,5.326919,5.325918
4000,524288000,7.796525e+17,5.310281,5.314030
4100,537395200,7.991438e+17,5.308738,5.301481
4200,550502400,8.186352e+17,5.289366,5.292628
4300,563609600,8.381265e+17,5.278251,5.275735
4400,576716800,8.576178e+17,5.265969,5.269231
4500,589824000,8.771091e+17,5.265448,5.255666
4600,602931200,8.966004e+17,5.261693,5.244991
4700,616038400,9.160917e+17,5.244627,5.235317
4800,629145600,9.355830e+17,5.233449,5.222769
4900,642252800,9.550743e+17,5.220636,5.213853
5000,655360000,9.745657e+17,5.209838,5.203000
5100,668467200,9.940570e+17,5.193971,5.194227
5200,681574400,1.013548e+18,5.184475,5.184916
5300,694681600,1.033040e+18,5.178187,5.173456
5400,707788800,1.052531e+18,5.171597,5.165856
5500,720896000,1.072022e+18,5.166338,5.160028
5600,734003200,1.091514e+18,5.146547,5.150082
5700,747110400,1.111005e+18,5.147348,5.137399
5800,760217600,1.130496e+18,5.136481,5.134983
5900,773324800,1.149987e+18,5.125334,5.124706
6000,786432000,1.169479e+18,5.134491,5.116583
6100,799539200,1.188970e+18,5.109532,5.109484
6200,812646400,1.208461e+18,5.107138,5.098139
6300,825753600,1.227953e+18,5.087016,5.091834
6400,838860800,1.247444e+18,5.099705,5.082397
6500,851968000,1.266935e+18,5.091161,5.076819
