step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,1.391569e+14,247.617264,126.153358,126.159078
200,3276800,2.783139e+14,81.538689,43.381211,43.447302
300,4915200,4.174708e+14,43.479141,36.091117,36.150818
400,6553600,5.566278e+14,34.588314,32.359192,32.390693
500,8192000,6.957847e+14,30.421051,28.996985,29.004374
600,9830400,8.349416e+14,27.162422,25.839205,25.829272
700,11468800,9.740986e+14,24.255993,23.082243,23.065324
800,13107200,1.113256e+15,21.531019,20.428030,20.417591
900,14745600,1.252412e+15,19.098566,18.077050,18.062275
1000,16384000,1.391569e+15,16.931656,16.111789,16.098489
1100,18022400,1.530726e+15,15.135629,14.530328,14.523132
1200,19660800,1.669883e+15,13.651140,13.127675,13.124428
1300,21299200,1.809040e+15,12.462874,12.066578,12.065282
1400,22937600,1.948197e+15,11.472157,11.079719,11.080567
1500,24576000,2.087354e+15,10.654753,10.393565,10.393124
1600,26214400,2.226511e+15,10.003893,9.845712,9.845709
1700,27852800,2.365668e+15,9.465169,9.323625,9.326298
1800,29491200,2.504825e+15,8.969873,8.889716,8.891637
1900,31129600,2.643982e+15,8.663205,8.592747,8.595696
2000,32768000,2.783139e+15,8.346354,8.348086,8.350513
2100,34406400,2.922296e+15,8.112254,8.077471,8.076087
2200,36044800,3.061453e+15,7.938964,7.888806,7.887183
2300,37683200,3.200610e+15,7.762544,7.762747,7.760548
2400,39321600,3.339767e+15,7.663190,7.610421,7.607657
2500,40960000,3.478924e+15,7.540919,7.550122,7.546100
2600,42598400,3.618080e+15,7.440045,7.437850,7.434888
2700,44236800,3.757237e+15,7.340239,7.354992,7.352996
2800,45875200,3.896394e+15,7.292462,7.292997,7.291027
2900,47513600,4.035551e+15,7.256591,7.283232,7.281333
3000,49152000,4.174708e+15,7.180153,7.187038,7.184694
3100,50790400,4.313865e+15,7.130622,7.144806,7.142411
3200,52428800,4.453022e+15,7.089188,7.100969,7.098663
3300,54067200,4.592179e+15,7.044821,7.065716,7.064426
3400,55705600,4.731336e+15,7.036826,7.016868,7.014891
3500,57344000,4.870493e+15,6.999485,7.004236,7.001385
3600,58982400,5.009650e+15,6.978716,6.977126,6.975172
3700,60620800,5.148807e+15,6.923209,6.956632,6.953442
3800,62259200,5.287964e+15,6.903686,6.912318,6.909436
3900,63897600,5.427121e+15,6.895411,6.893674,6.890101
4000,65536000,5.566278e+15,6.861904,6.869621,6.865390
4100,67174400,5.705435e+15,6.831531,6.845234,6.840284
4200,68812800,5.844591e+15,6.794169,6.842510,6.837197
4300,70451200,5.983748e+15,6.787317,6.827471,6.822522
4400,72089600,6.122905e+15,6.781902,6.798921,6.792221
4500,73728000,6.262062e+15,6.752163,6.783157,6.777749
4600,75366400,6.401219e+15,6.744909,6.760929,6.754834
4700,77004800,6.540376e+15,6.723916,6.741488,6.734517
4800,78643200,6.679533e+15,6.698191,6.720386,6.714633
4900,80281600,6.818690e+15,6.682620,6.708142,6.702743
5000,81920000,6.957847e+15,6.687787,6.692827,6.685492
5100,83558400,7.097004e+15,6.668113,6.678185,6.670880
5200,85196800,7.236161e+15,6.667697,6.655868,6.647542
5300,86835200,7.375318e+15,6.648936,6.643929,6.638776
5400,88473600,7.514475e+15,6.630379,6.634150,6.627497
5500,90112000,7.653632e+15,6.588453,6.619274,6.611780
5600,91750400,7.792789e+15,6.592662,6.596230,6.589837
5700,93388800,7.931946e+15,6.611295,6.591963,6.583633
5800,95027200,8.071103e+15,6.563740,6.579995,6.572931
5900,96665600,8.210259e+15,6.544669,6.562272,6.555541
6000,98304000,8.349416e+15,6.552273,6.550133,6.544571
6100,99942400,8.488573e+15,6.515251,6.533026,6.525334
6200,101580800,8.627730e+15,6.519603,6.509431,6.502394
6300,103219200,8.766887e+15,6.502722,6.507780,6.501365
6400,104857600,8.906044e+15,6.482658,6.489919,6.483988
6500,106496000,9.045201e+15,6.498503,6.488640,6.480288
6600,108134400,9.184358e+15,6.477813,6.466409,6.460084
6700,109772800,9.323515e+15,6.472165,6.446476,6.440807
6800,111411200,9.462672e+15,6.448406,6.447048,6.439677
6900,113049600,9.601829e+15,6.448057,6.435615,6.428637
7000,114688000,9.740986e+15,6.427485,6.407302,6.401481
