step,tokens_seen,cumulative_flops,train_loss,eval_loss,eval_loss_all_pos
100,1638400,3.195456e+14,426.189850,290.864576,290.864576
200,3276800,6.390911e+14,125.195358,49.083392,49.083392
300,4915200,9.586367e+14,50.936436,36.932401,36.932401
400,6553600,1.278182e+15,35.897648,32.469285,32.469285
500,8192000,1.597728e+15,30.495264,28.765267,28.765267
600,9830400,1.917273e+15,27.002865,25.470574,25.470574
700,11468800,2.236819e+15,23.601482,22.222720,22.222720
800,13107200,2.556365e+15,20.721127,19.512944,19.512944
900,14745600,2.875910e+15,18.266420,17.234075,17.234075
1000,16384000,3.195456e+15,16.171944,15.385453,15.385453
1100,18022400,3.515001e+15,14.370733,13.616310,13.616310
1200,19660800,3.834547e+15,12.748510,12.127622,12.127622
1300,21299200,4.154092e+15,11.455382,11.148376,11.148376
1400,22937600,4.473638e+15,10.605329,10.266051,10.266051
1500,24576000,4.793184e+15,9.925444,9.676540,9.676540
1600,26214400,5.112729e+15,9.310879,9.140122,9.140122
1700,27852800,5.432275e+15,8.876864,8.746688,8.746688
1800,29491200,5.751820e+15,8.477196,8.371199,8.371199
1900,31129600,6.071366e+15,8.275360,8.181601,8.181601
2000,32768000,6.390911e+15,8.015700,7.971248,7.971248
2100,34406400,6.710457e+15,7.971611,7.962855,7.962855
2200,36044800,7.030002e+15,7.734875,7.680637,7.680637
2300,37683200,7.349548e+15,7.557219,7.565300,7.565300
2400,39321600,7.669094e+15,7.467278,7.431827,7.431827
2500,40960000,7.988639e+15,7.372163,7.351190,7.351190
2600,42598400,8.308185e+15,7.294029,7.311211,7.311211
2700,44236800,8.627730e+15,7.184143,7.218169,7.218169
2800,45875200,8.947276e+15,7.141172,7.176035,7.176035
2900,47513600,9.266821e+15,7.086101,7.081062,7.081062
3000,49152000,9.586367e+15,7.017176,7.018854,7.018854
3100,50790400,9.905913e+15,6.966578,6.964776,6.964776
3200,52428800,1.022546e+16,6.913458,6.929083,6.929083
3300,54067200,1.054500e+16,6.860412,6.891619,6.891619
3400,55705600,1.086455e+16,6.846398,6.835561,6.835561
