step,tokens_seen,cumulative_flops,train_loss,eval_loss
200,1638400,3.195456e+14,130.227051,49.114612
400,3276800,6.390911e+14,36.697067,32.974730
600,4915200,9.586367e+14,27.748974,26.302604
800,6553600,1.278182e+15,21.971012,21.076860
1000,8192000,1.597728e+15,17.486301,16.983871
1200,9830400,1.917273e+15,14.321301,13.925574
1400,11468800,2.236819e+15,12.105303,11.777330
1600,13107200,2.556365e+15,10.345705,10.276354
1800,14745600,2.875910e+15,9.300070,9.293179
2000,16384000,3.195456e+15,8.576459,8.677855
2200,18022400,3.515001e+15,8.183911,8.145952
2400,19660800,3.834547e+15,7.838444,7.879785
2600,21299200,4.154092e+15,7.544356,7.628366
2800,22937600,4.473638e+15,7.434825,7.453041
3000,24576000,4.793184e+15,7.272268,7.319666
3200,26214400,5.112729e+15,7.120768,7.228335
3400,27852800,5.432275e+15,7.064342,7.153232
3600,29491200,5.751820e+15,7.063698,7.091121
3800,31129600,6.071366e+15,7.009103,6.988083
4000,32768000,6.390911e+15,6.948662,6.950212
4200,34406400,6.710457e+15,6.797334,6.875125
4400,36044800,7.030002e+15,6.725504,6.839883
4600,37683200,7.349548e+15,6.729374,6.795844
4800,39321600,7.669094e+15,6.627934,6.741194
5000,40960000,7.988639e+15,6.693969,6.699454
5200,42598400,8.308185e+15,6.580316,6.654734
5400,44236800,8.627730e+15,6.552382,6.635920
5600,45875200,8.947276e+15,6.500182,6.564543
5800,47513600,9.266821e+15,6.467476,6.567964
6000,49152000,9.586367e+15,6.474178,6.514589
6200,50790400,9.905913e+15,6.615510,6.576023
6400,52428800,1.022546e+16,6.375124,6.479771
6600,54067200,1.054500e+16,6.386067,6.438362
6800,55705600,1.086455e+16,6.328523,6.416852
7000,57344000,1.118409e+16,6.302907,6.383370
7200,58982400,1.150364e+16,6.362252,6.362828
7400,60620800,1.182319e+16,6.225656,6.317640
7600,62259200,1.214273e+16,6.303036,6.319244
7800,63897600,1.246228e+16,6.210764,6.272249
8000,65536000,1.278182e+16,6.211465,6.252727
8200,67174400,1.310137e+16,6.221546,6.235043
8400,68812800,1.342091e+16,6.223497,6.199081
8600,70451200,1.374046e+16,6.151154,6.190257
8800,72089600,1.406000e+16,6.098145,6.154957
9000,73728000,1.437955e+16,6.076840,6.142999
9200,75366400,1.469910e+16,6.020806,6.129580
9400,77004800,1.501864e+16,5.991752,6.091328
9600,78643200,1.533819e+16,6.013803,6.080494
9800,80281600,1.565773e+16,6.010640,6.049270
10000,81920000,1.597728e+16,5.955131,6.053168
10200,83558400,1.629682e+16,5.966472,6.016263
10400,85196800,1.661637e+16,5.896626,5.989477
10600,86835200,1.693592e+16,5.919974,5.988563
10800,88473600,1.725546e+16,5.877972,5.997272
11000,90112000,1.757501e+16,5.909761,5.936324
11200,91750400,1.789455e+16,5.888148,5.931617
11400,93388800,1.821410e+16,5.901065,5.901069
11600,95027200,1.853364e+16,5.896879,5.872578
11800,96665600,1.885319e+16,5.898685,5.912170
12000,98304000,1.917273e+16,5.761439,5.852165
12200,99942400,1.949228e+16,5.769278,5.836343
12400,101580800,1.981183e+16,5.762236,5.821754
12600,103219200,2.013137e+16,5.772992,5.811617
12800,104857600,2.045092e+16,5.758946,5.790628
13000,106496000,2.077046e+16,5.751609,5.775281
13200,108134400,2.109001e+16,5.724822,5.781572
13400,109772800,2.140955e+16,5.726126,5.736532
13600,111411200,2.172910e+16,5.694927,5.727135
13800,113049600,2.204864e+16,5.663433,5.728335
14000,114688000,2.236819e+16,5.661006,5.700832
14200,116326400,2.268774e+16,5.639193,5.694990
14400,117964800,2.300728e+16,5.616767,5.662840
14600,119603200,2.332683e+16,5.599047,5.653574
14800,121241600,2.364637e+16,5.545499,5.670819
