method,layer,k,variance_shrinkage_factor,variance_reduction,norm_shrinkage_factor,norm_reduction,info_retention_ratio,info_loss,spectral_total_energy_loss_pct,spectral_high_freq_loss_pct,effective_rank_original,effective_rank_averaged,rank_reduction,strategy,label,pattern,k_min,k_max,seed,high_sim_threshold,window_size,stride,compression_ratio,scheme,n_epochs,final_mse_loss
uniform,embedding,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,759,759,0,,,,,,,,,,,,,
uniform,embedding,2.0,0.5213223491477197,0.4786776508522803,0.7788142561912537,0.2211857438087463,1.0216301932457827,-0.0304145349155757,86.14411402031271,54.47874240256013,759,741,18,,,,,,,,,,,,,
uniform,embedding,4.0,0.2848402751742693,0.7151597248257306,0.6279106736183167,0.3720893263816833,1.0452934012157755,-0.0636877219296678,97.8999089644748,61.10226806164306,759,705,54,,,,,,,,,,,,,
uniform,embedding,8.0,0.1672952498912485,0.8327047501087514,0.528498113155365,0.471501886844635,1.06921110365436,-0.0973187573833394,99.64432470835814,61.9385821255276,759,640,119,,,,,,,,,,,,,
uniform,embedding,16.0,0.1086565042795493,0.8913434957204507,0.4659496247768402,0.5340503454208374,1.101075747548644,-0.1421241048567856,99.93224872162172,62.040207069213295,759,532,227,,,,,,,,,,,,,
uniform,embedding,32.0,0.078745764213768,0.921254235786232,0.4280331134796142,0.5719668865203857,1.150746130145863,-0.2119663650995449,99.98578580229038,62.05363574754611,759,381,378,,,,,,,,,,,,,
uniform,embedding,64.0,0.0617006110357539,0.938299388964246,0.4033119082450866,0.5966880917549133,1.2508599774896711,-0.3527379278392606,99.99686303168534,62.05474640303535,759,220,539,,,,,,,,,,,,,
uniform,embedding,128.0,0.0494371964077889,0.950562803592211,0.3834231197834015,0.6165769100189209,1.4054127229613138,-0.5700568310978744,100.0,62.05596918872555,759,98,661,,,,,,,,,,,,,
dynamic,embedding,,0.4433994507303773,0.5566005492696227,0.7317750453948975,0.2682249546051025,1.0131178368981466,-0.0184451846463877,92.23773170930988,57.95817991595682,759,733,26,alternating,alternating_2_3,"[2, 3]",,,,,,,,,,
dynamic,embedding,,0.3794124904078755,0.6205875095921245,0.689202606678009,0.3107973933219909,1.0030262719306375,-0.0042552857597029,95.47676167960554,59.76724657096032,759,723,36,random,random_2_4,,2.0,4.0,42.0,,,,,,,
