method,nominal_k,compression_ratio,ppl_finetune,ppl_from_scratch,ppl_zero_shot,ppl_finetune_before,ratio_zero_shot,ratio_finetune,ratio_from_scratch
baseline,1,0.0,2.4673,4.4473,780709.7235,780709.7235,1.0,0.0,0.0
dynamic,2,0.6,3.6139,5.5493,1224969.9702,1224969.9702,1.569,0.0,0.0
dynamic,3,0.6667,4.1667,5.7842,2902318.7987,2902318.7987,3.7175,0.0,0.0
dynamic,5,0.8,5.2585,6.1603,2789888.0825,2789888.0825,3.5735,0.0,0.0
learnable,2,0.5,3.1464,5.1777,2546726.9067,2546726.9067,3.2621,0.0,0.0
learnable,4,0.75,4.8658,6.1879,4659868.112,4659868.112,5.9688,0.0,0.0
learnable,8,0.875,6.5106,7.2626,5532017.6159,5532017.6159,7.0859,0.0,0.0
uniform,2,0.5,3.1521,5.1881,2546726.9067,2546726.9067,3.2621,0.0,0.0
uniform,4,0.75,4.8915,6.1145,4659868.112,4659868.112,5.9688,0.0,0.0
uniform,8,0.875,6.5319,7.1143,5532017.6159,5532017.6159,7.0859,0.0,0.0
weighted,2,0.5,3.22782,5.08846,2237240.35146,2237240.35146,2.8656,0.0,0.0
weighted,4,0.75,4.8800799999999995,6.07196,3538246.5303800004,3538246.5303800004,4.5321,0.0,0.0
weighted,8,0.875,6.28086,6.98232,4983875.20034,4983875.20034,6.3838,0.0,0.0
