experiment,config_name,method,nominal_k,compression_ratio,ppl,model_name,num_sequences,train_steps,final_train_loss,olm_d_model,olm_n_heads,olm_n_layers
from_scratch,baseline_k1,baseline,1,0.0,4.4473,OLM-d512h8l6,500,5000,1.2645,512,8,6
from_scratch,uniform_k2,uniform,2,0.5,5.1881,OLM-d512h8l6,500,5000,1.4025,512,8,6
from_scratch,uniform_k4,uniform,4,0.75,6.1145,OLM-d512h8l6,500,5000,1.528,512,8,6
from_scratch,uniform_k8,uniform,8,0.875,7.1143,OLM-d512h8l6,500,5000,1.7303,512,8,6
from_scratch,dynamic_alt23,dynamic,2,0.6,5.5493,OLM-d512h8l6,500,5000,1.4475,512,8,6
from_scratch,dynamic_rnd24,dynamic,3,0.6667,5.7842,OLM-d512h8l6,500,5000,1.4814,512,8,6
from_scratch,dynamic_rnd28,dynamic,5,0.8,6.1603,OLM-d512h8l6,500,5000,1.5266,512,8,6
from_scratch,weighted_uniform_k2,weighted,2,0.5,5.1881,OLM-d512h8l6,500,5000,1.4025,512,8,6
from_scratch,weighted_uniform_k4,weighted,4,0.75,6.1145,OLM-d512h8l6,500,5000,1.528,512,8,6
from_scratch,weighted_uniform_k8,weighted,8,0.875,7.1143,OLM-d512h8l6,500,5000,1.7303,512,8,6
from_scratch,weighted_linear_k2,weighted,2,0.5,4.9075,OLM-d512h8l6,500,5000,1.3522,512,8,6
from_scratch,weighted_linear_k4,weighted,4,0.75,5.4773,OLM-d512h8l6,500,5000,1.4394,512,8,6
from_scratch,weighted_linear_k8,weighted,8,0.875,6.3177,OLM-d512h8l6,500,5000,1.5625,512,8,6
from_scratch,weighted_exponential_k2,weighted,2,0.5,4.9705,OLM-d512h8l6,500,5000,1.3703,512,8,6
from_scratch,weighted_exponential_k4,weighted,4,0.75,5.3693,OLM-d512h8l6,500,5000,1.4152,512,8,6
from_scratch,weighted_exponential_k8,weighted,8,0.875,6.0255,OLM-d512h8l6,500,5000,1.5205,512,8,6
from_scratch,weighted_gaussian_k2,weighted,2,0.5,5.1881,OLM-d512h8l6,500,5000,1.4025,512,8,6
from_scratch,weighted_gaussian_k4,weighted,4,0.75,6.339,OLM-d512h8l6,500,5000,1.6056,512,8,6
from_scratch,weighted_gaussian_k8,weighted,8,0.875,7.537,OLM-d512h8l6,500,5000,1.8025,512,8,6
from_scratch,weighted_triangular_k2,weighted,2,0.5,5.1881,OLM-d512h8l6,500,5000,1.4025,512,8,6
from_scratch,weighted_triangular_k4,weighted,4,0.75,7.0597,OLM-d512h8l6,500,5000,1.7201,512,8,6
from_scratch,weighted_triangular_k8,weighted,8,0.875,7.9171,OLM-d512h8l6,500,5000,1.8576,512,8,6
from_scratch,learnable_k2,learnable,2,0.5,5.1777,OLM-d512h8l6,500,5000,1.401,512,8,6
from_scratch,learnable_k4,learnable,4,0.75,6.1879,OLM-d512h8l6,500,5000,1.5638,512,8,6
from_scratch,learnable_k8,learnable,8,0.875,7.2626,OLM-d512h8l6,500,5000,1.7704,512,8,6
