method,layer,k,scheme,variance_shrinkage_factor,variance_reduction,norm_shrinkage_factor,norm_reduction,info_retention_ratio,info_loss,spectral_total_energy_loss_pct,spectral_high_freq_loss_pct,effective_rank_original,effective_rank_averaged,rank_reduction
weighted,embedding,2,uniform,0.5213223491477197,0.4786776508522803,0.7788142561912537,0.22118574380874634,1.0216301932457827,-0.030414534915575775,86.14411402031271,54.47874240256013,759,741,18
weighted,embedding,2,linear,0.5731863937829819,0.42681360621701814,0.8060564398765564,0.1939435601234436,1.0197999990023339,-0.02784107169741845,84.94536030983572,53.6506496603779,759,743,16
weighted,embedding,2,exponential,0.9097756488294938,0.0902243511705062,0.9616743922233582,0.038325607776641846,1.006868059357881,-0.009657279931294394,77.1274519573781,48.2565768557171,759,752,7
weighted,embedding,2,gaussian,0.5213223491477197,0.4786776508522803,0.7788142561912537,0.22118574380874634,1.0216301932457827,-0.030414534915575775,86.14411402031271,54.47874240256013,759,741,18
weighted,embedding,2,triangular,0.5213223491477197,0.4786776508522803,0.7788142561912537,0.22118574380874634,1.0216301932457827,-0.030414534915575775,86.14411402031271,54.47874240256013,759,741,18
weighted,embedding,4,uniform,0.28484027517426935,0.7151597248257306,0.6279106736183167,0.37208932638168335,1.0452934012157755,-0.06368772192966787,97.8999089644748,61.10226806164306,759,705,54
weighted,embedding,4,linear,0.3303024648705129,0.6696975351294872,0.6597810983657837,0.3402189016342163,1.037820458416567,-0.053179906437407,97.63736884064238,60.919086095586806,759,712,47
weighted,embedding,4,exponential,0.497364485162461,0.502635514837539,0.7624661922454834,0.2375338077545166,1.0253689831545658,-0.03567170275178366,96.67287504576669,60.242445784217836,759,728,31
weighted,embedding,4,gaussian,0.33519295489569906,0.6648070451043009,0.6638544797897339,0.3361455202102661,1.0418446405102126,-0.05883836844942292,97.60918397966198,60.90047855880169,759,714,45
weighted,embedding,4,triangular,0.5222069788125153,0.4777930211874847,0.7792472243309021,0.2207527756690979,1.0329706018671219,-0.0463604513505973,96.52831312306357,60.14299192472351,759,735,24
weighted,embedding,8,uniform,0.16729524989124853,0.8327047501087514,0.528498113155365,0.471501886844635,1.0692111036543601,-0.0973187573833394,99.64432470835814,61.938582125527596,759,640,119
weighted,embedding,8,linear,0.19560131736368683,0.8043986826363132,0.5534005761146545,0.44659942388534546,1.060368354735389,-0.0848848372287816,99.60393339619023,61.9103734193883,759,659,100
weighted,embedding,8,exponential,0.25703110192624523,0.7429688980737548,0.6037190556526184,0.3962809443473816,1.0475852908774772,-0.06691038190992771,99.5156208095284,61.84939950354903,759,684,75
weighted,embedding,8,gaussian,0.19399950724674936,0.8060004927532507,0.553175687789917,0.446824312210083,1.0641710377848725,-0.09023184615594104,99.6060092353721,61.912264456502086,759,656,103
weighted,embedding,8,triangular,0.23243702144599002,0.76756297855401,0.5863815546035767,0.41361844539642334,1.0589714406163289,-0.08292061560739139,99.55077900653528,61.874226645660436,759,675,84
weighted,embedding,16,uniform,0.10865650427954932,0.8913434957204507,0.4659496247768402,0.5340503454208374,1.101075747548644,-0.14212410485678562,99.93224872162172,62.040207069213295,759,532,227
weighted,embedding,16,linear,0.12361574940401657,0.8763842505959835,0.4807981848716736,0.5192018151283264,1.0861370728536526,-0.12111861323031436,99.92704488083763,62.03636094607097,759,566,193
weighted,embedding,16,exponential,0.14716486759836012,0.8528351324016399,0.5046612024307251,0.4953387975692749,1.0740884073412111,-0.10417680629635684,99.91868534568363,62.03048741896499,759,601,158
weighted,embedding,16,gaussian,0.12219871044193377,0.8778012895580662,0.4812421202659607,0.5187578797340393,1.0976210294209914,-0.1372663745571523,99.92730940602712,62.03683326508616,759,560,199
weighted,embedding,16,triangular,0.1337365721571242,0.8662634278428758,0.49393948912620544,0.5060604810714722,1.091956422166753,-0.129301286443543,99.92313386581203,62.03397154346679,759,579,180
